; Candidate 5700
; ADRP+ADD at VM 0xfffffff008801084 (fileoff 0x17fd084): page=0x1fea17000 add_imm=0xec5

0xfffffff008801004: e82700a9  stp	x8, x9, [sp]
0xfffffff008801008: ed0b00f9  str	x13, [sp, #0x10]
0xfffffff00880100c: 404fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008801010: 00003a91  add	x0, x0, #0xe80
0xfffffff008801014: 2190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff008801018: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880101c: 0352ffd0  adrp	x3, #0xfffffff007243000
0xfffffff008801020: 63e41e91  add	x3, x3, #0x7b9
0xfffffff008801024: 02008052  mov	w2, #0
0xfffffff008801028: 42c8ec97  bl	#0xfffffff008333130
0xfffffff00880102c: e00313aa  mov	x0, x19
0xfffffff008801030: e10314aa  mov	x1, x20
0xfffffff008801034: e7e90194  bl	#0xfffffff00887b7d0
0xfffffff008801038: 60080034  cbz	w0, #0xfffffff008801144
0xfffffff00880103c: e00313aa  mov	x0, x19
0xfffffff008801040: f6e90194  bl	#0xfffffff00887b818
0xfffffff008801044: 7502f837  tbnz	w21, #0x1f, #0xfffffff008801090
0xfffffff008801048: b8021b12  and	w24, w21, #0x20
0xfffffff00880104c: 1b000052  eor	w27, w0, #1
0xfffffff008801050: 57cc0294  bl	#0xfffffff0088b41ac
0xfffffff008801054: f70300aa  mov	x23, x0
0xfffffff008801058: e00314aa  mov	x0, x20
0xfffffff00880105c: fde90194  bl	#0xfffffff00887b850
0xfffffff008801060: 6817582a  orr	w8, w27, w24, lsr #5
0xfffffff008801064: e8020037  tbnz	w8, #0, #0xfffffff0088010c0
0xfffffff008801068: 48df4039  ldrb	w8, [x26, #0x37]
0xfffffff00880106c: 49e34039  ldrb	w9, [x26, #0x38]
0xfffffff008801070: 4ae74039  ldrb	w10, [x26, #0x39]
0xfffffff008801074: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff008801078: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00880107c: e80313aa  mov	x8, x19
0xfffffff008801080: f72300a9  stp	x23, x8, [sp]
0xfffffff008801084: a050fff0  adrp	x0, #0xfffffff007218000
0xfffffff008801088: 00143b91  add	x0, x0, #0xec5
0xfffffff00880108c: 0b000014  b	#0xfffffff0088010b8
0xfffffff008801090: 00040034  cbz	w0, #0xfffffff008801110
0xfffffff008801094: e803154b  neg	w8, w21
0xfffffff008801098: c8032837  tbnz	w8, #5, #0xfffffff008801110
0xfffffff00880109c: 48df4039  ldrb	w8, [x26, #0x37]
0xfffffff0088010a0: 49e34039  ldrb	w9, [x26, #0x38]
0xfffffff0088010a4: 4ae74039  ldrb	w10, [x26, #0x39]
0xfffffff0088010a8: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff0088010ac: e80300f9  str	x8, [sp]
0xfffffff0088010b0: a050fff0  adrp	x0, #0xfffffff007218000
0xfffffff0088010b4: 00d03991  add	x0, x0, #0xe74
0xfffffff0088010b8: ead8d697  bl	#0xfffffff007db7460
0xfffffff0088010bc: 22000014  b	#0xfffffff008801144
0xfffffff0088010c0: 3bcc0294  bl	#0xfffffff0088b41ac
0xfffffff0088010c4: f70300aa  mov	x23, x0
0xfffffff0088010c8: e00314aa  mov	x0, x20
0xfffffff0088010cc: e1e90194  bl	#0xfffffff00887b850
0xfffffff0088010d0: 48df4039  ldrb	w8, [x26, #0x37]
0xfffffff0088010d4: 49e34039  ldrb	w9, [x26, #0x38]
0xfffffff0088010d8: 4ae74039  ldrb	w10, [x26, #0x39]
0xfffffff0088010dc: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff0088010e0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088010e4: e80313aa  mov	x8, x19
0xfffffff0088010e8: f72300a9  stp	x23, x8, [sp]
0xfffffff0088010ec: 404fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088010f0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088010f4: 2190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088010f8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088010fc: 0352ffd0  adrp	x3, #0xfffffff007243000
0xfffffff008801100: 63642491  add	x3, x3, #0x919
