; Candidate 14213
; ADRP+ADD at VM 0xfffffff00974f434 (fileoff 0x274b434): page=0xc3c000 add_imm=0xd58

0xfffffff00974f3b4: 21200c91  add	x1, x1, #0x308
0xfffffff00974f3b8: e00308aa  mov	x0, x8
0xfffffff00974f3bc: 4e52ae97  bl	#0xfffffff0082e3cf4
0xfffffff00974f3c0: f30300aa  mov	x19, x0
0xfffffff00974f3c4: e01700f9  str	x0, [sp, #0x28]
0xfffffff00974f3c8: 900240f9  ldr	x16, [x20]
0xfffffff00974f3cc: f10314aa  mov	x17, x20
0xfffffff00974f3d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974f3d4: 301ac1da  autda	x16, x17
0xfffffff00974f3d8: 11a880d2  mov	x17, #0x540
0xfffffff00974f3dc: 1002118b  add	x16, x16, x17
0xfffffff00974f3e0: 080240f9  ldr	x8, [x16]
0xfffffff00974f3e4: e90310aa  mov	x9, x16
0xfffffff00974f3e8: e00314aa  mov	x0, x20
0xfffffff00974f3ec: f10309aa  mov	x17, x9
0xfffffff00974f3f0: 5188f3f2  movk	x17, #0x9c42, lsl #48
0xfffffff00974f3f4: 11093fd7  blraa	x8, x17
0xfffffff00974f3f8: 932500b4  cbz	x19, #0xfffffff00974f8a8
0xfffffff00974f3fc: f80300aa  mov	x24, x0
0xfffffff00974f400: e80313aa  mov	x8, x19
0xfffffff00974f404: 100d41f8  ldr	x16, [x8, #0x10]!
0xfffffff00974f408: d00a00b4  cbz	x16, #0xfffffff00974f560
0xfffffff00974f40c: f10308aa  mov	x17, x8
0xfffffff00974f410: 311eeef2  movk	x17, #0x70f1, lsl #48
0xfffffff00974f414: 301ac1da  autda	x16, x17
0xfffffff00974f418: f10310aa  mov	x17, x16
0xfffffff00974f41c: f147c1da  xpacd	x17
0xfffffff00974f420: 1f0211eb  cmp	x16, x17
0xfffffff00974f424: 40000054  b.eq	#0xfffffff00974f42c
0xfffffff00974f428: 408e38d4  brk	#0xc472
0xfffffff00974f42c: f50310aa  mov	x21, x16
0xfffffff00974f430: f80500b4  cbz	x24, #0xfffffff00974f4ec
0xfffffff00974f434: e0610090  adrp	x0, #0xfffffff00a38b000
0xfffffff00974f438: 00603591  add	x0, x0, #0xd58
0xfffffff00974f43c: 4755ae97  bl	#0xfffffff0082e4958
0xfffffff00974f440: f90300aa  mov	x25, x0
0xfffffff00974f444: 100340f9  ldr	x16, [x24]
0xfffffff00974f448: f10318aa  mov	x17, x24
0xfffffff00974f44c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974f450: 301ac1da  autda	x16, x17
0xfffffff00974f454: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00974f458: e90310aa  mov	x9, x16
0xfffffff00974f45c: e00318aa  mov	x0, x24
0xfffffff00974f460: f10309aa  mov	x17, x9
0xfffffff00974f464: f1c0e6f2  movk	x17, #0x3607, lsl #48
0xfffffff00974f468: 11093fd7  blraa	x8, x17
0xfffffff00974f46c: fa0300aa  mov	x26, x0
0xfffffff00974f470: 900240f9  ldr	x16, [x20]
0xfffffff00974f474: f10314aa  mov	x17, x20
0xfffffff00974f478: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974f47c: 301ac1da  autda	x16, x17
0xfffffff00974f480: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00974f484: e90310aa  mov	x9, x16
0xfffffff00974f488: e00314aa  mov	x0, x20
0xfffffff00974f48c: f10309aa  mov	x17, x9
0xfffffff00974f490: f1c0e6f2  movk	x17, #0x3607, lsl #48
0xfffffff00974f494: 11093fd7  blraa	x8, x17
0xfffffff00974f498: fb0300aa  mov	x27, x0
0xfffffff00974f49c: 700240f9  ldr	x16, [x19]
0xfffffff00974f4a0: f10313aa  mov	x17, x19
0xfffffff00974f4a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974f4a8: 301ac1da  autda	x16, x17
0xfffffff00974f4ac: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00974f4b0: e90310aa  mov	x9, x16
