; Candidate 1298
; ADRP+ADD at VM 0xfffffff008349588 (fileoff 0x1345588): page=0x1fed5a000 add_imm=0xd29

0xfffffff008349508: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00834950c: 301ac1da  autda	x16, x17
0xfffffff008349510: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff008349514: e90310aa  mov	x9, x16
0xfffffff008349518: e00315aa  mov	x0, x21
0xfffffff00834951c: f10309aa  mov	x17, x9
0xfffffff008349520: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff008349524: 11093fd7  blraa	x8, x17
0xfffffff008349528: 68f600f0  adrp	x8, #0xfffffff00a218000
0xfffffff00834952c: 08611a91  add	x8, x8, #0x698
0xfffffff008349530: 1f0008eb  cmp	x0, x8
0xfffffff008349534: 80010054  b.eq	#0xfffffff008349564
0xfffffff008349538: 000840f9  ldr	x0, [x0, #0x10]
0xfffffff00834953c: a0ffffb5  cbnz	x0, #0xfffffff008349530
0xfffffff008349540: c84246f8  ldur	x8, [x22, #0x64]
0xfffffff008349544: 680000b4  cbz	x8, #0xfffffff008349550
0xfffffff008349548: 730e0011  add	w19, w19, #3
0xfffffff00834954c: beffff17  b	#0xfffffff008349444
0xfffffff008349550: c16e40b9  ldr	w1, [x22, #0x6c]
0xfffffff008349554: c2f20191  add	x2, x22, #0x7c
0xfffffff008349558: 08028052  mov	w8, #0x10
0xfffffff00834955c: 080140f9  ldr	x8, [x8]
0xfffffff008349560: 04000014  b	#0xfffffff008349570
0xfffffff008349564: c16e40b9  ldr	w1, [x22, #0x6c]
0xfffffff008349568: c2f20191  add	x2, x22, #0x7c
0xfffffff00834956c: a80a40f9  ldr	x8, [x21, #0x10]
0xfffffff008349570: 001940f9  ldr	x0, [x8, #0x30]
0xfffffff008349574: e30314aa  mov	x3, x20
0xfffffff008349578: 04008052  mov	w4, #0
0xfffffff00834957c: 0fe30294  bl	#0xfffffff0084021b8
0xfffffff008349580: 13008052  mov	w19, #0
0xfffffff008349584: b0ffff17  b	#0xfffffff008349444
0xfffffff008349588: c06affd0  adrp	x0, #0xfffffff0070a3000
0xfffffff00834958c: 00a43491  add	x0, x0, #0xd29
0xfffffff008349590: e067fe97  bl	#0xfffffff0082e3510
0xfffffff008349594: 200020d4  brk	#1
0xfffffff008349598: 7f2303d5  pacibsp	
0xfffffff00834959c: ff0302d1  sub	sp, sp, #0x80
0xfffffff0083495a0: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff0083495a4: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0083495a8: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0083495ac: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0083495b0: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0083495b4: fdc30191  add	x29, sp, #0x70
0xfffffff0083495b8: 4a588052  mov	w10, #0x2c2
0xfffffff0083495bc: 0a00bc72  movk	w10, #0xe000, lsl #16
0xfffffff0083495c0: 1a6440a9  ldp	x26, x25, [x0]
0xfffffff0083495c4: 09204229  ldp	w9, w8, [x0, #0x10]
0xfffffff0083495c8: 4b4741b9  ldr	w11, [x26, #0x144]
0xfffffff0083495cc: 7f410071  cmp	w11, #0x10
0xfffffff0083495d0: 0c028052  mov	w12, #0x10
0xfffffff0083495d4: 75318c1a  csel	w21, w11, w12, lo
0xfffffff0083495d8: 4b4b41b9  ldr	w11, [x26, #0x148]
0xfffffff0083495dc: 7f410071  cmp	w11, #0x10
0xfffffff0083495e0: 6b318c1a  csel	w11, w11, w12, lo
0xfffffff0083495e4: eb2f00b9  str	w11, [sp, #0x2c]
0xfffffff0083495e8: 4b2340b9  ldr	w11, [x26, #0x20]
0xfffffff0083495ec: 400d0051  sub	w0, w10, #3
0xfffffff0083495f0: 7f150071  cmp	w11, #5
0xfffffff0083495f4: 21100054  b.ne	#0xfffffff0083497f8
0xfffffff0083495f8: 4a4348f8  ldur	x10, [x26, #0x84]
0xfffffff0083495fc: 5f1500f1  cmp	x10, #5
0xfffffff008349600: c10f0054  b.ne	#0xfffffff0083497f8
0xfffffff008349604: 3f510571  cmp	w9, #0x154
