; Candidate 444
; ADRP+ADD at VM 0xfffffff007f0cb18 (fileoff 0xf08b18): page=0x2330000 add_imm=0xdc8

0xfffffff007f0ca98: 685e40b9  ldr	w8, [x19, #0x5c]
0xfffffff007f0ca9c: 09050011  add	w9, w8, #1
0xfffffff007f0caa0: 695e00b9  str	w9, [x19, #0x5c]
0xfffffff007f0caa4: 280ef837  tbnz	w8, #0x1f, #0xfffffff007f0cc68
0xfffffff007f0caa8: 755640b9  ldr	w21, [x19, #0x54]
0xfffffff007f0caac: d5032036  tbz	w21, #4, #0xfffffff007f0cb24
0xfffffff007f0cab0: 9301fc97  bl	#0xfffffff007e0d0fc
0xfffffff007f0cab4: 080840f9  ldr	x8, [x0, #0x10]
0xfffffff007f0cab8: c80900b4  cbz	x8, #0xfffffff007f0cbf0
0xfffffff007f0cabc: 08695139  ldrb	w8, [x8, #0x45a]
0xfffffff007f0cac0: 28033037  tbnz	w8, #6, #0xfffffff007f0cb24
0xfffffff007f0cac4: 88665639  ldrb	w8, [x20, #0x599]
0xfffffff007f0cac8: e8021037  tbnz	w8, #2, #0xfffffff007f0cb24
0xfffffff007f0cacc: a87a1b12  and	w8, w21, #0xffffffef
0xfffffff007f0cad0: 685600b9  str	w8, [x19, #0x54]
0xfffffff007f0cad4: 7f6e0139  strb	wzr, [x19, #0x5b]
0xfffffff007f0cad8: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff007f0cadc: 087943d1  sub	x8, x8, #0xde, lsl #12
0xfffffff007f0cae0: 1f6d2bf1  cmp	x8, #0xadb
0xfffffff007f0cae4: 00020054  b.eq	#0xfffffff007f0cb24
0xfffffff007f0cae8: 884a41b9  ldr	w8, [x20, #0x148]
0xfffffff007f0caec: 08050011  add	w8, w8, #1
0xfffffff007f0caf0: 884a01b9  str	w8, [x20, #0x148]
0xfffffff007f0caf4: 88190190  adrp	x8, #0xfffffff00a23c000
0xfffffff007f0caf8: 08213791  add	x8, x8, #0xdc8
0xfffffff007f0cafc: 097d5fc8  ldxr	x9, [x8]
0xfffffff007f0cb00: 290800b5  cbnz	x9, #0xfffffff007f0cc04
0xfffffff007f0cb04: 147de9c8  casa	x9, x20, [x8]
0xfffffff007f0cb08: 3f0100f1  cmp	x9, #0
0xfffffff007f0cb0c: e1070054  b.ne	#0xfffffff007f0cc08
0xfffffff007f0cb10: e00313aa  mov	x0, x19
0xfffffff007f0cb14: c3e5ff97  bl	#0xfffffff007f06220
0xfffffff007f0cb18: 80190190  adrp	x0, #0xfffffff00a23c000
0xfffffff007f0cb1c: 00203791  add	x0, x0, #0xdc8
0xfffffff007f0cb20: 198cfa97  bl	#0xfffffff007dafb84
0xfffffff007f0cb24: 686240b9  ldr	w8, [x19, #0x60]
0xfffffff007f0cb28: 1f050071  cmp	w8, #1
0xfffffff007f0cb2c: 61030054  b.ne	#0xfffffff007f0cb98
0xfffffff007f0cb30: 68e24079  ldrh	w8, [x19, #0x70]
0xfffffff007f0cb34: 1f050071  cmp	w8, #1
0xfffffff007f0cb38: 01030054  b.ne	#0xfffffff007f0cb98
0xfffffff007f0cb3c: 68524139  ldrb	w8, [x19, #0x54]
0xfffffff007f0cb40: c8021037  tbnz	w8, #2, #0xfffffff007f0cb98
0xfffffff007f0cb44: f50313aa  mov	x21, x19
0xfffffff007f0cb48: b08e47f8  ldr	x16, [x21, #0x78]!
0xfffffff007f0cb4c: 700200b4  cbz	x16, #0xfffffff007f0cb98
0xfffffff007f0cb50: f10315aa  mov	x17, x21
0xfffffff007f0cb54: d15be4f2  movk	x17, #0x22de, lsl #48
0xfffffff007f0cb58: 301ac1da  autda	x16, x17
0xfffffff007f0cb5c: f10310aa  mov	x17, x16
0xfffffff007f0cb60: f147c1da  xpacd	x17
0xfffffff007f0cb64: 1f0211eb  cmp	x16, x17
0xfffffff007f0cb68: 40000054  b.eq	#0xfffffff007f0cb70
0xfffffff007f0cb6c: 408e38d4  brk	#0xc472
0xfffffff007f0cb70: 500100b4  cbz	x16, #0xfffffff007f0cb98
0xfffffff007f0cb74: e00313aa  mov	x0, x19
0xfffffff007f0cb78: 877ffa97  bl	#0xfffffff007dac994
0xfffffff007f0cb7c: 703e40f9  ldr	x16, [x19, #0x78]
0xfffffff007f0cb80: f10315aa  mov	x17, x21
0xfffffff007f0cb84: d15be4f2  movk	x17, #0x22de, lsl #48
0xfffffff007f0cb88: 301ac1da  autda	x16, x17
0xfffffff007f0cb8c: 000640f9  ldr	x0, [x16, #8]
0xfffffff007f0cb90: 400000b4  cbz	x0, #0xfffffff007f0cb98
0xfffffff007f0cb94: 1f63fd97  bl	#0xfffffff007e65810
