; Candidate 13689
; ADRP+ADD at VM 0xfffffff0093d091c (fileoff 0x23cc91c): page=0x1fe13a000 add_imm=0xcf2

0xfffffff0093d089c: 1002118b  add	x16, x16, x17
0xfffffff0093d08a0: 080240f9  ldr	x8, [x16]
0xfffffff0093d08a4: e90310aa  mov	x9, x16
0xfffffff0093d08a8: 241f0012  and	w4, w25, #0xff
0xfffffff0093d08ac: e00315aa  mov	x0, x21
0xfffffff0093d08b0: e18b4b29  ldp	w1, w2, [sp, #0x5c]
0xfffffff0093d08b4: e30318aa  mov	x3, x24
0xfffffff0093d08b8: e50314aa  mov	x5, x20
0xfffffff0093d08bc: e6031baa  mov	x6, x27
0xfffffff0093d08c0: e70316aa  mov	x7, x22
0xfffffff0093d08c4: f10309aa  mov	x17, x9
0xfffffff0093d08c8: 31d0e4f2  movk	x17, #0x2681, lsl #48
0xfffffff0093d08cc: 11093fd7  blraa	x8, x17
0xfffffff0093d08d0: f30300aa  mov	x19, x0
0xfffffff0093d08d4: 9c070071  subs	w28, w28, #1
0xfffffff0093d08d8: 4d000054  b.le	#0xfffffff0093d08e0
0xfffffff0093d08dc: d3e9ff35  cbnz	w19, #0xfffffff0093d0614
0xfffffff0093d08e0: 93020035  cbnz	w19, #0xfffffff0093d0930
0xfffffff0093d08e4: 27000014  b	#0xfffffff0093d0980
0xfffffff0093d08e8: 800000b4  cbz	x0, #0xfffffff0093d08f8
0xfffffff0093d08ec: e00315aa  mov	x0, x21
0xfffffff0093d08f0: 5b600b94  bl	#0xfffffff0096a8a5c
0xfffffff0093d08f4: 03000014  b	#0xfffffff0093d0900
0xfffffff0093d08f8: c009ffd0  adrp	x0, #0xfffffff00750a000
0xfffffff0093d08fc: 00140291  add	x0, x0, #0x85
0xfffffff0093d0900: c8024039  ldrb	w8, [x22]
0xfffffff0093d0904: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0093d0908: c809ffd0  adrp	x8, #0xfffffff00750a000
0xfffffff0093d090c: 09793c91  add	x9, x8, #0xf1e
0xfffffff0093d0910: c809ffd0  adrp	x8, #0xfffffff00750a000
0xfffffff0093d0914: 085d2591  add	x8, x8, #0x957
0xfffffff0093d0918: e82700a9  stp	x8, x9, [sp]
0xfffffff0093d091c: c009ffd0  adrp	x0, #0xfffffff00750a000
0xfffffff0093d0920: 00c83391  add	x0, x0, #0xcf2
0xfffffff0093d0924: bf19be97  bl	#0xfffffff008357020
0xfffffff0093d0928: 335d8052  mov	w19, #0x2e9
0xfffffff0093d092c: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff0093d0930: e00315aa  mov	x0, x21
0xfffffff0093d0934: 4a600b94  bl	#0xfffffff0096a8a5c
0xfffffff0093d0938: 800000b4  cbz	x0, #0xfffffff0093d0948
0xfffffff0093d093c: e00315aa  mov	x0, x21
0xfffffff0093d0940: 47600b94  bl	#0xfffffff0096a8a5c
0xfffffff0093d0944: 03000014  b	#0xfffffff0093d0950
0xfffffff0093d0948: c009ffd0  adrp	x0, #0xfffffff00750a000
0xfffffff0093d094c: 00140291  add	x0, x0, #0x85
0xfffffff0093d0950: c9024039  ldrb	w9, [x22]
0xfffffff0093d0954: e80313aa  mov	x8, x19
0xfffffff0093d0958: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0093d095c: c809ffd0  adrp	x8, #0xfffffff00750a000
0xfffffff0093d0960: 08793c91  add	x8, x8, #0xf1e
0xfffffff0093d0964: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0093d0968: c809ffd0  adrp	x8, #0xfffffff00750a000
0xfffffff0093d096c: 085d2591  add	x8, x8, #0x957
0xfffffff0093d0970: e80300f9  str	x8, [sp]
0xfffffff0093d0974: c009ffd0  adrp	x0, #0xfffffff00750a000
0xfffffff0093d0978: 00ac3f91  add	x0, x0, #0xfeb
0xfffffff0093d097c: a919be97  bl	#0xfffffff008357020
0xfffffff0093d0980: 88024039  ldrb	w8, [x20]
0xfffffff0093d0984: 1f01396b  cmp	w8, w25, uxtb
0xfffffff0093d0988: e0020054  b.eq	#0xfffffff0093d09e4
0xfffffff0093d098c: e00315aa  mov	x0, x21
0xfffffff0093d0990: 33600b94  bl	#0xfffffff0096a8a5c
0xfffffff0093d0994: 800000b4  cbz	x0, #0xfffffff0093d09a4
0xfffffff0093d0998: e00315aa  mov	x0, x21
