; Candidate 15532
; ADRP+ADD at VM 0xfffffff009c0b45c (fileoff 0x2c0745c): page=0x1fda37000 add_imm=0xe5b

0xfffffff009c0b3dc: 1f040071  cmp	w0, #1
0xfffffff009c0b3e0: 61040054  b.ne	#0xfffffff009c0b46c
0xfffffff009c0b3e4: 700240f9  ldr	x16, [x19]
0xfffffff009c0b3e8: f10313aa  mov	x17, x19
0xfffffff009c0b3ec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c0b3f0: 301ac1da  autda	x16, x17
0xfffffff009c0b3f4: 113d80d2  mov	x17, #0x1e8
0xfffffff009c0b3f8: 1002118b  add	x16, x16, x17
0xfffffff009c0b3fc: 080240f9  ldr	x8, [x16]
0xfffffff009c0b400: e90310aa  mov	x9, x16
0xfffffff009c0b404: e00313aa  mov	x0, x19
0xfffffff009c0b408: 010080d2  mov	x1, #0
0xfffffff009c0b40c: f10309aa  mov	x17, x9
0xfffffff009c0b410: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009c0b414: 11093fd7  blraa	x8, x17
0xfffffff009c0b418: f40300aa  mov	x20, x0
0xfffffff009c0b41c: 700240f9  ldr	x16, [x19]
0xfffffff009c0b420: f10313aa  mov	x17, x19
0xfffffff009c0b424: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c0b428: 301ac1da  autda	x16, x17
0xfffffff009c0b42c: 114380d2  mov	x17, #0x218
0xfffffff009c0b430: 1002118b  add	x16, x16, x17
0xfffffff009c0b434: 080240f9  ldr	x8, [x16]
0xfffffff009c0b438: e90310aa  mov	x9, x16
0xfffffff009c0b43c: e00313aa  mov	x0, x19
0xfffffff009c0b440: 010080d2  mov	x1, #0
0xfffffff009c0b444: f10309aa  mov	x17, x9
0xfffffff009c0b448: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009c0b44c: 11093fd7  blraa	x8, x17
0xfffffff009c0b450: fce301a9  stp	x28, x24, [sp, #0x18]
0xfffffff009c0b454: e0ef00a9  stp	x0, x27, [sp, #8]
0xfffffff009c0b458: f40300f9  str	x20, [sp]
0xfffffff009c0b45c: a0d1fef0  adrp	x0, #0xfffffff007642000
0xfffffff009c0b460: 006c3991  add	x0, x0, #0xe5b
0xfffffff009c0b464: ef2e9d97  bl	#0xfffffff008357020
0xfffffff009c0b468: 47000014  b	#0xfffffff009c0b584
0xfffffff009c0b46c: 700240f9  ldr	x16, [x19]
0xfffffff009c0b470: f10313aa  mov	x17, x19
0xfffffff009c0b474: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c0b478: 301ac1da  autda	x16, x17
0xfffffff009c0b47c: 113d80d2  mov	x17, #0x1e8
0xfffffff009c0b480: 1002118b  add	x16, x16, x17
0xfffffff009c0b484: 080240f9  ldr	x8, [x16]
0xfffffff009c0b488: e90310aa  mov	x9, x16
0xfffffff009c0b48c: e00313aa  mov	x0, x19
0xfffffff009c0b490: 010080d2  mov	x1, #0
0xfffffff009c0b494: f10309aa  mov	x17, x9
0xfffffff009c0b498: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009c0b49c: 11093fd7  blraa	x8, x17
0xfffffff009c0b4a0: 700240f9  ldr	x16, [x19]
0xfffffff009c0b4a4: f10313aa  mov	x17, x19
0xfffffff009c0b4a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c0b4ac: 301ac1da  autda	x16, x17
0xfffffff009c0b4b0: 114380d2  mov	x17, #0x218
0xfffffff009c0b4b4: 1002118b  add	x16, x16, x17
0xfffffff009c0b4b8: 080240f9  ldr	x8, [x16]
0xfffffff009c0b4bc: e90310aa  mov	x9, x16
0xfffffff009c0b4c0: e00313aa  mov	x0, x19
0xfffffff009c0b4c4: 010080d2  mov	x1, #0
0xfffffff009c0b4c8: f10309aa  mov	x17, x9
0xfffffff009c0b4cc: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009c0b4d0: 11093fd7  blraa	x8, x17
0xfffffff009c0b4d4: f40240f9  ldr	x20, [x23]
0xfffffff009c0b4d8: 700240f9  ldr	x16, [x19]
