; Candidate 4423
; ADRP+ADD at VM 0xfffffff0087b0210 (fileoff 0x17ac210): page=0x1fe981000 add_imm=0xd90

0xfffffff0087b0190: ec03162a  mov	w12, w22
0xfffffff0087b0194: 9f4529eb  cmp	x12, w9, uxtw #1
0xfffffff0087b0198: 49858a9a  cinc	x9, x10, ls
0xfffffff0087b019c: 0a2140f9  ldr	x10, [x8, #0x40]
0xfffffff0087b01a0: 4a010b8b  add	x10, x10, x11
0xfffffff0087b01a4: 0a2100f9  str	x10, [x8, #0x40]
0xfffffff0087b01a8: 0a4940b9  ldr	w10, [x8, #0x48]
0xfffffff0087b01ac: 7f010a6b  cmp	w11, w10
0xfffffff0087b01b0: 6a818a1a  csel	w10, w11, w10, hi
0xfffffff0087b01b4: 0a4900b9  str	w10, [x8, #0x48]
0xfffffff0087b01b8: 0a2940f9  ldr	x10, [x8, #0x50]
0xfffffff0087b01bc: 4a41358b  add	x10, x10, w21, uxtw
0xfffffff0087b01c0: 0a2900f9  str	x10, [x8, #0x50]
0xfffffff0087b01c4: 0a5940b9  ldr	w10, [x8, #0x58]
0xfffffff0087b01c8: 5f01156b  cmp	w10, w21
0xfffffff0087b01cc: 4a81951a  csel	w10, w10, w21, hi
0xfffffff0087b01d0: 0a5900b9  str	w10, [x8, #0x58]
0xfffffff0087b01d4: 0a3140f9  ldr	x10, [x8, #0x60]
0xfffffff0087b01d8: 29010a8b  add	x9, x9, x10
0xfffffff0087b01dc: 093100f9  str	x9, [x8, #0x60]
0xfffffff0087b01e0: 89124039  ldrb	w9, [x20, #4]
0xfffffff0087b01e4: 0a714039  ldrb	w10, [x8, #0x1c]
0xfffffff0087b01e8: 4901092a  orr	w9, w10, w9
0xfffffff0087b01ec: 09710039  strb	w9, [x8, #0x1c]
0xfffffff0087b01f0: 89164039  ldrb	w9, [x20, #5]
0xfffffff0087b01f4: 0a754039  ldrb	w10, [x8, #0x1d]
0xfffffff0087b01f8: 4901092a  orr	w9, w10, w9
0xfffffff0087b01fc: 09750039  strb	w9, [x8, #0x1d]
0xfffffff0087b0200: 0c000014  b	#0xfffffff0087b0230
0xfffffff0087b0204: 684dffb0  adrp	x8, #0xfffffff00715d000
0xfffffff0087b0208: 08e12491  add	x8, x8, #0x938
0xfffffff0087b020c: e86300a9  stp	x8, x24, [sp]
0xfffffff0087b0210: 004cffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087b0214: 00403691  add	x0, x0, #0xd90
0xfffffff0087b0218: 6192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b021c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b0220: c34cfff0  adrp	x3, #0xfffffff00714b000
0xfffffff0087b0224: 63a41391  add	x3, x3, #0x4e9
0xfffffff0087b0228: 02008052  mov	w2, #0
0xfffffff0087b022c: c10bee97  bl	#0xfffffff008333130
0xfffffff0087b0230: 600240f9  ldr	x0, [x19]
0xfffffff0087b0234: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0087b0238: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0087b023c: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0087b0240: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0087b0244: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff0087b0248: ffc30191  add	sp, sp, #0x70
0xfffffff0087b024c: ff2303d5  autibsp	
0xfffffff0087b0250: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0087b0254: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0087b025c
0xfffffff0087b0258: 208e38d4  brk	#0xc471
0xfffffff0087b025c: 38f1d717  b	#0xfffffff007dac73c
0xfffffff0087b0260: 7f2303d5  pacibsp	
0xfffffff0087b0264: ff4301d1  sub	sp, sp, #0x50
0xfffffff0087b0268: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0087b026c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0087b0270: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0087b0274: fd030191  add	x29, sp, #0x40
0xfffffff0087b0278: f50302aa  mov	x21, x2
0xfffffff0087b027c: f40301aa  mov	x20, x1
0xfffffff0087b0280: f30300aa  mov	x19, x0
0xfffffff0087b0284: 000040f9  ldr	x0, [x0]
0xfffffff0087b0288: 11eed797  bl	#0xfffffff007dabacc
0xfffffff0087b028c: 9f820071  cmp	w20, #0x20
