; Candidate 12503
; ADRP+ADD at VM 0xfffffff0090aaa64 (fileoff 0x20a6a64): page=0x1fe3af000 add_imm=0xe24

0xfffffff0090aa9e4: 185f3291  add	x24, x24, #0xc97
0xfffffff0090aa9e8: 991dfff0  adrp	x25, #0xfffffff00745d000
0xfffffff0090aa9ec: 39433c91  add	x25, x25, #0xf10
0xfffffff0090aa9f0: 1f290071  cmp	w8, #0xa
0xfffffff0090aa9f4: a8000054  b.hi	#0xfffffff0090aaa08
0xfffffff0090aa9f8: f96300a9  stp	x25, x24, [sp]
0xfffffff0090aa9fc: 601dfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090aaa00: 00583191  add	x0, x0, #0xc56
0xfffffff0090aaa04: 87b1ca97  bl	#0xfffffff008357020
0xfffffff0090aaa08: 760400b4  cbz	x22, #0xfffffff0090aaa94
0xfffffff0090aaa0c: 540400b4  cbz	x20, #0xfffffff0090aaa94
0xfffffff0090aaa10: 880240f9  ldr	x8, [x20]
0xfffffff0090aaa14: 1b0113ab  adds	x27, x8, x19
0xfffffff0090aaa18: c2050054  b.hs	#0xfffffff0090aaad0
0xfffffff0090aaa1c: 7f0317eb  cmp	x27, x23
0xfffffff0090aaa20: c8060054  b.hi	#0xfffffff0090aaaf8
0xfffffff0090aaa24: f50000b4  cbz	x21, #0xfffffff0090aaa40
0xfffffff0090aaa28: d30000b4  cbz	x19, #0xfffffff0090aaa40
0xfffffff0090aaa2c: c10208ab  adds	x1, x22, x8
0xfffffff0090aaa30: 22080054  b.hs	#0xfffffff0090aab34
0xfffffff0090aaa34: e00315aa  mov	x0, x21
0xfffffff0090aaa38: e20313aa  mov	x2, x19
0xfffffff0090aaa3c: d587b297  bl	#0xfffffff007d4c990
0xfffffff0090aaa40: 13008052  mov	w19, #0
0xfffffff0090aaa44: 9b0200f9  str	x27, [x20]
0xfffffff0090aaa48: 48018052  mov	w8, #0xa
0xfffffff0090aaa4c: 49034039  ldrb	w9, [x26]
0xfffffff0090aaa50: 1f01096b  cmp	w8, w9
0xfffffff0090aaa54: e3000054  b.lo	#0xfffffff0090aaa70
0xfffffff0090aaa58: 687e4093  sxtw	x8, w19
0xfffffff0090aaa5c: f96300a9  stp	x25, x24, [sp]
0xfffffff0090aaa60: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090aaa64: 601dfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090aaa68: 00903891  add	x0, x0, #0xe24
0xfffffff0090aaa6c: 6db1ca97  bl	#0xfffffff008357020
0xfffffff0090aaa70: e00313aa  mov	x0, x19
0xfffffff0090aaa74: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0090aaa78: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0090aaa7c: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0090aaa80: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0090aaa84: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff0090aaa88: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff0090aaa8c: ff430291  add	sp, sp, #0x90
0xfffffff0090aaa90: ff0f5fd6  retab	
0xfffffff0090aaa94: 68098052  mov	w8, #0x4b
0xfffffff0090aaa98: c91dffd0  adrp	x9, #0xfffffff007464000
0xfffffff0090aaa9c: 29a52d91  add	x9, x9, #0xb69
0xfffffff0090aaaa0: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090aaaa4: 681dfff0  adrp	x8, #0xfffffff007459000
0xfffffff0090aaaa8: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090aaaac: ca1dffd0  adrp	x10, #0xfffffff007464000
0xfffffff0090aaab0: 4aad3291  add	x10, x10, #0xcab
0xfffffff0090aaab4: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff0090aaab8: ea0300f9  str	x10, [sp]
0xfffffff0090aaabc: 601dfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090aaac0: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090aaac4: 57b1ca97  bl	#0xfffffff008357020
0xfffffff0090aaac8: 53008012  mov	w19, #-3
0xfffffff0090aaacc: 29000014  b	#0xfffffff0090aab70
0xfffffff0090aaad0: ea098052  mov	w10, #0x4f
0xfffffff0090aaad4: c81dffd0  adrp	x8, #0xfffffff007464000
0xfffffff0090aaad8: 08a52d91  add	x8, x8, #0xb69
0xfffffff0090aaadc: 691dfff0  adrp	x9, #0xfffffff007459000
0xfffffff0090aaae0: 29b92d91  add	x9, x9, #0xb6e
