; Candidate 128
; ADRP+ADD at VM 0xfffffff007e29f64 (fileoff 0xe25f64): page=0x23a8000 add_imm=0xd20

0xfffffff007e29ee4: 8a2001d0  adrp	x10, #0xfffffff00a23b000
0xfffffff007e29ee8: 4aed41b9  ldr	w10, [x10, #0x1ec]
0xfffffff007e29eec: ea030a4b  neg	w10, w10
0xfffffff007e29ef0: 0a29091b  madd	w10, w8, w9, w10
0xfffffff007e29ef4: 087d0353  lsr	w8, w8, #3
0xfffffff007e29ef8: 087d091b  mul	w8, w8, w9
0xfffffff007e29efc: 5f01086b  cmp	w10, w8
0xfffffff007e29f00: e9000054  b.ls	#0xfffffff007e29f1c
0xfffffff007e29f04: 281f01f0  adrp	x8, #0xfffffff00a210000
0xfffffff007e29f08: 095547f9  ldr	x9, [x8, #0xea8]
0xfffffff007e29f0c: 29050091  add	x9, x9, #1
0xfffffff007e29f10: 095507f9  str	x9, [x8, #0xea8]
0xfffffff007e29f14: 20008052  mov	w0, #1
0xfffffff007e29f18: 02000014  b	#0xfffffff007e29f20
0xfffffff007e29f1c: 00008052  mov	w0, #0
0xfffffff007e29f20: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff007e29f24: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff007e29f28: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff007e29f2c: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff007e29f30: ff430191  add	sp, sp, #0x50
0xfffffff007e29f34: ff0f5fd6  retab	
0xfffffff007e29f38: 401d0190  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e29f3c: 00803491  add	x0, x0, #0xd20
0xfffffff007e29f40: f30301aa  mov	x19, x1
0xfffffff007e29f44: 42008052  mov	w2, #2
0xfffffff007e29f48: e92300a9  stp	x9, x8, [sp]
0xfffffff007e29f4c: eb06fe97  bl	#0xfffffff007dabaf8
0xfffffff007e29f50: 4a1d0190  adrp	x10, #0xfffffff00a1d1000
0xfffffff007e29f54: 4aa13491  add	x10, x10, #0xd28
0xfffffff007e29f58: e92340a9  ldp	x9, x8, [sp]
0xfffffff007e29f5c: e10313aa  mov	x1, x19
0xfffffff007e29f60: d2feff17  b	#0xfffffff007e29aa8
0xfffffff007e29f64: 401d0190  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e29f68: 00803491  add	x0, x0, #0xd20
0xfffffff007e29f6c: fe09fe97  bl	#0xfffffff007dac764
0xfffffff007e29f70: defeff17  b	#0xfffffff007e29ae8
0xfffffff007e29f74: 7f2303d5  pacibsp	
0xfffffff007e29f78: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff007e29f7c: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff007e29f80: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff007e29f84: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff007e29f88: fdc30091  add	x29, sp, #0x30
0xfffffff007e29f8c: f70303aa  mov	x23, x3
0xfffffff007e29f90: f40302aa  mov	x20, x2
0xfffffff007e29f94: f50301aa  mov	x21, x1
0xfffffff007e29f98: f30300aa  mov	x19, x0
0xfffffff007e29f9c: 08904878  ldurh	w8, [x0, #0x89]
0xfffffff007e29fa0: 090d1c12  and	w9, w8, #0xf0
0xfffffff007e29fa4: 3f010271  cmp	w9, #0x80
0xfffffff007e29fa8: 61020054  b.ne	#0xfffffff007e29ff4
0xfffffff007e29fac: 6a5e40b9  ldr	w10, [x19, #0x5c]
0xfffffff007e29fb0: 291f01f0  adrp	x9, #0xfffffff00a210000
0xfffffff007e29fb4: 29554eb9  ldr	w9, [x9, #0xe54]
0xfffffff007e29fb8: 6b6a40b9  ldr	w11, [x19, #0x68]
0xfffffff007e29fbc: 2a010a0b  add	w10, w9, w10
0xfffffff007e29fc0: 4a090b4b  sub	w10, w10, w11, lsl #2
0xfffffff007e29fc4: 5f0d496b  cmp	w10, w9, lsr #3
0xfffffff007e29fc8: 63010054  b.lo	#0xfffffff007e29ff4
0xfffffff007e29fcc: 6a6240b9  ldr	w10, [x19, #0x60]
0xfffffff007e29fd0: 0b808052  mov	w11, #0x400
0xfffffff007e29fd4: 6a010a4b  sub	w10, w11, w10
0xfffffff007e29fd8: 5f39496b  cmp	w10, w9, lsr #14
0xfffffff007e29fdc: c9000054  b.ls	#0xfffffff007e29ff4
0xfffffff007e29fe0: e00313aa  mov	x0, x19
