; Candidate 12570
; ADRP+ADD at VM 0xfffffff0090be8c4 (fileoff 0x20ba8c4): page=0x1fe39b000 add_imm=0xe24

0xfffffff0090be844: 431dffb0  adrp	x3, #0xfffffff007467000
0xfffffff0090be848: 63683f91  add	x3, x3, #0xfda
0xfffffff0090be84c: 451dffd0  adrp	x5, #0xfffffff007468000
0xfffffff0090be850: a5183391  add	x5, x5, #0xcc6
0xfffffff0090be854: e10314aa  mov	x1, x20
0xfffffff0090be858: 02008252  mov	w2, #0x1000
0xfffffff0090be85c: 64a18052  mov	w4, #0x50b
0xfffffff0090be860: 6b77ff97  bl	#0xfffffff00909c60c
0xfffffff0090be864: e00314aa  mov	x0, x20
0xfffffff0090be868: 01008252  mov	w1, #0x1000
0xfffffff0090be86c: 1177ff97  bl	#0xfffffff00909c4b0
0xfffffff0090be870: 939200b0  adrp	x19, #0xfffffff00a30f000
0xfffffff0090be874: 73420c91  add	x19, x19, #0x310
0xfffffff0090be878: 95000034  cbz	w21, #0xfffffff0090be888
0xfffffff0090be87c: e01f40f9  ldr	x0, [sp, #0x38]
0xfffffff0090be880: 400000b4  cbz	x0, #0xfffffff0090be888
0xfffffff0090be884: e8b5ff97  bl	#0xfffffff0090ac024
0xfffffff0090be888: bf020071  cmp	w21, #0
0xfffffff0090be88c: c8088052  mov	w8, #0x46
0xfffffff0090be890: 49018052  mov	w9, #0xa
0xfffffff0090be894: 2801881a  csel	w8, w9, w8, eq
0xfffffff0090be898: 69024039  ldrb	w9, [x19]
0xfffffff0090be89c: 1f01096b  cmp	w8, w9
0xfffffff0090be8a0: 83010054  b.lo	#0xfffffff0090be8d0
0xfffffff0090be8a4: e80315aa  mov	x8, x21
0xfffffff0090be8a8: 087d4093  sxtw	x8, w8
0xfffffff0090be8ac: 491dffd0  adrp	x9, #0xfffffff007468000
0xfffffff0090be8b0: 2a193391  add	x10, x9, #0xcc6
0xfffffff0090be8b4: e91cfff0  adrp	x9, #0xfffffff00745d000
0xfffffff0090be8b8: 29413c91  add	x9, x9, #0xf10
0xfffffff0090be8bc: e92b00a9  stp	x9, x10, [sp]
0xfffffff0090be8c0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090be8c4: c01cfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090be8c8: 00903891  add	x0, x0, #0xe24
0xfffffff0090be8cc: d561ca97  bl	#0xfffffff008357020
0xfffffff0090be8d0: e00315aa  mov	x0, x21
0xfffffff0090be8d4: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff0090be8d8: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff0090be8dc: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0090be8e0: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff0090be8e4: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff0090be8e8: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff0090be8ec: ffc30291  add	sp, sp, #0xb0
0xfffffff0090be8f0: ff0f5fd6  retab	
0xfffffff0090be8f4: 289c8052  mov	w8, #0x4e1
0xfffffff0090be8f8: 491dffb0  adrp	x9, #0xfffffff007467000
0xfffffff0090be8fc: 29693f91  add	x9, x9, #0xfda
0xfffffff0090be900: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090be904: c81cfff0  adrp	x8, #0xfffffff007459000
0xfffffff0090be908: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090be90c: 2a1dff90  adrp	x10, #0xfffffff007462000
0xfffffff0090be910: 4a6d2c91  add	x10, x10, #0xb1b
0xfffffff0090be914: 12000014  b	#0xfffffff0090be95c
0xfffffff0090be918: 489c8052  mov	w8, #0x4e2
0xfffffff0090be91c: 491dffb0  adrp	x9, #0xfffffff007467000
0xfffffff0090be920: 29693f91  add	x9, x9, #0xfda
0xfffffff0090be924: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090be928: c81cfff0  adrp	x8, #0xfffffff007459000
0xfffffff0090be92c: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090be930: 0a1dff90  adrp	x10, #0xfffffff00745e000
0xfffffff0090be934: 4a811e91  add	x10, x10, #0x7a0
0xfffffff0090be938: 09000014  b	#0xfffffff0090be95c
0xfffffff0090be93c: 689c8052  mov	w8, #0x4e3
0xfffffff0090be940: 491dffb0  adrp	x9, #0xfffffff007467000
