; Candidate 9990
; ADRP+ADD at VM 0xfffffff008bf5158 (fileoff 0x1bf1158): page=0x1fe745000 add_imm=0xebf

0xfffffff008bf50d8: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff008bf50dc: e90310aa  mov	x9, x16
0xfffffff008bf50e0: e00316aa  mov	x0, x22
0xfffffff008bf50e4: f10309aa  mov	x17, x9
0xfffffff008bf50e8: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff008bf50ec: 11093fd7  blraa	x8, x17
0xfffffff008bf50f0: e30300aa  mov	x3, x0
0xfffffff008bf50f4: 243affb0  adrp	x4, #0xfffffff00733a000
0xfffffff008bf50f8: 84fc3a91  add	x4, x4, #0xebf
0xfffffff008bf50fc: e00313aa  mov	x0, x19
0xfffffff008bf5100: e10315aa  mov	x1, x21
0xfffffff008bf5104: e20319aa  mov	x2, x25
0xfffffff008bf5108: c2f5ff97  bl	#0xfffffff008bf2810
0xfffffff008bf510c: c00200b4  cbz	x0, #0xfffffff008bf5164
0xfffffff008bf5110: f50300aa  mov	x21, x0
0xfffffff008bf5114: 700240f9  ldr	x16, [x19]
0xfffffff008bf5118: f10313aa  mov	x17, x19
0xfffffff008bf511c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008bf5120: 301ac1da  autda	x16, x17
0xfffffff008bf5124: 11df80d2  mov	x17, #0x6f8
0xfffffff008bf5128: 1002118b  add	x16, x16, x17
0xfffffff008bf512c: 080240f9  ldr	x8, [x16]
0xfffffff008bf5130: e90310aa  mov	x9, x16
0xfffffff008bf5134: e00313aa  mov	x0, x19
0xfffffff008bf5138: e10316aa  mov	x1, x22
0xfffffff008bf513c: e20315aa  mov	x2, x21
0xfffffff008bf5140: e30318aa  mov	x3, x24
0xfffffff008bf5144: f10309aa  mov	x17, x9
0xfffffff008bf5148: 3134f3f2  movk	x17, #0x99a1, lsl #48
0xfffffff008bf514c: 11093fd7  blraa	x8, x17
0xfffffff008bf5150: 40090036  tbz	w0, #0, #0xfffffff008bf5278
0xfffffff008bf5154: 18008052  mov	w24, #0
0xfffffff008bf5158: 203affb0  adrp	x0, #0xfffffff00733a000
0xfffffff008bf515c: 00fc3a91  add	x0, x0, #0xebf
0xfffffff008bf5160: f6000014  b	#0xfffffff008bf5538
0xfffffff008bf5164: 605240f9  ldr	x0, [x19, #0xa0]
0xfffffff008bf5168: 100040f9  ldr	x16, [x0]
0xfffffff008bf516c: f10300aa  mov	x17, x0
0xfffffff008bf5170: b12efef2  movk	x17, #0xf175, lsl #48
0xfffffff008bf5174: 301ac1da  autda	x16, x17
0xfffffff008bf5178: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff008bf517c: e90310aa  mov	x9, x16
0xfffffff008bf5180: f10309aa  mov	x17, x9
0xfffffff008bf5184: 1161ecf2  movk	x17, #0x6308, lsl #48
0xfffffff008bf5188: 11093fd7  blraa	x8, x17
0xfffffff008bf518c: 100040f9  ldr	x16, [x0]
0xfffffff008bf5190: f10300aa  mov	x17, x0
0xfffffff008bf5194: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008bf5198: 301ac1da  autda	x16, x17
0xfffffff008bf519c: f10310aa  mov	x17, x16
0xfffffff008bf51a0: f147c1da  xpacd	x17
0xfffffff008bf51a4: 1f0211eb  cmp	x16, x17
0xfffffff008bf51a8: 40000054  b.eq	#0xfffffff008bf51b0
0xfffffff008bf51ac: 408e38d4  brk	#0xc472
0xfffffff008bf51b0: 08420491  add	x8, x16, #0x110
0xfffffff008bf51b4: 098a40f9  ldr	x9, [x16, #0x110]
0xfffffff008bf51b8: e10316aa  mov	x1, x22
0xfffffff008bf51bc: f10308aa  mov	x17, x8
0xfffffff008bf51c0: d1c9e2f2  movk	x17, #0x164e, lsl #48
0xfffffff008bf51c4: 31093fd7  blraa	x9, x17
0xfffffff008bf51c8: 2875ffb0  adrp	x8, #0xfffffff007a9a000
0xfffffff008bf51cc: 08ed41f9  ldr	x8, [x8, #0x3d8]
0xfffffff008bf51d0: 010140f9  ldr	x1, [x8]
0xfffffff008bf51d4: c8badb97  bl	#0xfffffff0082e3cf4
