; Candidate 7838
; ADRP+ADD at VM 0xfffffff008882578 (fileoff 0x187e578): page=0x1fe967000 add_imm=0xe80

0xfffffff0088824f8: 2ab92791  add	x10, x9, #0x9ee
0xfffffff0088824fc: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008882500: 08338052  mov	w8, #0x198
0xfffffff008882504: 494dffd0  adrp	x9, #0xfffffff00722c000
0xfffffff008882508: 29b13e91  add	x9, x9, #0xfac
0xfffffff00888250c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008882510: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff008882514: 08fd0891  add	x8, x8, #0x23f
0xfffffff008882518: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00888251c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008882520: 880b8052  mov	w8, #0x5c
0xfffffff008882524: 404dffd0  adrp	x0, #0xfffffff00722c000
0xfffffff008882528: 00ec3e91  add	x0, x0, #0xfbb
0xfffffff00888252c: f62300a9  stp	x22, x8, [sp]
0xfffffff008882530: ccd3d497  bl	#0xfffffff007db7460
0xfffffff008882534: c1ffff17  b	#0xfffffff008882438
0xfffffff008882538: 1dc70094  bl	#0xfffffff0088b41ac
0xfffffff00888253c: f60300aa  mov	x22, x0
0xfffffff008882540: 00018052  mov	w0, #8
0xfffffff008882544: c3e4ff97  bl	#0xfffffff00887b850
0xfffffff008882548: e80315aa  mov	x8, x21
0xfffffff00888254c: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff008882550: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff008882554: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff008882558: 484dffd0  adrp	x8, #0xfffffff00722c000
0xfffffff00888255c: 0ab13e91  add	x10, x8, #0xfac
0xfffffff008882560: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff008882564: 08fd0891  add	x8, x8, #0x23f
0xfffffff008882568: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff00888256c: 880b8052  mov	w8, #0x5c
0xfffffff008882570: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008882574: f60300f9  str	x22, [sp]
0xfffffff008882578: 204bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888257c: 00003a91  add	x0, x0, #0xe80
0xfffffff008882580: 218cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008882584: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008882588: c34effb0  adrp	x3, #0xfffffff00725b000
0xfffffff00888258c: 63183891  add	x3, x3, #0xe06
0xfffffff008882590: 02008052  mov	w2, #0
0xfffffff008882594: e7c2ea97  bl	#0xfffffff008333130
0xfffffff008882598: e00315aa  mov	x0, x21
0xfffffff00888259c: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0088825a0: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0088825a4: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0088825a8: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0088825ac: ff830291  add	sp, sp, #0xa0
0xfffffff0088825b0: ff0f5fd6  retab	
0xfffffff0088825b4: 74720139  strb	w20, [x19, #0x5c]
0xfffffff0088825b8: 800b8052  mov	w0, #0x5c
0xfffffff0088825bc: c1008052  mov	w1, #6
0xfffffff0088825c0: 84e4ff97  bl	#0xfffffff00887b7d0
0xfffffff0088825c4: 80f3ff34  cbz	w0, #0xfffffff008882434
0xfffffff0088825c8: 800b8052  mov	w0, #0x5c
0xfffffff0088825cc: 93e4ff97  bl	#0xfffffff00887b818
0xfffffff0088825d0: f60300aa  mov	x22, x0
0xfffffff0088825d4: f6c60094  bl	#0xfffffff0088b41ac
0xfffffff0088825d8: f50300aa  mov	x21, x0
0xfffffff0088825dc: c0008052  mov	w0, #6
0xfffffff0088825e0: 9ce4ff97  bl	#0xfffffff00887b850
0xfffffff0088825e4: 16060034  cbz	w22, #0xfffffff0088826a4
0xfffffff0088825e8: 68724139  ldrb	w8, [x19, #0x5c]
0xfffffff0088825ec: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff0088825f0: e9a303a9  stp	x9, x8, [sp, #0x38]
0xfffffff0088825f4: a8338052  mov	w8, #0x19d
