; Candidate 10715
; ADRP+ADD at VM 0xfffffff008de4020 (fileoff 0x1de0020): page=0x1fe5e0000 add_imm=0xe15

0xfffffff008de3fa0: 4bc78052  mov	w11, #0x63a
0xfffffff008de3fa4: 082fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de3fa8: 08493991  add	x8, x8, #0xe52
0xfffffff008de3fac: e92efff0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de3fb0: 29d10d91  add	x9, x9, #0x374
0xfffffff008de3fb4: ea2effd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de3fb8: 4a490d91  add	x10, x10, #0x352
0xfffffff008de3fbc: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff008de3fc0: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de3fc4: e90300f9  str	x9, [sp]
0xfffffff008de3fc8: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de3fcc: 00543891  add	x0, x0, #0xe15
0xfffffff008de3fd0: 14ccd597  bl	#0xfffffff008357020
0xfffffff008de3fd4: c8088052  mov	w8, #0x46
0xfffffff008de3fd8: 73008012  mov	w19, #-4
0xfffffff008de3fdc: fb2efff0  adrp	x27, #0xfffffff0073c2000
0xfffffff008de3fe0: 7b5b0c91  add	x27, x27, #0x316
0xfffffff008de3fe4: 94ffff17  b	#0xfffffff008de3e34
0xfffffff008de3fe8: a8c78052  mov	w8, #0x63d
0xfffffff008de3fec: 03000014  b	#0xfffffff008de3ff8
0xfffffff008de3ff0: 08c88052  mov	w8, #0x640
0xfffffff008de3ff4: f30300aa  mov	x19, x0
0xfffffff008de3ff8: 697e4093  sxtw	x9, w19
0xfffffff008de3ffc: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de4000: 082fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de4004: 08493991  add	x8, x8, #0xe52
0xfffffff008de4008: 0a2fff90  adrp	x10, #0xfffffff0073c4000
0xfffffff008de400c: 4af13a91  add	x10, x10, #0xebc
0xfffffff008de4010: eb2effb0  adrp	x11, #0xfffffff0073c1000
0xfffffff008de4014: 6b490d91  add	x11, x11, #0x352
0xfffffff008de4018: e82f01a9  stp	x8, x11, [sp, #0x10]
0xfffffff008de401c: ea2700a9  stp	x10, x9, [sp]
0xfffffff008de4020: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de4024: 00543891  add	x0, x0, #0xe15
0xfffffff008de4028: fecbd597  bl	#0xfffffff008357020
0xfffffff008de402c: 70ffff17  b	#0xfffffff008de3dec
0xfffffff008de4030: 7f2303d5  pacibsp	
0xfffffff008de4034: ff8302d1  sub	sp, sp, #0xa0
0xfffffff008de4038: fc6f04a9  stp	x28, x27, [sp, #0x40]
0xfffffff008de403c: fa6705a9  stp	x26, x25, [sp, #0x50]
0xfffffff008de4040: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff008de4044: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff008de4048: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff008de404c: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff008de4050: fd430291  add	x29, sp, #0x90
0xfffffff008de4054: f50307aa  mov	x21, x7
0xfffffff008de4058: f30306aa  mov	x19, x6
0xfffffff008de405c: f90305aa  mov	x25, x5
0xfffffff008de4060: fa0304aa  mov	x26, x4
0xfffffff008de4064: fb0303aa  mov	x27, x3
0xfffffff008de4068: fc0302aa  mov	x28, x2
0xfffffff008de406c: e11b00f9  str	x1, [sp, #0x30]
0xfffffff008de4070: f60300aa  mov	x22, x0
0xfffffff008de4074: d8a800f0  adrp	x24, #0xfffffff00a2ff000
0xfffffff008de4078: 18432c91  add	x24, x24, #0xb10
0xfffffff008de407c: 08034039  ldrb	w8, [x24]
0xfffffff008de4080: f72effd0  adrp	x23, #0xfffffff0073c2000
0xfffffff008de4084: f70a0e91  add	x23, x23, #0x382
0xfffffff008de4088: f42effb0  adrp	x20, #0xfffffff0073c1000
0xfffffff008de408c: 949e0c91  add	x20, x20, #0x327
0xfffffff008de4090: 1f290071  cmp	w8, #0xa
0xfffffff008de4094: a8000054  b.hi	#0xfffffff008de40a8
0xfffffff008de4098: f45f00a9  stp	x20, x23, [sp]
0xfffffff008de409c: 002fff90  adrp	x0, #0xfffffff0073c4000
