; Candidate 8195
; ADRP+ADD at VM 0xfffffff00889b848 (fileoff 0x1897848): page=0x1fe94e000 add_imm=0xe80

0xfffffff00889b7c8: 35df4029  ldp	w21, w23, [x25, #4]
0xfffffff00889b7cc: 380f40b9  ldr	w24, [x25, #0xc]
0xfffffff00889b7d0: 984ffe97  bl	#0xfffffff00882f630
0xfffffff00889b7d4: f80302a9  stp	x24, x0, [sp, #0x20]
0xfffffff00889b7d8: f55f01a9  stp	x21, x23, [sp, #0x10]
0xfffffff00889b7dc: e8830691  add	x8, sp, #0x1a0
0xfffffff00889b7e0: e86700a9  stp	x8, x25, [sp]
0xfffffff00889b7e4: a04cffd0  adrp	x0, #0xfffffff007231000
0xfffffff00889b7e8: 004c2c91  add	x0, x0, #0xb13
0xfffffff00889b7ec: 1d6fd497  bl	#0xfffffff007db7460
0xfffffff00889b7f0: 34000014  b	#0xfffffff00889b8c0
0xfffffff00889b7f4: 08b78752  mov	w8, #0x3db8
0xfffffff00889b7f8: fc4f40f9  ldr	x28, [sp, #0x98]
0xfffffff00889b7fc: 9703088b  add	x23, x28, x8
0xfffffff00889b800: e00317aa  mov	x0, x23
0xfffffff00889b804: 8b4ffe97  bl	#0xfffffff00882f630
0xfffffff00889b808: 69620094  bl	#0xfffffff0088b41ac
0xfffffff00889b80c: f80300aa  mov	x24, x0
0xfffffff00889b810: e00316aa  mov	x0, x22
0xfffffff00889b814: 0f80ff97  bl	#0xfffffff00887b850
0xfffffff00889b818: f90300aa  mov	x25, x0
0xfffffff00889b81c: 95eb4029  ldp	w21, w26, [x28, #4]
0xfffffff00889b820: 9b0f40b9  ldr	w27, [x28, #0xc]
0xfffffff00889b824: e00317aa  mov	x0, x23
0xfffffff00889b828: 824ffe97  bl	#0xfffffff00882f630
0xfffffff00889b82c: fb8303a9  stp	x27, x0, [sp, #0x38]
0xfffffff00889b830: f5eb02a9  stp	x21, x26, [sp, #0x28]
0xfffffff00889b834: e8830691  add	x8, sp, #0x1a0
0xfffffff00889b838: e8f301a9  stp	x8, x28, [sp, #0x18]
0xfffffff00889b83c: e80314aa  mov	x8, x20
0xfffffff00889b840: e8e700a9  stp	x8, x25, [sp, #8]
0xfffffff00889b844: f80300f9  str	x24, [sp]
0xfffffff00889b848: 604affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889b84c: 00003a91  add	x0, x0, #0xe80
0xfffffff00889b850: 618bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889b854: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889b858: 234effd0  adrp	x3, #0xfffffff007261000
0xfffffff00889b85c: 633c3091  add	x3, x3, #0xc0f
0xfffffff00889b860: 02008052  mov	w2, #0
0xfffffff00889b864: 335eea97  bl	#0xfffffff008333130
0xfffffff00889b868: 16000014  b	#0xfffffff00889b8c0
0xfffffff00889b86c: 08b78752  mov	w8, #0x3db8
0xfffffff00889b870: fa4f40f9  ldr	x26, [sp, #0x98]
0xfffffff00889b874: 5703088b  add	x23, x26, x8
0xfffffff00889b878: e00317aa  mov	x0, x23
0xfffffff00889b87c: 6d4ffe97  bl	#0xfffffff00882f630
0xfffffff00889b880: 55e34029  ldp	w21, w24, [x26, #4]
0xfffffff00889b884: 590f40b9  ldr	w25, [x26, #0xc]
0xfffffff00889b888: e00317aa  mov	x0, x23
0xfffffff00889b88c: 694ffe97  bl	#0xfffffff00882f630
0xfffffff00889b890: f90302a9  stp	x25, x0, [sp, #0x20]
0xfffffff00889b894: f56301a9  stp	x21, x24, [sp, #0x10]
0xfffffff00889b898: e8830691  add	x8, sp, #0x1a0
0xfffffff00889b89c: e86b00a9  stp	x8, x26, [sp]
0xfffffff00889b8a0: 604affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889b8a4: 00003a91  add	x0, x0, #0xe80
0xfffffff00889b8a8: 618bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889b8ac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889b8b0: 234effd0  adrp	x3, #0xfffffff007261000
0xfffffff00889b8b4: 63982f91  add	x3, x3, #0xbe6
0xfffffff00889b8b8: 02008052  mov	w2, #0
0xfffffff00889b8bc: 1d5eea97  bl	#0xfffffff008333130
0xfffffff00889b8c0: 08b78752  mov	w8, #0x3db8
0xfffffff00889b8c4: e94f40f9  ldr	x9, [sp, #0x98]
