; Candidate 15269
; ADRP+ADD at VM 0xfffffff009b46064 (fileoff 0x2b42064): page=0x1fdae2000 add_imm=0xed0

0xfffffff009b45fe4: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b45fe8: e00313aa  mov	x0, x19
0xfffffff009b45fec: 010080d2  mov	x1, #0
0xfffffff009b45ff0: f10308aa  mov	x17, x8
0xfffffff009b45ff4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b45ff8: 31093fd7  blraa	x9, x17
0xfffffff009b45ffc: f60300aa  mov	x22, x0
0xfffffff009b46000: 700240f9  ldr	x16, [x19]
0xfffffff009b46004: f10313aa  mov	x17, x19
0xfffffff009b46008: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4600c: 301ac1da  autda	x16, x17
0xfffffff009b46010: f10310aa  mov	x17, x16
0xfffffff009b46014: f147c1da  xpacd	x17
0xfffffff009b46018: 1f0211eb  cmp	x16, x17
0xfffffff009b4601c: 40000054  b.eq	#0xfffffff009b46024
0xfffffff009b46020: 408e38d4  brk	#0xc472
0xfffffff009b46024: 08620891  add	x8, x16, #0x218
0xfffffff009b46028: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b4602c: e00313aa  mov	x0, x19
0xfffffff009b46030: 010080d2  mov	x1, #0
0xfffffff009b46034: f10308aa  mov	x17, x8
0xfffffff009b46038: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b4603c: 31093fd7  blraa	x9, x17
0xfffffff009b46040: 688e41f9  ldr	x8, [x19, #0x318]
0xfffffff009b46044: 0a1540b9  ldr	w10, [x8, #0x14]
0xfffffff009b46048: 08d7fef0  adrp	x8, #0xfffffff007629000
0xfffffff009b4604c: 08253991  add	x8, x8, #0xe49
0xfffffff009b46050: 09d7fef0  adrp	x9, #0xfffffff007629000
0xfffffff009b46054: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b46058: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff009b4605c: e0a700a9  stp	x0, x9, [sp, #8]
0xfffffff009b46060: f60300f9  str	x22, [sp]
0xfffffff009b46064: 00d7fed0  adrp	x0, #0xfffffff007628000
0xfffffff009b46068: 00403b91  add	x0, x0, #0xed0
0xfffffff009b4606c: 23d7feb0  adrp	x3, #0xfffffff00762b000
0xfffffff009b46070: 63b03191  add	x3, x3, #0xc6c
0xfffffff009b46074: e10315aa  mov	x1, x21
0xfffffff009b46078: e20314aa  mov	x2, x20
0xfffffff009b4607c: 2db49f97  bl	#0xfffffff008333130
0xfffffff009b46080: 700240f9  ldr	x16, [x19]
0xfffffff009b46084: f10313aa  mov	x17, x19
0xfffffff009b46088: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4608c: 301ac1da  autda	x16, x17
0xfffffff009b46090: 11c480d2  mov	x17, #0x620
0xfffffff009b46094: 1002118b  add	x16, x16, x17
0xfffffff009b46098: 080240f9  ldr	x8, [x16]
0xfffffff009b4609c: e90310aa  mov	x9, x16
0xfffffff009b460a0: e00313aa  mov	x0, x19
0xfffffff009b460a4: f10309aa  mov	x17, x9
0xfffffff009b460a8: f19fe1f2  movk	x17, #0xcff, lsl #48
0xfffffff009b460ac: 11093fd7  blraa	x8, x17
0xfffffff009b460b0: f7021012  and	w23, w23, #0x10000
0xfffffff009b460b4: 58216836  tbz	w24, #0xd, #0xfffffff009b464dc
0xfffffff009b460b8: 74c641b9  ldr	w20, [x19, #0x1c4]
0xfffffff009b460bc: f90313aa  mov	x25, x19
0xfffffff009b460c0: 39b4f9f2  movk	x25, #0xcda1, lsl #48
0xfffffff009b460c4: 140f3036  tbz	w20, #6, #0xfffffff009b462a4
0xfffffff009b460c8: 3405f036  tbz	w20, #0x1e, #0xfffffff009b4616c
0xfffffff009b460cc: 741f8e97  bl	#0xfffffff007ecde9c
0xfffffff009b460d0: 1f040071  cmp	w0, #1
0xfffffff009b460d4: c1040054  b.ne	#0xfffffff009b4616c
0xfffffff009b460d8: 700240f9  ldr	x16, [x19]
0xfffffff009b460dc: f10313aa  mov	x17, x19
0xfffffff009b460e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
