; Candidate 13404
; ADRP+ADD at VM 0xfffffff0092ce818 (fileoff 0x22ca818): page=0x1fe211000 add_imm=0xe26

0xfffffff0092ce798: 400300b4  cbz	x0, #0xfffffff0092ce800
0xfffffff0092ce79c: 700240f9  ldr	x16, [x19]
0xfffffff0092ce7a0: f10313aa  mov	x17, x19
0xfffffff0092ce7a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092ce7a8: 301ac1da  autda	x16, x17
0xfffffff0092ce7ac: 116e80d2  mov	x17, #0x370
0xfffffff0092ce7b0: 1002118b  add	x16, x16, x17
0xfffffff0092ce7b4: 080240f9  ldr	x8, [x16]
0xfffffff0092ce7b8: e90310aa  mov	x9, x16
0xfffffff0092ce7bc: e00313aa  mov	x0, x19
0xfffffff0092ce7c0: f10309aa  mov	x17, x9
0xfffffff0092ce7c4: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092ce7c8: 11093fd7  blraa	x8, x17
0xfffffff0092ce7cc: 100040f9  ldr	x16, [x0]
0xfffffff0092ce7d0: f10300aa  mov	x17, x0
0xfffffff0092ce7d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092ce7d8: 301ac1da  autda	x16, x17
0xfffffff0092ce7dc: 113d80d2  mov	x17, #0x1e8
0xfffffff0092ce7e0: 1002118b  add	x16, x16, x17
0xfffffff0092ce7e4: 080240f9  ldr	x8, [x16]
0xfffffff0092ce7e8: e90310aa  mov	x9, x16
0xfffffff0092ce7ec: 010080d2  mov	x1, #0
0xfffffff0092ce7f0: f10309aa  mov	x17, x9
0xfffffff0092ce7f4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092ce7f8: 11093fd7  blraa	x8, x17
0xfffffff0092ce7fc: 03000014  b	#0xfffffff0092ce808
0xfffffff0092ce800: 8010ff90  adrp	x0, #0xfffffff0074de000
0xfffffff0092ce804: 00102191  add	x0, x0, #0x844
0xfffffff0092ce808: a8024079  ldrh	w8, [x21]
0xfffffff0092ce80c: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092ce810: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092ce814: f60300f9  str	x22, [sp]
0xfffffff0092ce818: 8010ffb0  adrp	x0, #0xfffffff0074df000
0xfffffff0092ce81c: 00983891  add	x0, x0, #0xe26
0xfffffff0092ce820: 0022c297  bl	#0xfffffff008357020
0xfffffff0092ce824: 75523991  add	x21, x19, #0xe54
0xfffffff0092ce828: 9410ffb0  adrp	x20, #0xfffffff0074df000
0xfffffff0092ce82c: 94c62b91  add	x20, x20, #0xaf1
0xfffffff0092ce830: e00314aa  mov	x0, x20
0xfffffff0092ce834: e10315aa  mov	x1, x21
0xfffffff0092ce838: 42008052  mov	w2, #2
0xfffffff0092ce83c: df79c697  bl	#0xfffffff00846cfb8
0xfffffff0092ce840: c0070034  cbz	w0, #0xfffffff0092ce938
0xfffffff0092ce844: 700240f9  ldr	x16, [x19]
0xfffffff0092ce848: f10313aa  mov	x17, x19
0xfffffff0092ce84c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092ce850: 301ac1da  autda	x16, x17
0xfffffff0092ce854: 113d80d2  mov	x17, #0x1e8
0xfffffff0092ce858: 1002118b  add	x16, x16, x17
0xfffffff0092ce85c: 080240f9  ldr	x8, [x16]
0xfffffff0092ce860: e90310aa  mov	x9, x16
0xfffffff0092ce864: e00313aa  mov	x0, x19
0xfffffff0092ce868: 010080d2  mov	x1, #0
0xfffffff0092ce86c: f10309aa  mov	x17, x9
0xfffffff0092ce870: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092ce874: 11093fd7  blraa	x8, x17
0xfffffff0092ce878: f60300aa  mov	x22, x0
0xfffffff0092ce87c: 700240f9  ldr	x16, [x19]
0xfffffff0092ce880: f10313aa  mov	x17, x19
0xfffffff0092ce884: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092ce888: 301ac1da  autda	x16, x17
0xfffffff0092ce88c: 116e80d2  mov	x17, #0x370
0xfffffff0092ce890: 1002118b  add	x16, x16, x17
0xfffffff0092ce894: 080240f9  ldr	x8, [x16]
