; Candidate 12263
; ADRP+ADD at VM 0xfffffff00907f44c (fileoff 0x207b44c): page=0x1fe3dc000 add_imm=0xe1d

0xfffffff00907f3cc: 08f30b39  strb	w8, [x24, #0x2fc]
0xfffffff00907f3d0: 5a070011  add	w26, w26, #1
0xfffffff00907f3d4: f90315aa  mov	x25, x21
0xfffffff00907f3d8: f7031caa  mov	x23, x28
0xfffffff00907f3dc: fb0316aa  mov	x27, x22
0xfffffff00907f3e0: 9c940090  adrp	x28, #0xfffffff00a30f000
0xfffffff00907f3e4: 95940090  adrp	x21, #0xfffffff00a30f000
0xfffffff00907f3e8: f6031baa  mov	x22, x27
0xfffffff00907f3ec: 88940090  adrp	x8, #0xfffffff00a30f000
0xfffffff00907f3f0: 08d142b9  ldr	w8, [x8, #0x2d0]
0xfffffff00907f3f4: 98940090  adrp	x24, #0xfffffff00a30f000
0xfffffff00907f3f8: 090343b9  ldr	w9, [x24, #0x300]
0xfffffff00907f3fc: 1f01096b  cmp	w8, w9
0xfffffff00907f400: e0050054  b.eq	#0xfffffff00907f4bc
0xfffffff00907f404: e90319aa  mov	x9, x25
0xfffffff00907f408: f90317aa  mov	x25, x23
0xfffffff00907f40c: f70309aa  mov	x23, x9
0xfffffff00907f410: fb0315aa  mov	x27, x21
0xfffffff00907f414: f5031caa  mov	x21, x28
0xfffffff00907f418: 899400d0  adrp	x9, #0xfffffff00a311000
0xfffffff00907f41c: 29a10391  add	x9, x9, #0xe8
0xfffffff00907f420: 29014039  ldrb	w9, [x9]
0xfffffff00907f424: 3fa10071  cmp	w9, #0x28
0xfffffff00907f428: 88010054  b.hi	#0xfffffff00907f458
0xfffffff00907f42c: e91effb0  adrp	x9, #0xfffffff00745c000
0xfffffff00907f430: 29f50b91  add	x9, x9, #0x2fd
0xfffffff00907f434: ea1eff90  adrp	x10, #0xfffffff00745b000
0xfffffff00907f438: 4a2d3891  add	x10, x10, #0xe0b
0xfffffff00907f43c: cb1effd0  adrp	x11, #0xfffffff007459000
0xfffffff00907f440: 6b2d3f91  add	x11, x11, #0xfcb
0xfffffff00907f444: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff00907f448: eb2b00a9  stp	x11, x10, [sp]
0xfffffff00907f44c: e01eff90  adrp	x0, #0xfffffff00745b000
0xfffffff00907f450: 00743891  add	x0, x0, #0xe1d
0xfffffff00907f454: f35ecb97  bl	#0xfffffff008357020
0xfffffff00907f458: e00313aa  mov	x0, x19
0xfffffff00907f45c: 5e860094  bl	#0xfffffff0090a0dd4
0xfffffff00907f460: 9c940090  adrp	x28, #0xfffffff00a30f000
0xfffffff00907f464: 82d342b9  ldr	w2, [x28, #0x2d0]
0xfffffff00907f468: 100040f9  ldr	x16, [x0]
0xfffffff00907f46c: f10300aa  mov	x17, x0
0xfffffff00907f470: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00907f474: 301ac1da  autda	x16, x17
0xfffffff00907f478: 080e4ef8  ldr	x8, [x16, #0xe0]!
0xfffffff00907f47c: e90310aa  mov	x9, x16
0xfffffff00907f480: e11effb0  adrp	x1, #0xfffffff00745c000
0xfffffff00907f484: 21f40b91  add	x1, x1, #0x2fd
0xfffffff00907f488: 03048052  mov	w3, #0x20
0xfffffff00907f48c: f10309aa  mov	x17, x9
0xfffffff00907f490: d17ee2f2  movk	x17, #0x13f6, lsl #48
0xfffffff00907f494: 11093fd7  blraa	x8, x17
0xfffffff00907f498: a0370036  tbz	w0, #0, #0xfffffff00907fb8c
0xfffffff00907f49c: 88d342b9  ldr	w8, [x28, #0x2d0]
0xfffffff00907f4a0: 080303b9  str	w8, [x24, #0x300]
0xfffffff00907f4a4: 5a070011  add	w26, w26, #1
0xfffffff00907f4a8: fc0315aa  mov	x28, x21
0xfffffff00907f4ac: f5031baa  mov	x21, x27
0xfffffff00907f4b0: e80317aa  mov	x8, x23
0xfffffff00907f4b4: f70319aa  mov	x23, x25
0xfffffff00907f4b8: f90308aa  mov	x25, x8
0xfffffff00907f4bc: 9b940090  adrp	x27, #0xfffffff00a30f000
0xfffffff00907f4c0: 68534b39  ldrb	w8, [x27, #0x2d4]
0xfffffff00907f4c4: 98940090  adrp	x24, #0xfffffff00a30f000
0xfffffff00907f4c8: 09134c39  ldrb	w9, [x24, #0x304]
