; Candidate 16096
; ADRP+ADD at VM 0xfffffff009e1b4dc (fileoff 0x2e174dc): page=0x1fd888000 add_imm=0xe00

0xfffffff009e1b45c: e10316aa  mov	x1, x22
0xfffffff009e1b460: ab108297  bl	#0xfffffff007e9f70c
0xfffffff009e1b464: 40050034  cbz	w0, #0xfffffff009e1b50c
0xfffffff009e1b468: e0031caa  mov	x0, x28
0xfffffff009e1b46c: e10317aa  mov	x1, x23
0xfffffff009e1b470: a7108297  bl	#0xfffffff007e9f70c
0xfffffff009e1b474: 00050034  cbz	w0, #0xfffffff009e1b514
0xfffffff009e1b478: e0031caa  mov	x0, x28
0xfffffff009e1b47c: e10318aa  mov	x1, x24
0xfffffff009e1b480: a3108297  bl	#0xfffffff007e9f70c
0xfffffff009e1b484: c0040034  cbz	w0, #0xfffffff009e1b51c
0xfffffff009e1b488: e0031caa  mov	x0, x28
0xfffffff009e1b48c: e10319aa  mov	x1, x25
0xfffffff009e1b490: 9f108297  bl	#0xfffffff007e9f70c
0xfffffff009e1b494: 80040034  cbz	w0, #0xfffffff009e1b524
0xfffffff009e1b498: e0031caa  mov	x0, x28
0xfffffff009e1b49c: e1cffef0  adrp	x1, #0xfffffff00781a000
0xfffffff009e1b4a0: 21082c91  add	x1, x1, #0xb02
0xfffffff009e1b4a4: 9a108297  bl	#0xfffffff007e9f70c
0xfffffff009e1b4a8: 20040034  cbz	w0, #0xfffffff009e1b52c
0xfffffff009e1b4ac: e0031caa  mov	x0, x28
0xfffffff009e1b4b0: e1cffef0  adrp	x1, #0xfffffff00781a000
0xfffffff009e1b4b4: 21482c91  add	x1, x1, #0xb12
0xfffffff009e1b4b8: 95108297  bl	#0xfffffff007e9f70c
0xfffffff009e1b4bc: c0030034  cbz	w0, #0xfffffff009e1b534
0xfffffff009e1b4c0: e0031caa  mov	x0, x28
0xfffffff009e1b4c4: e1cffef0  adrp	x1, #0xfffffff00781a000
0xfffffff009e1b4c8: 218c2c91  add	x1, x1, #0xb23
0xfffffff009e1b4cc: 82018052  mov	w2, #0xc
0xfffffff009e1b4d0: a3108297  bl	#0xfffffff007e9f75c
0xfffffff009e1b4d4: 40030034  cbz	w0, #0xfffffff009e1b53c
0xfffffff009e1b4d8: fc0300f9  str	x28, [sp]
0xfffffff009e1b4dc: 40c4fe90  adrp	x0, #0xfffffff0076a3000
0xfffffff009e1b4e0: 00003891  add	x0, x0, #0xe00
0xfffffff009e1b4e4: 61f8fed0  adrp	x1, #0xfffffff007d29000
0xfffffff009e1b4e8: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e1b4ec: 02008052  mov	w2, #0
0xfffffff009e1b4f0: 23d0feb0  adrp	x3, #0xfffffff007820000
0xfffffff009e1b4f4: 63840b91  add	x3, x3, #0x2e1
0xfffffff009e1b4f8: 0e5f9497  bl	#0xfffffff008333130
0xfffffff009e1b4fc: 08018052  mov	w8, #8
0xfffffff009e1b500: 10000014  b	#0xfffffff009e1b540
0xfffffff009e1b504: 08008052  mov	w8, #0
0xfffffff009e1b508: 0e000014  b	#0xfffffff009e1b540
0xfffffff009e1b50c: 68008052  mov	w8, #3
0xfffffff009e1b510: 0c000014  b	#0xfffffff009e1b540
0xfffffff009e1b514: 28008052  mov	w8, #1
0xfffffff009e1b518: 0a000014  b	#0xfffffff009e1b540
0xfffffff009e1b51c: 48008052  mov	w8, #2
0xfffffff009e1b520: 08000014  b	#0xfffffff009e1b540
0xfffffff009e1b524: 88008052  mov	w8, #4
0xfffffff009e1b528: 06000014  b	#0xfffffff009e1b540
0xfffffff009e1b52c: a8008052  mov	w8, #5
0xfffffff009e1b530: 04000014  b	#0xfffffff009e1b540
0xfffffff009e1b534: c8008052  mov	w8, #6
0xfffffff009e1b538: 02000014  b	#0xfffffff009e1b540
0xfffffff009e1b53c: e8008052  mov	w8, #7
0xfffffff009e1b540: 892a40f9  ldr	x9, [x20, #0x50]
0xfffffff009e1b544: 28693bb8  str	w8, [x9, x27]
0xfffffff009e1b548: 7b430091  add	x27, x27, #0x10
0xfffffff009e1b54c: 730a0091  add	x19, x19, #2
0xfffffff009e1b550: 5f031beb  cmp	x26, x27
0xfffffff009e1b554: 81f2ff54  b.ne	#0xfffffff009e1b3a4
0xfffffff009e1b558: 00008052  mov	w0, #0
