; Candidate 4050
; ADRP+ADD at VM 0xfffffff00878d09c (fileoff 0x178909c): page=0x1fe9a4000 add_imm=0xd90

0xfffffff00878d01c: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff00878d020: 1f0115eb  cmp	x8, x21
0xfffffff00878d024: a1e8ff54  b.ne	#0xfffffff00878cd38
0xfffffff00878d028: 680340f9  ldr	x8, [x27]
0xfffffff00878d02c: 1ffd01b9  str	wzr, [x8, #0x1fc]
0xfffffff00878d030: 680340f9  ldr	x8, [x27]
0xfffffff00878d034: 1f0102b9  str	wzr, [x8, #0x200]
0xfffffff00878d038: 680340f9  ldr	x8, [x27]
0xfffffff00878d03c: 1f0502b9  str	wzr, [x8, #0x204]
0xfffffff00878d040: 680340f9  ldr	x8, [x27]
0xfffffff00878d044: 1f0902b9  str	wzr, [x8, #0x208]
0xfffffff00878d048: e86340b9  ldr	w8, [sp, #0x60]
0xfffffff00878d04c: 28100034  cbz	w8, #0xfffffff00878d250
0xfffffff00878d050: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff00878d054: 098d8452  mov	w9, #0x2468
0xfffffff00878d058: 09696938  ldrb	w9, [x8, x9]
0xfffffff00878d05c: 89000034  cbz	w9, #0xfffffff00878d06c
0xfffffff00878d060: 097564b9  ldr	w9, [x8, #0x2474]
0xfffffff00878d064: 157964b9  ldr	w21, [x8, #0x2478]
0xfffffff00878d068: 03000014  b	#0xfffffff00878d074
0xfffffff00878d06c: 090080d2  mov	x9, #0
0xfffffff00878d070: 150080d2  mov	x21, #0
0xfffffff00878d074: 089950f9  ldr	x8, [x8, #0x2130]
0xfffffff00878d078: 0ad94629  ldp	w10, w22, [x8, #0x34]
0xfffffff00878d07c: 37010a8b  add	x23, x9, x10
0xfffffff00878d080: 190940f9  ldr	x25, [x8, #0x10]
0xfffffff00878d084: f4fe60d3  lsr	x20, x23, #0x20
0xfffffff00878d088: b40100b4  cbz	x20, #0xfffffff00878d0bc
0xfffffff00878d08c: c8848052  mov	w8, #0x426
0xfffffff00878d090: 094effd0  adrp	x9, #0xfffffff00714f000
0xfffffff00878d094: 29bd1991  add	x9, x9, #0x66f
0xfffffff00878d098: e92300a9  stp	x9, x8, [sp]
0xfffffff00878d09c: 204dff90  adrp	x0, #0xfffffff007131000
0xfffffff00878d0a0: 00403691  add	x0, x0, #0xd90
0xfffffff00878d0a4: 8193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00878d0a8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00878d0ac: c34dff90  adrp	x3, #0xfffffff007145000
0xfffffff00878d0b0: 63843991  add	x3, x3, #0xe61
0xfffffff00878d0b4: 02008052  mov	w2, #0
0xfffffff00878d0b8: 1e98ee97  bl	#0xfffffff008333130
0xfffffff00878d0bc: 284337ab  adds	x8, x25, w23, uxtw
0xfffffff00878d0c0: 62e0ff54  b.hs	#0xfffffff00878cccc
0xfffffff00878d0c4: b502168b  add	x21, x21, x22
0xfffffff00878d0c8: 08fd48d3  lsr	x8, x8, #8
0xfffffff00878d0cc: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff00878d0d0: 2afd41b9  ldr	w10, [x9, #0x1fc]
0xfffffff00878d0d4: 4a7d1c53  lsr	w10, w10, #0x1c
0xfffffff00878d0d8: 480d0433  bfi	w8, w10, #0x1c, #4
0xfffffff00878d0dc: 28fd01b9  str	w8, [x9, #0x1fc]
0xfffffff00878d0e0: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff00878d0e4: 089950f9  ldr	x8, [x8, #0x2130]
0xfffffff00878d0e8: 190940f9  ldr	x25, [x8, #0x10]
0xfffffff00878d0ec: b6fe60d3  lsr	x22, x21, #0x20
0xfffffff00878d0f0: b60100b4  cbz	x22, #0xfffffff00878d124
0xfffffff00878d0f4: e8848052  mov	w8, #0x427
0xfffffff00878d0f8: 094effd0  adrp	x9, #0xfffffff00714f000
0xfffffff00878d0fc: 29bd1991  add	x9, x9, #0x66f
0xfffffff00878d100: e92300a9  stp	x9, x8, [sp]
0xfffffff00878d104: 204dff90  adrp	x0, #0xfffffff007131000
0xfffffff00878d108: 00403691  add	x0, x0, #0xd90
0xfffffff00878d10c: 8193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00878d110: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00878d114: c34dff90  adrp	x3, #0xfffffff007145000
0xfffffff00878d118: 63543a91  add	x3, x3, #0xe95
