; Candidate 3285
; ADRP+ADD at VM 0xfffffff008728710 (fileoff 0x1724710): page=0x1fea09000 add_imm=0xd90

0xfffffff008728690: c8018052  mov	w8, #0xe
0xfffffff008728694: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008728698: 29b11391  add	x9, x9, #0x4ec
0xfffffff00872869c: ff2302a9  stp	xzr, x8, [sp, #0x20]
0xfffffff0087286a0: e90301a9  stp	x9, x0, [sp, #0x10]
0xfffffff0087286a4: a8e68152  mov	w8, #0xf35
0xfffffff0087286a8: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff0087286ac: 29b90a91  add	x9, x9, #0x2ae
0xfffffff0087286b0: e92300a9  stp	x9, x8, [sp]
0xfffffff0087286b4: 4050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087286b8: 00403691  add	x0, x0, #0xd90
0xfffffff0087286bc: a196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087286c0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087286c4: 8350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff0087286c8: 63041191  add	x3, x3, #0x441
0xfffffff0087286cc: 02008052  mov	w2, #0
0xfffffff0087286d0: 982af097  bl	#0xfffffff008333130
0xfffffff0087286d4: 00008052  mov	w0, #0
0xfffffff0087286d8: d2fcff17  b	#0xfffffff008727a20
0xfffffff0087286dc: 08340051  sub	w8, w0, #0xd
0xfffffff0087286e0: 1f690031  cmn	w8, #0x1a
0xfffffff0087286e4: a8020054  b.hi	#0xfffffff008728738
0xfffffff0087286e8: 88018052  mov	w8, #0xc
0xfffffff0087286ec: 69018012  mov	w9, #-0xc
0xfffffff0087286f0: 6a51ffd0  adrp	x10, #0xfffffff007156000
0xfffffff0087286f4: 4afd1591  add	x10, x10, #0x57f
0xfffffff0087286f8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087286fc: ea0301a9  stp	x10, x0, [sp, #0x10]
0xfffffff008728700: 88f08152  mov	w8, #0xf84
0xfffffff008728704: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008728708: 29b90a91  add	x9, x9, #0x2ae
0xfffffff00872870c: e92300a9  stp	x9, x8, [sp]
0xfffffff008728710: 4050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008728714: 00403691  add	x0, x0, #0xd90
0xfffffff008728718: a196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00872871c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008728720: 8350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff008728724: 63481791  add	x3, x3, #0x5d2
0xfffffff008728728: 02008052  mov	w2, #0
0xfffffff00872872c: 812af097  bl	#0xfffffff008333130
0xfffffff008728730: 00008052  mov	w0, #0
0xfffffff008728734: bbfcff17  b	#0xfffffff008727a20
0xfffffff008728738: 08d08452  mov	w8, #0x2680
0xfffffff00872873c: 0867089b  madd	x8, x24, x8, x25
0xfffffff008728740: a9298352  mov	w9, #0x194d
0xfffffff008728744: 08696938  ldrb	w8, [x8, x9]
0xfffffff008728748: 68010034  cbz	w8, #0xfffffff008728774
0xfffffff00872874c: 683640f9  ldr	x8, [x19, #0x68]
0xfffffff008728750: 69a640b9  ldr	w9, [x19, #0xa4]
0xfffffff008728754: 29050011  add	w9, w9, #1
0xfffffff008728758: 69a600b9  str	w9, [x19, #0xa4]
0xfffffff00872875c: 15fd7fd3  lsr	x21, x8, #0x3f
0xfffffff008728760: e00313aa  mov	x0, x19
0xfffffff008728764: 21008052  mov	w1, #1
0xfffffff008728768: 02008052  mov	w2, #0
0xfffffff00872876c: c5caff97  bl	#0xfffffff00871b280
0xfffffff008728770: 95021d39  strb	w21, [x20, #0x740]
0xfffffff008728774: 08d08452  mov	w8, #0x2680
0xfffffff008728778: 0867089b  madd	x8, x24, x8, x25
0xfffffff00872877c: 08bd4339  ldrb	w8, [x8, #0xef]
0xfffffff008728780: c80c0034  cbz	w8, #0xfffffff008728918
0xfffffff008728784: 683640f9  ldr	x8, [x19, #0x68]
0xfffffff008728788: 69a640b9  ldr	w9, [x19, #0xa4]
0xfffffff00872878c: 29050011  add	w9, w9, #1
