; Candidate 4794
; ADRP+ADD at VM 0xfffffff0087c6a7c (fileoff 0x17c2a7c): page=0x1fea47000 add_imm=0xcdf

0xfffffff0087c69fc: 00883291  add	x0, x0, #0xca2
0xfffffff0087c6a00: 98c2d797  bl	#0xfffffff007db7460
0xfffffff0087c6a04: 0e000014  b	#0xfffffff0087c6a3c
0xfffffff0087c6a08: e9b50394  bl	#0xfffffff0088b41ac
0xfffffff0087c6a0c: f50300aa  mov	x21, x0
0xfffffff0087c6a10: e0008052  mov	w0, #7
0xfffffff0087c6a14: 8fd30294  bl	#0xfffffff00887b850
0xfffffff0087c6a18: 684640b9  ldr	w8, [x19, #0x44]
0xfffffff0087c6a1c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c6a20: f56f00a9  stp	x21, x27, [sp]
0xfffffff0087c6a24: e00316aa  mov	x0, x22
0xfffffff0087c6a28: e10317aa  mov	x1, x23
0xfffffff0087c6a2c: 02008052  mov	w2, #0
0xfffffff0087c6a30: 8353ffb0  adrp	x3, #0xfffffff007237000
0xfffffff0087c6a34: 63f41791  add	x3, x3, #0x5fd
0xfffffff0087c6a38: beb1ed97  bl	#0xfffffff008333130
0xfffffff0087c6a3c: a00f8052  mov	w0, #0x7d
0xfffffff0087c6a40: e1008052  mov	w1, #7
0xfffffff0087c6a44: 63d30294  bl	#0xfffffff00887b7d0
0xfffffff0087c6a48: c0030034  cbz	w0, #0xfffffff0087c6ac0
0xfffffff0087c6a4c: a00f8052  mov	w0, #0x7d
0xfffffff0087c6a50: 72d30294  bl	#0xfffffff00887b818
0xfffffff0087c6a54: f80300aa  mov	x24, x0
0xfffffff0087c6a58: d5b50394  bl	#0xfffffff0088b41ac
0xfffffff0087c6a5c: f50300aa  mov	x21, x0
0xfffffff0087c6a60: e0008052  mov	w0, #7
0xfffffff0087c6a64: 7bd30294  bl	#0xfffffff00887b850
0xfffffff0087c6a68: 93021a8b  add	x19, x20, x26
0xfffffff0087c6a6c: 18010034  cbz	w24, #0xfffffff0087c6a8c
0xfffffff0087c6a70: 68024139  ldrb	w8, [x19, #0x40]
0xfffffff0087c6a74: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c6a78: f56f00a9  stp	x21, x27, [sp]
0xfffffff0087c6a7c: 2052fff0  adrp	x0, #0xfffffff00720d000
0xfffffff0087c6a80: 007c3391  add	x0, x0, #0xcdf
0xfffffff0087c6a84: 77c2d797  bl	#0xfffffff007db7460
0xfffffff0087c6a88: 0e000014  b	#0xfffffff0087c6ac0
0xfffffff0087c6a8c: c8b50394  bl	#0xfffffff0088b41ac
0xfffffff0087c6a90: f50300aa  mov	x21, x0
0xfffffff0087c6a94: e0008052  mov	w0, #7
0xfffffff0087c6a98: 6ed30294  bl	#0xfffffff00887b850
0xfffffff0087c6a9c: 68024139  ldrb	w8, [x19, #0x40]
0xfffffff0087c6aa0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c6aa4: f56f00a9  stp	x21, x27, [sp]
0xfffffff0087c6aa8: e00316aa  mov	x0, x22
0xfffffff0087c6aac: e10317aa  mov	x1, x23
0xfffffff0087c6ab0: 02008052  mov	w2, #0
0xfffffff0087c6ab4: 8353ffb0  adrp	x3, #0xfffffff007237000
0xfffffff0087c6ab8: 63e41891  add	x3, x3, #0x639
0xfffffff0087c6abc: 9db1ed97  bl	#0xfffffff008333130
0xfffffff0087c6ac0: a00f8052  mov	w0, #0x7d
0xfffffff0087c6ac4: e1008052  mov	w1, #7
0xfffffff0087c6ac8: 42d30294  bl	#0xfffffff00887b7d0
0xfffffff0087c6acc: c0030034  cbz	w0, #0xfffffff0087c6b44
0xfffffff0087c6ad0: a00f8052  mov	w0, #0x7d
0xfffffff0087c6ad4: 51d30294  bl	#0xfffffff00887b818
0xfffffff0087c6ad8: f80300aa  mov	x24, x0
0xfffffff0087c6adc: b4b50394  bl	#0xfffffff0088b41ac
0xfffffff0087c6ae0: f50300aa  mov	x21, x0
0xfffffff0087c6ae4: e0008052  mov	w0, #7
0xfffffff0087c6ae8: 5ad30294  bl	#0xfffffff00887b850
0xfffffff0087c6aec: 93021a8b  add	x19, x20, x26
0xfffffff0087c6af0: 18010034  cbz	w24, #0xfffffff0087c6b10
0xfffffff0087c6af4: 68064139  ldrb	w8, [x19, #0x41]
0xfffffff0087c6af8: e02301a9  stp	x0, x8, [sp, #0x10]
