; Candidate 12627
; ADRP+ADD at VM 0xfffffff0090d1a0c (fileoff 0x20cda0c): page=0x1fe39b000 add_imm=0xd0d

0xfffffff0090d198c: e30313aa  mov	x3, x19
0xfffffff0090d1990: 9ce9b197  bl	#0xfffffff007d4c000
0xfffffff0090d1994: a0035df8  ldur	x0, [x29, #-0x30]
0xfffffff0090d1998: e10313aa  mov	x1, x19
0xfffffff0090d199c: f914ca97  bl	#0xfffffff008356d80
0xfffffff0090d19a0: d3ffff17  b	#0xfffffff0090d18ec
0xfffffff0090d19a4: 139200f0  adrp	x19, #0xfffffff00a314000
0xfffffff0090d19a8: 73e21691  add	x19, x19, #0x5b8
0xfffffff0090d19ac: c81cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090d19b0: 08212c91  add	x8, x8, #0xb08
0xfffffff0090d19b4: d41cfff0  adrp	x20, #0xfffffff00746c000
0xfffffff0090d19b8: 94522c91  add	x20, x20, #0xb14
0xfffffff0090d19bc: 690240f9  ldr	x9, [x19]
0xfffffff0090d19c0: 3f0100f1  cmp	x9, #0
0xfffffff0090d19c4: 9502889a  csel	x21, x20, x8, eq
0xfffffff0090d19c8: c81cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090d19cc: 08552c91  add	x8, x8, #0xb15
0xfffffff0090d19d0: 9602889a  csel	x22, x20, x8, eq
0xfffffff0090d19d4: 75740094  bl	#0xfffffff0090eeba8
0xfffffff0090d19d8: 680240f9  ldr	x8, [x19]
0xfffffff0090d19dc: c91cfff0  adrp	x9, #0xfffffff00746c000
0xfffffff0090d19e0: 29852c91  add	x9, x9, #0xb21
0xfffffff0090d19e4: 1f0100f1  cmp	x8, #0
0xfffffff0090d19e8: 8802899a  csel	x8, x20, x9, eq
0xfffffff0090d19ec: e8a304a9  stp	x8, x8, [sp, #0x48]
0xfffffff0090d19f0: f68303a9  stp	x22, x0, [sp, #0x38]
0xfffffff0090d19f4: 48048052  mov	w8, #0x22
0xfffffff0090d19f8: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0090d19fc: f4d301a9  stp	x20, x20, [sp, #0x18]
0xfffffff0090d1a00: c81cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090d1a04: 08dd2b91  add	x8, x8, #0xaf7
0xfffffff0090d1a08: f5d300a9  stp	x21, x20, [sp, #8]
0xfffffff0090d1a0c: c01cfff0  adrp	x0, #0xfffffff00746c000
0xfffffff0090d1a10: 00343491  add	x0, x0, #0xd0d
0xfffffff0090d1a14: e80300f9  str	x8, [sp]
0xfffffff0090d1a18: 8215ca97  bl	#0xfffffff008357020
0xfffffff0090d1a1c: 14008012  mov	w20, #-1
0xfffffff0090d1a20: d6ffff17  b	#0xfffffff0090d1978
0xfffffff0090d1a24: a5d70094  bl	#0xfffffff0091078b8
0xfffffff0090d1a28: 7f2303d5  pacibsp	
0xfffffff0090d1a2c: ffc300d1  sub	sp, sp, #0x30
0xfffffff0090d1a30: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0090d1a34: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0090d1a38: fd830091  add	x29, sp, #0x20
0xfffffff0090d1a3c: 08008012  mov	w8, #-1
0xfffffff0090d1a40: e80f00b9  str	w8, [sp, #0xc]
0xfffffff0090d1a44: e0330091  add	x0, sp, #0xc
0xfffffff0090d1a48: d80a3c94  bl	#0xfffffff009fd45a8
0xfffffff0090d1a4c: f30300aa  mov	x19, x0
0xfffffff0090d1a50: 1f0000f1  cmp	x0, #0
0xfffffff0090d1a54: e0079f1a  cset	w0, ne
0xfffffff0090d1a58: d41cfff0  adrp	x20, #0xfffffff00746c000
0xfffffff0090d1a5c: 94c23591  add	x20, x20, #0xd70
0xfffffff0090d1a60: e1078052  mov	w1, #0x3f
0xfffffff0090d1a64: e20314aa  mov	x2, x20
0xfffffff0090d1a68: c0750094  bl	#0xfffffff0090ef168
0xfffffff0090d1a6c: e80f40b9  ldr	w8, [sp, #0xc]
0xfffffff0090d1a70: 1f010071  cmp	w8, #0
0xfffffff0090d1a74: e0179f1a  cset	w0, eq
0xfffffff0090d1a78: 01088052  mov	w1, #0x40
0xfffffff0090d1a7c: e20314aa  mov	x2, x20
0xfffffff0090d1a80: ba750094  bl	#0xfffffff0090ef168
0xfffffff0090d1a84: e00313aa  mov	x0, x19
0xfffffff0090d1a88: fd7b42a9  ldp	x29, x30, [sp, #0x20]
