; Candidate 15364
; ADRP+ADD at VM 0xfffffff009b55d24 (fileoff 0x2b51d24): page=0x1fdad3000 add_imm=0xed0

0xfffffff009b55ca4: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b55ca8: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b55cac: e00313aa  mov	x0, x19
0xfffffff009b55cb0: 010080d2  mov	x1, #0
0xfffffff009b55cb4: f10308aa  mov	x17, x8
0xfffffff009b55cb8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b55cbc: 31093fd7  blraa	x9, x17
0xfffffff009b55cc0: f50300aa  mov	x21, x0
0xfffffff009b55cc4: 700240f9  ldr	x16, [x19]
0xfffffff009b55cc8: f10313aa  mov	x17, x19
0xfffffff009b55ccc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b55cd0: 301ac1da  autda	x16, x17
0xfffffff009b55cd4: f10310aa  mov	x17, x16
0xfffffff009b55cd8: f147c1da  xpacd	x17
0xfffffff009b55cdc: 1f0211eb  cmp	x16, x17
0xfffffff009b55ce0: 40000054  b.eq	#0xfffffff009b55ce8
0xfffffff009b55ce4: 408e38d4  brk	#0xc472
0xfffffff009b55ce8: 08620891  add	x8, x16, #0x218
0xfffffff009b55cec: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b55cf0: e00313aa  mov	x0, x19
0xfffffff009b55cf4: 010080d2  mov	x1, #0
0xfffffff009b55cf8: f10308aa  mov	x17, x8
0xfffffff009b55cfc: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b55d00: 31093fd7  blraa	x9, x17
0xfffffff009b55d04: ea2b40b9  ldr	w10, [sp, #0x28]
0xfffffff009b55d08: a8d6feb0  adrp	x8, #0xfffffff00762a000
0xfffffff009b55d0c: 08d13d91  add	x8, x8, #0xf74
0xfffffff009b55d10: a9d6fe90  adrp	x9, #0xfffffff007629000
0xfffffff009b55d14: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b55d18: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff009b55d1c: e0a700a9  stp	x0, x9, [sp, #8]
0xfffffff009b55d20: f50300f9  str	x21, [sp]
0xfffffff009b55d24: 80d6fef0  adrp	x0, #0xfffffff007628000
0xfffffff009b55d28: 00403b91  add	x0, x0, #0xed0
0xfffffff009b55d2c: a3d6fef0  adrp	x3, #0xfffffff00762c000
0xfffffff009b55d30: 63ec3091  add	x3, x3, #0xc3b
0xfffffff009b55d34: e10314aa  mov	x1, x20
0xfffffff009b55d38: 02028052  mov	w2, #0x10
0xfffffff009b55d3c: fd749f97  bl	#0xfffffff008333130
0xfffffff009b55d40: 68de40f9  ldr	x8, [x19, #0x1b8]
0xfffffff009b55d44: 080d40b9  ldr	w8, [x8, #0xc]
0xfffffff009b55d48: 29008052  mov	w9, #1
0xfffffff009b55d4c: 1f290071  cmp	w8, #0xa
0xfffffff009b55d50: 2a2d8052  mov	w10, #0x169
0xfffffff009b55d54: 4825c81a  lsr	w8, w10, w8
0xfffffff009b55d58: 08010012  and	w8, w8, #1
0xfffffff009b55d5c: 0131891a  csel	w1, w8, w9, lo
0xfffffff009b55d60: 700240f9  ldr	x16, [x19]
0xfffffff009b55d64: f10313aa  mov	x17, x19
0xfffffff009b55d68: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b55d6c: 301ac1da  autda	x16, x17
0xfffffff009b55d70: 11ed80d2  mov	x17, #0x768
0xfffffff009b55d74: 1002118b  add	x16, x16, x17
0xfffffff009b55d78: 080240f9  ldr	x8, [x16]
0xfffffff009b55d7c: e90310aa  mov	x9, x16
0xfffffff009b55d80: e00313aa  mov	x0, x19
0xfffffff009b55d84: f10309aa  mov	x17, x9
0xfffffff009b55d88: f19ff8f2  movk	x17, #0xc4ff, lsl #48
0xfffffff009b55d8c: 11093fd7  blraa	x8, x17
0xfffffff009b55d90: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff009b55d94: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff009b55d98: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff009b55d9c: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff009b55da0: ffc30191  add	sp, sp, #0x70
