; Candidate 658
; ADRP+ADD at VM 0xfffffff00800d69c (fileoff 0x100969c): page=0x1ff968000 add_imm=0xe30

0xfffffff00800d61c: 21080054  b.ne	#0xfffffff00800d720
0xfffffff00800d620: e80600f9  str	x8, [x23, #8]
0xfffffff00800d624: eaffff17  b	#0xfffffff00800d5cc
0xfffffff00800d628: 613e40f9  ldr	x1, [x19, #0x78]
0xfffffff00800d62c: 010400b4  cbz	x1, #0xfffffff00800d6ac
0xfffffff00800d630: 280040f9  ldr	x8, [x1]
0xfffffff00800d634: 880200b4  cbz	x8, #0xfffffff00800d684
0xfffffff00800d638: 55cbff90  adrp	x21, #0xfffffff007975000
0xfffffff00800d63c: b5c23891  add	x21, x21, #0xe30
0xfffffff00800d640: f40308aa  mov	x20, x8
0xfffffff00800d644: 080540f9  ldr	x8, [x8, #8]
0xfffffff00800d648: 1f0101eb  cmp	x8, x1
0xfffffff00800d64c: a1080054  b.ne	#0xfffffff00800d760
0xfffffff00800d650: 280440f9  ldr	x8, [x1, #8]
0xfffffff00800d654: 090140f9  ldr	x9, [x8]
0xfffffff00800d658: 3f0101eb  cmp	x9, x1
0xfffffff00800d65c: 41090054  b.ne	#0xfffffff00800d784
0xfffffff00800d660: 880600f9  str	x8, [x20, #8]
0xfffffff00800d664: 282440a9  ldp	x8, x9, [x1]
0xfffffff00800d668: 280100f9  str	x8, [x9]
0xfffffff00800d66c: e00315aa  mov	x0, x21
0xfffffff00800d670: 67f1f797  bl	#0xfffffff007e09c0c
0xfffffff00800d674: 880240f9  ldr	x8, [x20]
0xfffffff00800d678: e10314aa  mov	x1, x20
0xfffffff00800d67c: 28feffb5  cbnz	x8, #0xfffffff00800d640
0xfffffff00800d680: 02000014  b	#0xfffffff00800d688
0xfffffff00800d684: f40301aa  mov	x20, x1
0xfffffff00800d688: 880640f9  ldr	x8, [x20, #8]
0xfffffff00800d68c: 090140f9  ldr	x9, [x8]
0xfffffff00800d690: 3f0114eb  cmp	x9, x20
0xfffffff00800d694: 61070054  b.ne	#0xfffffff00800d780
0xfffffff00800d698: 1f0100f9  str	xzr, [x8]
0xfffffff00800d69c: 40cbff90  adrp	x0, #0xfffffff007975000
0xfffffff00800d6a0: 00c03891  add	x0, x0, #0xe30
0xfffffff00800d6a4: e10314aa  mov	x1, x20
0xfffffff00800d6a8: 59f1f797  bl	#0xfffffff007e09c0c
0xfffffff00800d6ac: 74420091  add	x20, x19, #0x10
0xfffffff00800d6b0: e00314aa  mov	x0, x20
0xfffffff00800d6b4: bf80f697  bl	#0xfffffff007dad9b0
0xfffffff00800d6b8: e00314aa  mov	x0, x20
0xfffffff00800d6bc: db83f697  bl	#0xfffffff007dae628
0xfffffff00800d6c0: 810d01b0  adrp	x1, #0xfffffff00a1be000
0xfffffff00800d6c4: 21200f91  add	x1, x1, #0x3c8
0xfffffff00800d6c8: e00314aa  mov	x0, x20
0xfffffff00800d6cc: d07ef697  bl	#0xfffffff007dad20c
0xfffffff00800d6d0: 614240f9  ldr	x1, [x19, #0x80]
0xfffffff00800d6d4: 28d440b9  ldr	w8, [x1, #0xd4]
0xfffffff00800d6d8: 02610391  add	x2, x8, #0xd8
0xfffffff00800d6dc: 7f4200f9  str	xzr, [x19, #0x80]
0xfffffff00800d6e0: 00cbffd0  adrp	x0, #0xfffffff00796f000
0xfffffff00800d6e4: 00201a91  add	x0, x0, #0x688
0xfffffff00800d6e8: e164f697  bl	#0xfffffff007da6a6c
0xfffffff00800d6ec: 40cbff90  adrp	x0, #0xfffffff007975000
0xfffffff00800d6f0: 00c03791  add	x0, x0, #0xdf0
0xfffffff00800d6f4: e10313aa  mov	x1, x19
0xfffffff00800d6f8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00800d6fc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00800d700: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00800d704: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00800d708: ff830191  add	sp, sp, #0x60
0xfffffff00800d70c: ff2303d5  autibsp	
0xfffffff00800d710: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00800d714: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00800d71c
0xfffffff00800d718: 208e38d4  brk	#0xc471
