; Candidate 8198
; ADRP+ADD at VM 0xfffffff00889baa8 (fileoff 0x1897aa8): page=0x1fe94e000 add_imm=0xe80

0xfffffff00889ba28: edbb05a9  stp	x13, x14, [sp, #0x58]
0xfffffff00889ba2c: ebb304a9  stp	x11, x12, [sp, #0x48]
0xfffffff00889ba30: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff00889ba34: f8ab02a9  stp	x24, x10, [sp, #0x28]
0xfffffff00889ba38: e84f40f9  ldr	x8, [sp, #0x98]
0xfffffff00889ba3c: e81300f9  str	x8, [sp, #0x20]
0xfffffff00889ba40: e8830691  add	x8, sp, #0x1a0
0xfffffff00889ba44: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889ba48: e84340f9  ldr	x8, [sp, #0x80]
0xfffffff00889ba4c: f92300a9  stp	x25, x8, [sp]
0xfffffff00889ba50: 604affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889ba54: 00003a91  add	x0, x0, #0xe80
0xfffffff00889ba58: 618bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889ba5c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889ba60: 02008052  mov	w2, #0
0xfffffff00889ba64: 234effd0  adrp	x3, #0xfffffff007261000
0xfffffff00889ba68: 63ec3191  add	x3, x3, #0xc7b
0xfffffff00889ba6c: b15dea97  bl	#0xfffffff008333130
0xfffffff00889ba70: 16000014  b	#0xfffffff00889bac8
0xfffffff00889ba74: 081340f9  ldr	x8, [x24, #0x20]
0xfffffff00889ba78: 0ba74229  ldp	w11, w9, [x24, #0x14]
0xfffffff00889ba7c: 0a1340b9  ldr	w10, [x24, #0x10]
0xfffffff00889ba80: 0c374529  ldp	w12, w13, [x24, #0x28]
0xfffffff00889ba84: 0e4342b9  ldr	w14, [x24, #0x240]
0xfffffff00889ba88: ed3b04a9  stp	x13, x14, [sp, #0x40]
0xfffffff00889ba8c: eb3303a9  stp	x11, x12, [sp, #0x30]
0xfffffff00889ba90: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff00889ba94: f82b01a9  stp	x24, x10, [sp, #0x10]
0xfffffff00889ba98: e84f40f9  ldr	x8, [sp, #0x98]
0xfffffff00889ba9c: e80700f9  str	x8, [sp, #8]
0xfffffff00889baa0: e8830691  add	x8, sp, #0x1a0
0xfffffff00889baa4: e80300f9  str	x8, [sp]
0xfffffff00889baa8: 604affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889baac: 00003a91  add	x0, x0, #0xe80
0xfffffff00889bab0: 618bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889bab4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889bab8: 02008052  mov	w2, #0
0xfffffff00889babc: 234effd0  adrp	x3, #0xfffffff007261000
0xfffffff00889bac0: 63203191  add	x3, x3, #0xc48
0xfffffff00889bac4: 9b5dea97  bl	#0xfffffff008333130
0xfffffff00889bac8: 083b40b9  ldr	w8, [x24, #0x38]
0xfffffff00889bacc: e80300f9  str	x8, [sp]
0xfffffff00889bad0: e0830291  add	x0, sp, #0xa0
0xfffffff00889bad4: 01208052  mov	w1, #0x100
0xfffffff00889bad8: a24cffd0  adrp	x2, #0xfffffff007231000
0xfffffff00889badc: 42bc2f91  add	x2, x2, #0xbef
0xfffffff00889bae0: 75aeff97  bl	#0xfffffff0088874b4
0xfffffff00889bae4: f90300aa  mov	x25, x0
0xfffffff00889bae8: 150080d2  mov	x21, #0
0xfffffff00889baec: 40c3398b  add	x0, x26, w25, sxtw
0xfffffff00889baf0: 6103194b  sub	w1, w27, w25
0xfffffff00889baf4: 0803158b  add	x8, x24, x21
0xfffffff00889baf8: 094940b9  ldr	w9, [x8, #0x48]
0xfffffff00889bafc: 085140b9  ldr	w8, [x8, #0x50]
0xfffffff00889bb00: e92300a9  stp	x9, x8, [sp]
0xfffffff00889bb04: e2031caa  mov	x2, x28
0xfffffff00889bb08: 6baeff97  bl	#0xfffffff0088874b4
0xfffffff00889bb0c: 087c4093  sxtw	x8, w0
0xfffffff00889bb10: 19c1398b  add	x25, x8, w25, sxtw
0xfffffff00889bb14: b5820091  add	x21, x21, #0x20
0xfffffff00889bb18: bf0202f1  cmp	x21, #0x80
0xfffffff00889bb1c: 81feff54  b.ne	#0xfffffff00889baec
0xfffffff00889bb20: 4003198b  add	x0, x26, x25
0xfffffff00889bb24: 6103194b  sub	w1, w27, w25
