; Candidate 10058
; ADRP+ADD at VM 0xfffffff008c8b898 (fileoff 0x1c87898): page=0x1fe6c4000 add_imm=0xe31

0xfffffff008c8b818: 301ac1da  autda	x16, x17
0xfffffff008c8b81c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008c8b820: e90310aa  mov	x9, x16
0xfffffff008c8b824: e00314aa  mov	x0, x20
0xfffffff008c8b828: f10309aa  mov	x17, x9
0xfffffff008c8b82c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008c8b830: 11093fd7  blraa	x8, x17
0xfffffff008c8b834: e00316aa  mov	x0, x22
0xfffffff008c8b838: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008c8b83c: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008c8b840: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008c8b844: ff0f5fd6  retab	
0xfffffff008c8b848: 7f2303d5  pacibsp	
0xfffffff008c8b84c: ff8301d1  sub	sp, sp, #0x60
0xfffffff008c8b850: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008c8b854: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008c8b858: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008c8b85c: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008c8b860: fd430191  add	x29, sp, #0x50
0xfffffff008c8b864: f40303aa  mov	x20, x3
0xfffffff008c8b868: f30302aa  mov	x19, x2
0xfffffff008c8b86c: f60301aa  mov	x22, x1
0xfffffff008c8b870: f50300aa  mov	x21, x0
0xfffffff008c8b874: 97578052  mov	w23, #0x2bc
0xfffffff008c8b878: 1700bc72  movk	w23, #0xe000, lsl #16
0xfffffff008c8b87c: 00e848f9  ldr	x0, [x0, #0x11d0]
0xfffffff008c8b880: 600100b4  cbz	x0, #0xfffffff008c8b8ac
0xfffffff008c8b884: c80240f9  ldr	x8, [x22]
0xfffffff008c8b888: 680400b4  cbz	x8, #0xfffffff008c8b914
0xfffffff008c8b88c: 08248252  mov	w8, #0x1120
0xfffffff008c8b890: a86a6838  ldrb	w8, [x21, x8]
0xfffffff008c8b894: e84f00a9  stp	x8, x19, [sp]
0xfffffff008c8b898: 2036ff90  adrp	x0, #0xfffffff00734f000
0xfffffff008c8b89c: 00c43891  add	x0, x0, #0xe31
0xfffffff008c8b8a0: e02ddb97  bl	#0xfffffff008357020
0xfffffff008c8b8a4: e01a0011  add	w0, w23, #6
0xfffffff008c8b8a8: 09000014  b	#0xfffffff008c8b8cc
0xfffffff008c8b8ac: 08248252  mov	w8, #0x1120
0xfffffff008c8b8b0: a86a6838  ldrb	w8, [x21, x8]
0xfffffff008c8b8b4: e80300f9  str	x8, [sp]
0xfffffff008c8b8b8: 2036ff90  adrp	x0, #0xfffffff00734f000
0xfffffff008c8b8bc: 00143a91  add	x0, x0, #0xe85
0xfffffff008c8b8c0: d82ddb97  bl	#0xfffffff008357020
0xfffffff008c8b8c4: 80578052  mov	w0, #0x2bc
0xfffffff008c8b8c8: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff008c8b8cc: c80240f9  ldr	x8, [x22]
0xfffffff008c8b8d0: 680100b5  cbnz	x8, #0xfffffff008c8b8fc
0xfffffff008c8b8d4: 08248252  mov	w8, #0x1120
0xfffffff008c8b8d8: a86a6838  ldrb	w8, [x21, x8]
0xfffffff008c8b8dc: e903142a  mov	w9, w20
0xfffffff008c8b8e0: f3a700a9  stp	x19, x9, [sp, #8]
0xfffffff008c8b8e4: e80300f9  str	x8, [sp]
0xfffffff008c8b8e8: 2036ff90  adrp	x0, #0xfffffff00734f000
0xfffffff008c8b8ec: 00843b91  add	x0, x0, #0xee1
0xfffffff008c8b8f0: cc2ddb97  bl	#0xfffffff008357020
0xfffffff008c8b8f4: 80578052  mov	w0, #0x2bc
0xfffffff008c8b8f8: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff008c8b8fc: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008c8b900: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008c8b904: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008c8b908: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008c8b90c: ff830191  add	sp, sp, #0x60
0xfffffff008c8b910: ff0f5fd6  retab	
0xfffffff008c8b914: 100040f9  ldr	x16, [x0]
