; Candidate 10614
; ADRP+ADD at VM 0xfffffff008ddf98c (fileoff 0x1ddb98c): page=0x1fe5e5000 add_imm=0xe15

0xfffffff008ddf90c: e00314aa  mov	x0, x20
0xfffffff008ddf910: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008ddf914: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008ddf918: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008ddf91c: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008ddf920: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff008ddf924: ff030291  add	sp, sp, #0x80
0xfffffff008ddf928: ff0f5fd6  retab	
0xfffffff008ddf92c: e81a8052  mov	w8, #0xd7
0xfffffff008ddf930: 092fffd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008ddf934: 29490d91  add	x9, x9, #0x352
0xfffffff008ddf938: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008ddf93c: 282fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ddf940: 08493991  add	x8, x8, #0xe52
0xfffffff008ddf944: 0a2fffd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008ddf948: 4aad1a91  add	x10, x10, #0x6ab
0xfffffff008ddf94c: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008ddf950: ea0300f9  str	x10, [sp]
0xfffffff008ddf954: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddf958: 00543891  add	x0, x0, #0xe15
0xfffffff008ddf95c: b1ddd597  bl	#0xfffffff008357020
0xfffffff008ddf960: d5088052  mov	w21, #0x46
0xfffffff008ddf964: 54008012  mov	w20, #-3
0xfffffff008ddf968: dfffff17  b	#0xfffffff008ddf8e4
0xfffffff008ddf96c: 481b8052  mov	w8, #0xda
0xfffffff008ddf970: f6a301a9  stp	x22, x8, [sp, #0x18]
0xfffffff008ddf974: 282fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ddf978: 08493991  add	x8, x8, #0xe52
0xfffffff008ddf97c: 092fffd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008ddf980: 293d1b91  add	x9, x9, #0x6cf
0xfffffff008ddf984: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008ddf988: e90300f9  str	x9, [sp]
0xfffffff008ddf98c: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddf990: 00543891  add	x0, x0, #0xe15
0xfffffff008ddf994: a3ddd597  bl	#0xfffffff008357020
0xfffffff008ddf998: d5088052  mov	w21, #0x46
0xfffffff008ddf99c: 74008012  mov	w20, #-4
0xfffffff008ddf9a0: d1ffff17  b	#0xfffffff008ddf8e4
0xfffffff008ddf9a4: 887e4093  sxtw	x8, w20
0xfffffff008ddf9a8: a91c8052  mov	w9, #0xe5
0xfffffff008ddf9ac: f6a701a9  stp	x22, x9, [sp, #0x18]
0xfffffff008ddf9b0: 292fffb0  adrp	x9, #0xfffffff0073c4000
0xfffffff008ddf9b4: 29493991  add	x9, x9, #0xe52
0xfffffff008ddf9b8: 2a2fffb0  adrp	x10, #0xfffffff0073c4000
0xfffffff008ddf9bc: 4af13a91  add	x10, x10, #0xebc
0xfffffff008ddf9c0: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008ddf9c4: ea0300f9  str	x10, [sp]
0xfffffff008ddf9c8: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddf9cc: 00543891  add	x0, x0, #0xe15
0xfffffff008ddf9d0: 94ddd597  bl	#0xfffffff008357020
0xfffffff008ddf9d4: d5088052  mov	w21, #0x46
0xfffffff008ddf9d8: b6ffff17  b	#0xfffffff008ddf8b0
0xfffffff008ddf9dc: 7f2303d5  pacibsp	
0xfffffff008ddf9e0: ff4302d1  sub	sp, sp, #0x90
0xfffffff008ddf9e4: fc6f03a9  stp	x28, x27, [sp, #0x30]
0xfffffff008ddf9e8: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff008ddf9ec: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008ddf9f0: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008ddf9f4: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008ddf9f8: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008ddf9fc: fd030291  add	x29, sp, #0x80
0xfffffff008ddfa00: f30304aa  mov	x19, x4
0xfffffff008ddfa04: f80303aa  mov	x24, x3
0xfffffff008ddfa08: f90302aa  mov	x25, x2
