; Candidate 6296
; ADRP+ADD at VM 0xfffffff0088209b0 (fileoff 0x181c9b0): page=0x1fe9c9000 add_imm=0xe80

0xfffffff008820930: cc5ad697  bl	#0xfffffff007db7460
0xfffffff008820934: 25000014  b	#0xfffffff0088209c8
0xfffffff008820938: 1601781e  fcvtzs	w22, d8
0xfffffff00882093c: 484effd0  adrp	x8, #0xfffffff0071ea000
0xfffffff008820940: 001543fd  ldr	d0, [x8, #0x628]
0xfffffff008820944: 0009601e  fmul	d0, d8, d0
0xfffffff008820948: 0800781e  fcvtzs	w8, d0
0xfffffff00882094c: e97c8012  mov	w9, #-0x3e8
0xfffffff008820950: d822091b  madd	w24, w22, w9, w8
0xfffffff008820954: 164e0294  bl	#0xfffffff0088b41ac
0xfffffff008820958: f50300aa  mov	x21, x0
0xfffffff00882095c: e0008052  mov	w0, #7
0xfffffff008820960: bc6b0194  bl	#0xfffffff00887b850
0xfffffff008820964: e8064039  ldrb	w8, [x23, #1]
0xfffffff008820968: e9024039  ldrb	w9, [x23]
0xfffffff00882096c: ea0a4039  ldrb	w10, [x23, #2]
0xfffffff008820970: 6b5a40b9  ldr	w11, [x19, #0x58]
0xfffffff008820974: 8cc640b9  ldr	w12, [x20, #0xc4]
0xfffffff008820978: 8d1e4fb9  ldr	w13, [x20, #0xf1c]
0xfffffff00882097c: ed2b06a9  stp	x13, x10, [sp, #0x60]
0xfffffff008820980: e82705a9  stp	x8, x9, [sp, #0x50]
0xfffffff008820984: f66304a9  stp	x22, x24, [sp, #0x40]
0xfffffff008820988: eb3303a9  stp	x11, x12, [sp, #0x30]
0xfffffff00882098c: 08208252  mov	w8, #0x1100
0xfffffff008820990: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008820994: 0850ff90  adrp	x8, #0xfffffff007220000
0xfffffff008820998: 08d91091  add	x8, x8, #0x436
0xfffffff00882099c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088209a0: 880e8052  mov	w8, #0x74
0xfffffff0088209a4: 4351ffd0  adrp	x3, #0xfffffff00724a000
0xfffffff0088209a8: 639c2091  add	x3, x3, #0x827
0xfffffff0088209ac: f52300a9  stp	x21, x8, [sp]
0xfffffff0088209b0: 404effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088209b4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088209b8: 418fff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088209bc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088209c0: 02008052  mov	w2, #0
0xfffffff0088209c4: db49ec97  bl	#0xfffffff008333130
0xfffffff0088209c8: 00008052  mov	w0, #0
0xfffffff0088209cc: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff0088209d0: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff0088209d4: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff0088209d8: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff0088209dc: e923486d  ldp	d9, d8, [sp, #0x80]
0xfffffff0088209e0: ff430391  add	sp, sp, #0xd0
0xfffffff0088209e4: ff0f5fd6  retab	
0xfffffff0088209e8: 7f2303d5  pacibsp	
0xfffffff0088209ec: ff4303d1  sub	sp, sp, #0xd0
0xfffffff0088209f0: fc6f07a9  stp	x28, x27, [sp, #0x70]
0xfffffff0088209f4: fa6708a9  stp	x26, x25, [sp, #0x80]
0xfffffff0088209f8: f85f09a9  stp	x24, x23, [sp, #0x90]
0xfffffff0088209fc: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff008820a00: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff008820a04: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff008820a08: fd030391  add	x29, sp, #0xc0
0xfffffff008820a0c: fa0301aa  mov	x26, x1
0xfffffff008820a10: fb0300aa  mov	x27, x0
0xfffffff008820a14: 085041b9  ldr	w8, [x0, #0x150]
0xfffffff008820a18: 1f050071  cmp	w8, #1
0xfffffff008820a1c: 2b0c0054  b.lt	#0xfffffff008820ba0
0xfffffff008820a20: 150080d2  mov	x21, #0
0xfffffff008820a24: fc031a2a  mov	w28, w26
0xfffffff008820a28: 69bf4391  add	x9, x27, #0xef, lsl #12
0xfffffff008820a2c: 36813e91  add	x22, x9, #0xfa0
