; Candidate 1279
; ADRP+ADD at VM 0xfffffff0083335a0 (fileoff 0x132f5a0): page=0x1e98000 add_imm=0xd24

0xfffffff008333520: 21941191  add	x1, x1, #0x465
0xfffffff008333524: 00008052  mov	w0, #0
0xfffffff008333528: c31dfb97  bl	#0xfffffff0081fac34
0xfffffff00833352c: e11740f9  ldr	x1, [sp, #0x28]
0xfffffff008333530: e11300f9  str	x1, [sp, #0x20]
0xfffffff008333534: e00314aa  mov	x0, x20
0xfffffff008333538: e20313aa  mov	x2, x19
0xfffffff00833353c: e51dfb97  bl	#0xfffffff0081facd0
0xfffffff008333540: c0320339  strb	w0, [x22, #0xcc]
0xfffffff008333544: c0f40090  adrp	x0, #0xfffffff00a1cb000
0xfffffff008333548: 00903491  add	x0, x0, #0xd24
0xfffffff00833354c: eaefe997  bl	#0xfffffff007daf4f4
0xfffffff008333550: 4914fb97  bl	#0xfffffff0081f8674
0xfffffff008333554: 48f40090  adrp	x8, #0xfffffff00a1bb000
0xfffffff008333558: 08810291  add	x8, x8, #0xa0
0xfffffff00833355c: 89d038d5  mrs	x9, tpidr_el1
0xfffffff008333560: 080140f9  ldr	x8, [x8]
0xfffffff008333564: 29a140f9  ldr	x9, [x9, #0x140]
0xfffffff008333568: 29018079  ldrsh	x9, [x9]
0xfffffff00833356c: 297d72d3  ubfiz	x9, x9, #0xe, #0x20
0xfffffff008333570: 2801088b  add	x8, x9, x8
0xfffffff008333574: 29008052  mov	w9, #1
0xfffffff008333578: 080129f8  ldadd	x9, x8, [x8]
0xfffffff00833357c: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008333580: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008333584: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008333588: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff00833358c: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff008333590: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff008333594: ff430291  add	sp, sp, #0x90
0xfffffff008333598: ff0f5fd6  retab	
0xfffffff00833359c: 017d1853  lsr	w1, w8, #0x18
0xfffffff0083335a0: c0f40090  adrp	x0, #0xfffffff00a1cb000
0xfffffff0083335a4: 00903491  add	x0, x0, #0xd24
0xfffffff0083335a8: 20efe997  bl	#0xfffffff007daf228
0xfffffff0083335ac: cdffff17  b	#0xfffffff0083334e0
0xfffffff0083335b0: 017d1853  lsr	w1, w8, #0x18
0xfffffff0083335b4: c0f40090  adrp	x0, #0xfffffff00a1cb000
0xfffffff0083335b8: 00903491  add	x0, x0, #0xd24
0xfffffff0083335bc: 1befe997  bl	#0xfffffff007daf228
0xfffffff0083335c0: 62ffff17  b	#0xfffffff008333348
0xfffffff0083335c4: 7f2303d5  pacibsp	
0xfffffff0083335c8: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
0xfffffff0083335cc: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff0083335d0: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff0083335d4: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0083335d8: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0083335dc: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0083335e0: fd430191  add	x29, sp, #0x50
0xfffffff0083335e4: ff8309d1  sub	sp, sp, #0x260
0xfffffff0083335e8: a8f40090  adrp	x8, #0xfffffff00a1c7000
0xfffffff0083335ec: 08010091  add	x8, x8, #0
0xfffffff0083335f0: 080140f9  ldr	x8, [x8]
0xfffffff0083335f4: a8831af8  stur	x8, [x29, #-0x58]
0xfffffff0083335f8: 48f40090  adrp	x8, #0xfffffff00a1bb000
0xfffffff0083335fc: 082940f9  ldr	x8, [x8, #0x50]
0xfffffff008333600: 9ad038d5  mrs	x26, tpidr_el1
0xfffffff008333604: 49a340f9  ldr	x9, [x26, #0x140]
0xfffffff008333608: 29018079  ldrsh	x9, [x9]
0xfffffff00833360c: 297d72d3  ubfiz	x9, x9, #0xe, #0x20
0xfffffff008333610: 2801088b  add	x8, x9, x8
0xfffffff008333614: 29008052  mov	w9, #1
0xfffffff008333618: 080129f8  ldadd	x9, x8, [x8]
0xfffffff00833361c: 840300b4  cbz	x4, #0xfffffff00833368c
