; Candidate 16507
; ADRP+ADD at VM 0xfffffff009ec9204 (fileoff 0x2ec5204): page=0x1fd97b000 add_imm=0xe48

0xfffffff009ec9184: 0a000014  b	#0xfffffff009ec91ac
0xfffffff009ec9188: 083e8452  mov	w8, #0x21f0
0xfffffff009ec918c: 6802088b  add	x8, x19, x8
0xfffffff009ec9190: 890640f9  ldr	x9, [x20, #8]
0xfffffff009ec9194: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009ec9198: 283f8052  mov	w8, #0x1f9
0xfffffff009ec919c: fc2300a9  stp	x28, x8, [sp]
0xfffffff009ec91a0: 00ccfef0  adrp	x0, #0xfffffff00784c000
0xfffffff009ec91a4: 00442a91  add	x0, x0, #0xa91
0xfffffff009ec91a8: c7d9fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ec91ac: e00318aa  mov	x0, x24
0xfffffff009ec91b0: 93957b97  bl	#0xfffffff007dae7fc
0xfffffff009ec91b4: a00302d1  sub	x0, x29, #0x80
0xfffffff009ec91b8: 01008052  mov	w1, #0
0xfffffff009ec91bc: 02038052  mov	w2, #0x18
0xfffffff009ec91c0: 800e7a97  bl	#0xfffffff007d4cbc0
0xfffffff009ec91c4: 882240f9  ldr	x8, [x20, #0x40]
0xfffffff009ec91c8: a88318f8  stur	x8, [x29, #-0x78]
0xfffffff009ec91cc: c8608052  mov	w8, #0x306
0xfffffff009ec91d0: 0803a072  movk	w8, #0x18, lsl #16
0xfffffff009ec91d4: a80318b8  stur	w8, [x29, #-0x80]
0xfffffff009ec91d8: a20302d1  sub	x2, x29, #0x80
0xfffffff009ec91dc: e00313aa  mov	x0, x19
0xfffffff009ec91e0: 21008052  mov	w1, #1
0xfffffff009ec91e4: e30316aa  mov	x3, x22
0xfffffff009ec91e8: 95810094  bl	#0xfffffff009ee983c
0xfffffff009ec91ec: 20010034  cbz	w0, #0xfffffff009ec9210
0xfffffff009ec91f0: 083e8452  mov	w8, #0x21f0
0xfffffff009ec91f4: 6802088b  add	x8, x19, x8
0xfffffff009ec91f8: 09418052  mov	w9, #0x208
0xfffffff009ec91fc: fc2700a9  stp	x28, x9, [sp]
0xfffffff009ec9200: e80301a9  stp	x8, x0, [sp, #0x10]
0xfffffff009ec9204: c0cbfef0  adrp	x0, #0xfffffff007844000
0xfffffff009ec9208: 00203991  add	x0, x0, #0xe48
0xfffffff009ec920c: aed9fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ec9210: 884e40f9  ldr	x8, [x20, #0x98]
0xfffffff009ec9214: 08017cb2  orr	x8, x8, #0x10
0xfffffff009ec9218: 884e00f9  str	x8, [x20, #0x98]
0xfffffff009ec921c: e00313aa  mov	x0, x19
0xfffffff009ec9220: 21008052  mov	w1, #1
0xfffffff009ec9224: e20314aa  mov	x2, x20
0xfffffff009ec9228: e30316aa  mov	x3, x22
0xfffffff009ec922c: 84810094  bl	#0xfffffff009ee983c
0xfffffff009ec9230: 60010034  cbz	w0, #0xfffffff009ec925c
0xfffffff009ec9234: 083e8452  mov	w8, #0x21f0
0xfffffff009ec9238: 6802088b  add	x8, x19, x8
0xfffffff009ec923c: 890640f9  ldr	x9, [x20, #8]
0xfffffff009ec9240: e98301a9  stp	x9, x0, [sp, #0x18]
0xfffffff009ec9244: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ec9248: 28428052  mov	w8, #0x211
0xfffffff009ec924c: fc2300a9  stp	x28, x8, [sp]
0xfffffff009ec9250: 40ccfe90  adrp	x0, #0xfffffff007851000
0xfffffff009ec9254: 00f82591  add	x0, x0, #0x97e
0xfffffff009ec9258: 9bd9fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ec925c: 16008052  mov	w22, #0
0xfffffff009ec9260: e00313aa  mov	x0, x19
0xfffffff009ec9264: c61e0194  bl	#0xfffffff009f10d7c
0xfffffff009ec9268: 1f0c0071  cmp	w0, #3
0xfffffff009ec926c: 81000054  b.ne	#0xfffffff009ec927c
0xfffffff009ec9270: e00313aa  mov	x0, x19
0xfffffff009ec9274: e10314aa  mov	x1, x20
0xfffffff009ec9278: 71940094  bl	#0xfffffff009eee43c
0xfffffff009ec927c: e00314aa  mov	x0, x20
0xfffffff009ec9280: 87630094  bl	#0xfffffff009ee209c
