; Candidate 5648
; ADRP+ADD at VM 0xfffffff0087fe9ac (fileoff 0x17fa9ac): page=0x1fe9eb000 add_imm=0xe80

0xfffffff0087fe92c: 00bc3c91  add	x0, x0, #0xf2f
0xfffffff0087fe930: cce2d697  bl	#0xfffffff007db7460
0xfffffff0087fe934: 26000014  b	#0xfffffff0087fe9cc
0xfffffff0087fe938: 1dd60294  bl	#0xfffffff0088b41ac
0xfffffff0087fe93c: f60300aa  mov	x22, x0
0xfffffff0087fe940: e00314aa  mov	x0, x20
0xfffffff0087fe944: c3f30194  bl	#0xfffffff00887b850
0xfffffff0087fe948: 08034079  ldrh	w8, [x24]
0xfffffff0087fe94c: 091f7739  ldrb	w9, [x24, #0xdc7]
0xfffffff0087fe950: 8aaf4329  ldp	w10, w11, [x28, #0x1c]
0xfffffff0087fe954: 0c0f40b9  ldr	w12, [x24, #0xc]
0xfffffff0087fe958: e93303a9  stp	x9, x12, [sp, #0x30]
0xfffffff0087fe95c: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff0087fe960: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087fe964: e80313aa  mov	x8, x19
0xfffffff0087fe968: f62300a9  stp	x22, x8, [sp]
0xfffffff0087fe96c: 404ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fe970: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fe974: 4190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087fe978: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fe97c: 2352ff90  adrp	x3, #0xfffffff007242000
0xfffffff0087fe980: 63182091  add	x3, x3, #0x806
0xfffffff0087fe984: 02008052  mov	w2, #0
0xfffffff0087fe988: ead1ec97  bl	#0xfffffff008333130
0xfffffff0087fe98c: 10000014  b	#0xfffffff0087fe9cc
0xfffffff0087fe990: 08034079  ldrh	w8, [x24]
0xfffffff0087fe994: 091f7739  ldrb	w9, [x24, #0xdc7]
0xfffffff0087fe998: 8aaf4329  ldp	w10, w11, [x28, #0x1c]
0xfffffff0087fe99c: 0c0f40b9  ldr	w12, [x24, #0xc]
0xfffffff0087fe9a0: e9b301a9  stp	x9, x12, [sp, #0x18]
0xfffffff0087fe9a4: eaaf00a9  stp	x10, x11, [sp, #8]
0xfffffff0087fe9a8: e80300f9  str	x8, [sp]
0xfffffff0087fe9ac: 404ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fe9b0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fe9b4: 4190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087fe9b8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fe9bc: 2352ff90  adrp	x3, #0xfffffff007242000
0xfffffff0087fe9c0: 63841e91  add	x3, x3, #0x7a1
0xfffffff0087fe9c4: 02008052  mov	w2, #0
0xfffffff0087fe9c8: dad1ec97  bl	#0xfffffff008333130
0xfffffff0087fe9cc: e00313aa  mov	x0, x19
0xfffffff0087fe9d0: e10314aa  mov	x1, x20
0xfffffff0087fe9d4: 7ff30194  bl	#0xfffffff00887b7d0
0xfffffff0087fe9d8: 600b0034  cbz	w0, #0xfffffff0087feb44
0xfffffff0087fe9dc: e00313aa  mov	x0, x19
0xfffffff0087fe9e0: 8ef30194  bl	#0xfffffff00887b818
0xfffffff0087fe9e4: 3503f837  tbnz	w21, #0x1f, #0xfffffff0087fea48
0xfffffff0087fe9e8: b7021b12  and	w23, w21, #0x20
0xfffffff0087fe9ec: 1a000052  eor	w26, w0, #1
0xfffffff0087fe9f0: efd50294  bl	#0xfffffff0088b41ac
0xfffffff0087fe9f4: f60300aa  mov	x22, x0
0xfffffff0087fe9f8: e00314aa  mov	x0, x20
0xfffffff0087fe9fc: 95f30194  bl	#0xfffffff00887b850
0xfffffff0087fea00: 4817572a  orr	w8, w26, w23, lsr #5
0xfffffff0087fea04: 68040037  tbnz	w8, #0, #0xfffffff0087fea90
0xfffffff0087fea08: 08674a39  ldrb	w8, [x24, #0x299]
0xfffffff0087fea0c: 09a342b9  ldr	w9, [x24, #0x2a0]
0xfffffff0087fea10: 0aa742b9  ldr	w10, [x24, #0x2a4]
0xfffffff0087fea14: 0bab42b9  ldr	w11, [x24, #0x2a8]
0xfffffff0087fea18: 0cb342b9  ldr	w12, [x24, #0x2b0]
0xfffffff0087fea1c: 0daf42b9  ldr	w13, [x24, #0x2ac]
0xfffffff0087fea20: 0eb742b9  ldr	w14, [x24, #0x2b4]
0xfffffff0087fea24: ed3b04a9  stp	x13, x14, [sp, #0x40]
0xfffffff0087fea28: eb3303a9  stp	x11, x12, [sp, #0x30]
