; Candidate 15868
; ADRP+ADD at VM 0xfffffff009db30a4 (fileoff 0x2daf0a4): page=0x609000 add_imm=0xd28

0xfffffff009db3024: 113de5f2  movk	x17, #0x29e8, lsl #48
0xfffffff009db3028: 11093fd7  blraa	x8, x17
0xfffffff009db302c: c0030034  cbz	w0, #0xfffffff009db30a4
0xfffffff009db3030: f60300aa  mov	x22, x0
0xfffffff009db3034: 17008052  mov	w23, #0
0xfffffff009db3038: 583000b0  adrp	x24, #0xfffffff00a3bc000
0xfffffff009db303c: 18a33491  add	x24, x24, #0xd28
0xfffffff009db3040: 607e40f9  ldr	x0, [x19, #0xf8]
0xfffffff009db3044: 100040f9  ldr	x16, [x0]
0xfffffff009db3048: f10300aa  mov	x17, x0
0xfffffff009db304c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009db3050: 301ac1da  autda	x16, x17
0xfffffff009db3054: 112380d2  mov	x17, #0x118
0xfffffff009db3058: 1002118b  add	x16, x16, x17
0xfffffff009db305c: 080240f9  ldr	x8, [x16]
0xfffffff009db3060: e90310aa  mov	x9, x16
0xfffffff009db3064: e10317aa  mov	x1, x23
0xfffffff009db3068: f10309aa  mov	x17, x9
0xfffffff009db306c: 718af0f2  movk	x17, #0x8453, lsl #48
0xfffffff009db3070: 11093fd7  blraa	x8, x17
0xfffffff009db3074: e10318aa  mov	x1, x24
0xfffffff009db3078: 1fc39497  bl	#0xfffffff0082e3cf4
0xfffffff009db307c: e00000b4  cbz	x0, #0xfffffff009db3098
0xfffffff009db3080: 080840f9  ldr	x8, [x0, #0x10]
0xfffffff009db3084: 1f0115eb  cmp	x8, x21
0xfffffff009db3088: 81000054  b.ne	#0xfffffff009db3098
0xfffffff009db308c: 080c40f9  ldr	x8, [x0, #0x18]
0xfffffff009db3090: 1f0114eb  cmp	x8, x20
0xfffffff009db3094: e00a0054  b.eq	#0xfffffff009db31f0
0xfffffff009db3098: f7060011  add	w23, w23, #1
0xfffffff009db309c: df02176b  cmp	w22, w23
0xfffffff009db30a0: 01fdff54  b.ne	#0xfffffff009db3040
0xfffffff009db30a4: 403000b0  adrp	x0, #0xfffffff00a3bc000
0xfffffff009db30a8: 00a03491  add	x0, x0, #0xd28
0xfffffff009db30ac: 100040f9  ldr	x16, [x0]
0xfffffff009db30b0: f10300aa  mov	x17, x0
0xfffffff009db30b4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009db30b8: 301ac1da  autda	x16, x17
0xfffffff009db30bc: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff009db30c0: e90310aa  mov	x9, x16
0xfffffff009db30c4: f10309aa  mov	x17, x9
0xfffffff009db30c8: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff009db30cc: 11093fd7  blraa	x8, x17
0xfffffff009db30d0: 800f00b4  cbz	x0, #0xfffffff009db32c0
0xfffffff009db30d4: f60300aa  mov	x22, x0
0xfffffff009db30d8: 100040f9  ldr	x16, [x0]
0xfffffff009db30dc: f10300aa  mov	x17, x0
0xfffffff009db30e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009db30e4: 301ac1da  autda	x16, x17
0xfffffff009db30e8: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff009db30ec: e90310aa  mov	x9, x16
0xfffffff009db30f0: e10315aa  mov	x1, x21
0xfffffff009db30f4: e20314aa  mov	x2, x20
0xfffffff009db30f8: 03008052  mov	w3, #0
0xfffffff009db30fc: 040080d2  mov	x4, #0
0xfffffff009db3100: f10309aa  mov	x17, x9
0xfffffff009db3104: 1161f2f2  movk	x17, #0x9308, lsl #48
0xfffffff009db3108: 11093fd7  blraa	x8, x17
0xfffffff009db310c: 607e40f9  ldr	x0, [x19, #0xf8]
0xfffffff009db3110: 100040f9  ldr	x16, [x0]
0xfffffff009db3114: f10300aa  mov	x17, x0
0xfffffff009db3118: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009db311c: 301ac1da  autda	x16, x17
0xfffffff009db3120: 088e4ef8  ldr	x8, [x16, #0xe8]!
