; Candidate 14186
; ADRP+ADD at VM 0xfffffff00974b120 (fileoff 0x2747120): page=0xc40000 add_imm=0xd30

0xfffffff00974b0a0: 28010034  cbz	w8, #0xfffffff00974b0c4
0xfffffff00974b0a4: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff00974b0a8: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff00974b0ac: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff00974b0b0: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff00974b0b4: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff00974b0b8: fc6f47a9  ldp	x28, x27, [sp, #0x70]
0xfffffff00974b0bc: ff430391  add	sp, sp, #0xd0
0xfffffff00974b0c0: ff0f5fd6  retab	
0xfffffff00974b0c4: e00313aa  mov	x0, x19
0xfffffff00974b0c8: 01008052  mov	w1, #0
0xfffffff00974b0cc: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff00974b0d0: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff00974b0d4: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff00974b0d8: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff00974b0dc: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff00974b0e0: fc6f47a9  ldp	x28, x27, [sp, #0x70]
0xfffffff00974b0e4: ff430391  add	sp, sp, #0xd0
0xfffffff00974b0e8: ff2303d5  autibsp	
0xfffffff00974b0ec: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00974b0f0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00974b0f8
0xfffffff00974b0f4: 208e38d4  brk	#0xc471
0xfffffff00974b0f8: 81fbff17  b	#0xfffffff009749efc
0xfffffff00974b0fc: 7f2303d5  pacibsp	
0xfffffff00974b100: ff4302d1  sub	sp, sp, #0x90
0xfffffff00974b104: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff00974b108: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff00974b10c: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff00974b110: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff00974b114: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff00974b118: fd030291  add	x29, sp, #0x80
0xfffffff00974b11c: f30300aa  mov	x19, x0
0xfffffff00974b120: 00620090  adrp	x0, #0xfffffff00a38b000
0xfffffff00974b124: 00c03491  add	x0, x0, #0xd30
0xfffffff00974b128: 0c66ae97  bl	#0xfffffff0082e4958
0xfffffff00974b12c: 604e40f9  ldr	x0, [x19, #0x98]
0xfffffff00974b130: 600300b4  cbz	x0, #0xfffffff00974b19c
0xfffffff00974b134: 100040f9  ldr	x16, [x0]
0xfffffff00974b138: f10300aa  mov	x17, x0
0xfffffff00974b13c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974b140: 301ac1da  autda	x16, x17
0xfffffff00974b144: 113d80d2  mov	x17, #0x1e8
0xfffffff00974b148: 1002118b  add	x16, x16, x17
0xfffffff00974b14c: 080240f9  ldr	x8, [x16]
0xfffffff00974b150: e90310aa  mov	x9, x16
0xfffffff00974b154: 010080d2  mov	x1, #0
0xfffffff00974b158: f10309aa  mov	x17, x9
0xfffffff00974b15c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00974b160: 11093fd7  blraa	x8, x17
0xfffffff00974b164: 604e40f9  ldr	x0, [x19, #0x98]
0xfffffff00974b168: a00100b4  cbz	x0, #0xfffffff00974b19c
0xfffffff00974b16c: 100040f9  ldr	x16, [x0]
0xfffffff00974b170: f10300aa  mov	x17, x0
0xfffffff00974b174: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974b178: 301ac1da  autda	x16, x17
0xfffffff00974b17c: 114380d2  mov	x17, #0x218
0xfffffff00974b180: 1002118b  add	x16, x16, x17
0xfffffff00974b184: 080240f9  ldr	x8, [x16]
0xfffffff00974b188: e90310aa  mov	x9, x16
0xfffffff00974b18c: 010080d2  mov	x1, #0
0xfffffff00974b190: f10309aa  mov	x17, x9
0xfffffff00974b194: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00974b198: 11093fd7  blraa	x8, x17
0xfffffff00974b19c: 700240f9  ldr	x16, [x19]
