; Candidate 7687
; ADRP+ADD at VM 0xfffffff008878e88 (fileoff 0x1874e88): page=0x1fe971000 add_imm=0xe80

0xfffffff008878e08: 804dfff0  adrp	x0, #0xfffffff00722b000
0xfffffff008878e0c: 00301991  add	x0, x0, #0x64c
0xfffffff008878e10: f42300a9  stp	x20, x8, [sp]
0xfffffff008878e14: 93f9d497  bl	#0xfffffff007db7460
0xfffffff008878e18: 00008052  mov	w0, #0
0xfffffff008878e1c: 24000014  b	#0xfffffff008878eac
0xfffffff008878e20: 407e8012  mov	w0, #-0x3f3
0xfffffff008878e24: 22000014  b	#0xfffffff008878eac
0xfffffff008878e28: e1ec0094  bl	#0xfffffff0088b41ac
0xfffffff008878e2c: f40300aa  mov	x20, x0
0xfffffff008878e30: e0008052  mov	w0, #7
0xfffffff008878e34: 870a0094  bl	#0xfffffff00887b850
0xfffffff008878e38: f50300aa  mov	x21, x0
0xfffffff008878e3c: 761240b9  ldr	w22, [x19, #0x10]
0xfffffff008878e40: 601640f9  ldr	x0, [x19, #0x28]
0xfffffff008878e44: e10316aa  mov	x1, x22
0xfffffff008878e48: 02008052  mov	w2, #0
0xfffffff008878e4c: 584a0094  bl	#0xfffffff00888b7ac
0xfffffff008878e50: f70300aa  mov	x23, x0
0xfffffff008878e54: 601640f9  ldr	x0, [x19, #0x28]
0xfffffff008878e58: a94a0094  bl	#0xfffffff00888b8fc
0xfffffff008878e5c: f70304a9  stp	x23, x0, [sp, #0x40]
0xfffffff008878e60: f35b03a9  stp	x19, x22, [sp, #0x30]
0xfffffff008878e64: 08298052  mov	w8, #0x148
0xfffffff008878e68: 894dfff0  adrp	x9, #0xfffffff00722b000
0xfffffff008878e6c: 291d1a91  add	x9, x9, #0x687
0xfffffff008878e70: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008878e74: 884dfff0  adrp	x8, #0xfffffff00722b000
0xfffffff008878e78: 08053c91  add	x8, x8, #0xf01
0xfffffff008878e7c: f52301a9  stp	x21, x8, [sp, #0x10]
0xfffffff008878e80: a80b8052  mov	w8, #0x5d
0xfffffff008878e84: f42300a9  stp	x20, x8, [sp]
0xfffffff008878e88: 804bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008878e8c: 00003a91  add	x0, x0, #0xe80
0xfffffff008878e90: 818cff90  adrp	x1, #0xfffffff007a08000
0xfffffff008878e94: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008878e98: 034fffd0  adrp	x3, #0xfffffff00725a000
0xfffffff008878e9c: 63d80a91  add	x3, x3, #0x2b6
0xfffffff008878ea0: 02008052  mov	w2, #0
0xfffffff008878ea4: a3e8ea97  bl	#0xfffffff008333130
0xfffffff008878ea8: 00008052  mov	w0, #0
0xfffffff008878eac: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008878eb0: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008878eb4: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008878eb8: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008878ebc: ff430291  add	sp, sp, #0x90
0xfffffff008878ec0: ff0f5fd6  retab	
0xfffffff008878ec4: 7f2303d5  pacibsp	
0xfffffff008878ec8: ff0302d1  sub	sp, sp, #0x80
0xfffffff008878ecc: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008878ed0: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008878ed4: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008878ed8: fdc30191  add	x29, sp, #0x70
0xfffffff008878edc: f30300aa  mov	x19, x0
0xfffffff008878ee0: a00b8052  mov	w0, #0x5d
0xfffffff008878ee4: 01018052  mov	w1, #8
0xfffffff008878ee8: 3a0a0094  bl	#0xfffffff00887b7d0
0xfffffff008878eec: 80020034  cbz	w0, #0xfffffff008878f3c
0xfffffff008878ef0: a00b8052  mov	w0, #0x5d
0xfffffff008878ef4: 490a0094  bl	#0xfffffff00887b818
0xfffffff008878ef8: f50300aa  mov	x21, x0
0xfffffff008878efc: acec0094  bl	#0xfffffff0088b41ac
0xfffffff008878f00: f40300aa  mov	x20, x0
0xfffffff008878f04: 00018052  mov	w0, #8
