; Candidate 11528
; ADRP+ADD at VM 0xfffffff008f78348 (fileoff 0x1f74348): page=0x1394000 add_imm=0xea0

0xfffffff008f782c8: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008f782cc: ffc30091  add	sp, sp, #0x30
0xfffffff008f782d0: ff0f5fd6  retab	
0xfffffff008f782d4: 5f2403d5  bti	c
0xfffffff008f782d8: 00a840f9  ldr	x0, [x0, #0x150]
0xfffffff008f782dc: 720a0014  b	#0xfffffff008f7aca4
0xfffffff008f782e0: 5f2403d5  bti	c
0xfffffff008f782e4: 00a840f9  ldr	x0, [x0, #0x150]
0xfffffff008f782e8: 7f0a0014  b	#0xfffffff008f7ace4
0xfffffff008f782ec: 5f2403d5  bti	c
0xfffffff008f782f0: 01b1cd17  b	#0xfffffff0082e46f4
0xfffffff008f782f4: 7f2303d5  pacibsp	
0xfffffff008f782f8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008f782fc: fd030091  mov	x29, sp
0xfffffff008f78300: a09c0090  adrp	x0, #0xfffffff00a30c000
0xfffffff008f78304: 00803a91  add	x0, x0, #0xea0
0xfffffff008f78308: 4125ffd0  adrp	x1, #0xfffffff007422000
0xfffffff008f7830c: 211c3a91  add	x1, x1, #0xe87
0xfffffff008f78310: 625dffd0  adrp	x2, #0xfffffff007b26000
0xfffffff008f78314: 42f447f9  ldr	x2, [x2, #0xfe8]
0xfffffff008f78318: 032c8052  mov	w3, #0x160
0xfffffff008f7831c: 07aecd97  bl	#0xfffffff0082e3b38
0xfffffff008f78320: 705dfff0  adrp	x16, #0xfffffff007b27000
0xfffffff008f78324: 10823491  add	x16, x16, #0xd20
0xfffffff008f78328: 10420091  add	x16, x16, #0x10
0xfffffff008f7832c: f10300aa  mov	x17, x0
0xfffffff008f78330: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f78334: 300ac1da  pacda	x16, x17
0xfffffff008f78338: 100000f9  str	x16, [x0]
0xfffffff008f7833c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008f78340: ff0f5fd6  retab	
0xfffffff008f78344: 5f2403d5  bti	c
0xfffffff008f78348: a09c0090  adrp	x0, #0xfffffff00a30c000
0xfffffff008f7834c: 00803a91  add	x0, x0, #0xea0
0xfffffff008f78350: e9b0cd17  b	#0xfffffff0082e46f4
0xfffffff008f78354: 7f2303d5  pacibsp	
0xfffffff008f78358: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008f7835c: fd030091  mov	x29, sp
0xfffffff008f78360: 4125ffd0  adrp	x1, #0xfffffff007422000
0xfffffff008f78364: 21e83b91  add	x1, x1, #0xefa
0xfffffff008f78368: 625dffd0  adrp	x2, #0xfffffff007b26000
0xfffffff008f7836c: 42fc47f9  ldr	x2, [x2, #0xff8]
0xfffffff008f78370: 031b8052  mov	w3, #0xd8
0xfffffff008f78374: f1adcd97  bl	#0xfffffff0082e3b38
0xfffffff008f78378: 905dff90  adrp	x16, #0xfffffff007b28000
0xfffffff008f7837c: 10420c91  add	x16, x16, #0x310
0xfffffff008f78380: 10420091  add	x16, x16, #0x10
0xfffffff008f78384: f10300aa  mov	x17, x0
0xfffffff008f78388: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f7838c: 300ac1da  pacda	x16, x17
0xfffffff008f78390: 100000f9  str	x16, [x0]
0xfffffff008f78394: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008f78398: ff0f5fd6  retab	
0xfffffff008f7839c: 5f2403d5  bti	c
0xfffffff008f783a0: d5b0cd17  b	#0xfffffff0082e46f4
0xfffffff008f783a4: 7f2303d5  pacibsp	
0xfffffff008f783a8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008f783ac: fd030091  mov	x29, sp
0xfffffff008f783b0: ce2ed097  bl	#0xfffffff008383ee8
0xfffffff008f783b4: 705dfff0  adrp	x16, #0xfffffff007b27000
0xfffffff008f783b8: 10e23691  add	x16, x16, #0xdb8
0xfffffff008f783bc: 10420091  add	x16, x16, #0x10
0xfffffff008f783c0: f10300aa  mov	x17, x0
0xfffffff008f783c4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
