; Candidate 9599
; ADRP+ADD at VM 0xfffffff008a7f064 (fileoff 0x1a7b064): page=0x1860000 add_imm=0xe90

0xfffffff008a7efe4: 21d01291  add	x1, x1, #0x4b4
0xfffffff008a7efe8: 227fffb0  adrp	x2, #0xfffffff007a63000
0xfffffff008a7efec: 423841f9  ldr	x2, [x2, #0x270]
0xfffffff008a7eff0: 03248052  mov	w3, #0x120
0xfffffff008a7eff4: d192e197  bl	#0xfffffff0082e3b38
0xfffffff008a7eff8: 507fff90  adrp	x16, #0xfffffff007a66000
0xfffffff008a7effc: 10c20391  add	x16, x16, #0xf0
0xfffffff008a7f000: 10420091  add	x16, x16, #0x10
0xfffffff008a7f004: f10300aa  mov	x17, x0
0xfffffff008a7f008: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a7f00c: 300ac1da  pacda	x16, x17
0xfffffff008a7f010: 100000f9  str	x16, [x0]
0xfffffff008a7f014: 00c30090  adrp	x0, #0xfffffff00a2df000
0xfffffff008a7f018: 00403a91  add	x0, x0, #0xe90
0xfffffff008a7f01c: 8141fff0  adrp	x1, #0xfffffff0072b2000
0xfffffff008a7f020: 21241891  add	x1, x1, #0x609
0xfffffff008a7f024: e20313aa  mov	x2, x19
0xfffffff008a7f028: 03118052  mov	w3, #0x88
0xfffffff008a7f02c: c392e197  bl	#0xfffffff0082e3b38
0xfffffff008a7f030: 307ffff0  adrp	x16, #0xfffffff007a66000
0xfffffff008a7f034: 10821b91  add	x16, x16, #0x6e0
0xfffffff008a7f038: 10420091  add	x16, x16, #0x10
0xfffffff008a7f03c: f10300aa  mov	x17, x0
0xfffffff008a7f040: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a7f044: 300ac1da  pacda	x16, x17
0xfffffff008a7f048: 100000f9  str	x16, [x0]
0xfffffff008a7f04c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008a7f050: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008a7f054: ff0f5fd6  retab	
0xfffffff008a7f058: 7f2303d5  pacibsp	
0xfffffff008a7f05c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008a7f060: fd030091  mov	x29, sp
0xfffffff008a7f064: 00c30090  adrp	x0, #0xfffffff00a2df000
0xfffffff008a7f068: 00403a91  add	x0, x0, #0xe90
0xfffffff008a7f06c: a295e197  bl	#0xfffffff0082e46f4
0xfffffff008a7f070: 00c30090  adrp	x0, #0xfffffff00a2df000
0xfffffff008a7f074: 00a03991  add	x0, x0, #0xe68
0xfffffff008a7f078: 9f95e197  bl	#0xfffffff0082e46f4
0xfffffff008a7f07c: 00c30090  adrp	x0, #0xfffffff00a2df000
0xfffffff008a7f080: 00003991  add	x0, x0, #0xe40
0xfffffff008a7f084: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008a7f088: ff2303d5  autibsp	
0xfffffff008a7f08c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008a7f090: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008a7f098
0xfffffff008a7f094: 208e38d4  brk	#0xc471
0xfffffff008a7f098: 9795e117  b	#0xfffffff0082e46f4
0xfffffff008a7f09c: 7f2303d5  pacibsp	
0xfffffff008a7f0a0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008a7f0a4: fd030091  mov	x29, sp
0xfffffff008a7f0a8: 8141fff0  adrp	x1, #0xfffffff0072b2000
0xfffffff008a7f0ac: 21301991  add	x1, x1, #0x64c
0xfffffff008a7f0b0: 227fff90  adrp	x2, #0xfffffff007a63000
0xfffffff008a7f0b4: 424441f9  ldr	x2, [x2, #0x288]
0xfffffff008a7f0b8: 031d8052  mov	w3, #0xe8
0xfffffff008a7f0bc: 9f92e197  bl	#0xfffffff0082e3b38
0xfffffff008a7f0c0: 307ffff0  adrp	x16, #0xfffffff007a66000
0xfffffff008a7f0c4: 10823491  add	x16, x16, #0xd20
0xfffffff008a7f0c8: 10420091  add	x16, x16, #0x10
0xfffffff008a7f0cc: f10300aa  mov	x17, x0
0xfffffff008a7f0d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a7f0d4: 300ac1da  pacda	x16, x17
0xfffffff008a7f0d8: 100000f9  str	x16, [x0]
0xfffffff008a7f0dc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008a7f0e0: ff0f5fd6  retab	
