; Candidate 2398
; ADRP+ADD at VM 0xfffffff008647048 (fileoff 0x1643048): page=0x1feacc000 add_imm=0xe96

0xfffffff008646fc8: 680240b9  ldr	w8, [x19]
0xfffffff008646fcc: e85301a9  stp	x8, x20, [sp, #0x10]
0xfffffff008646fd0: a8ce8052  mov	w8, #0x675
0xfffffff008646fd4: f62300a9  stp	x22, x8, [sp]
0xfffffff008646fd8: 6056ffd0  adrp	x0, #0xfffffff007114000
0xfffffff008646fdc: 006c0491  add	x0, x0, #0x11b
0xfffffff008646fe0: 28e5ff97  bl	#0xfffffff008640480
0xfffffff008646fe4: d4000034  cbz	w20, #0xfffffff008646ffc
0xfffffff008646fe8: e80314aa  mov	x8, x20
0xfffffff008646fec: f62300a9  stp	x22, x8, [sp]
0xfffffff008646ff0: 6056ffd0  adrp	x0, #0xfffffff007114000
0xfffffff008646ff4: 00940591  add	x0, x0, #0x165
0xfffffff008646ff8: 33e5ff97  bl	#0xfffffff0086404c4
0xfffffff008646ffc: a81640f9  ldr	x8, [x21, #0x28]
0xfffffff008647000: e90314aa  mov	x9, x20
0xfffffff008647004: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008647008: a8cf8052  mov	w8, #0x67d
0xfffffff00864700c: e8cf00a9  stp	x8, x19, [sp, #8]
0xfffffff008647010: f60300f9  str	x22, [sp]
0xfffffff008647014: 6056ffb0  adrp	x0, #0xfffffff007114000
0xfffffff008647018: 00c80691  add	x0, x0, #0x1b2
0xfffffff00864701c: 19e5ff97  bl	#0xfffffff008640480
0xfffffff008647020: e00314aa  mov	x0, x20
0xfffffff008647024: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008647028: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00864702c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008647030: ff830191  add	sp, sp, #0x60
0xfffffff008647034: ff0f5fd6  retab	
0xfffffff008647038: 6056ffb0  adrp	x0, #0xfffffff007114000
0xfffffff00864703c: 00280391  add	x0, x0, #0xca
0xfffffff008647040: 04000014  b	#0xfffffff008647050
0xfffffff008647044: 94160011  add	w20, w20, #5
0xfffffff008647048: 6056ff90  adrp	x0, #0xfffffff007113000
0xfffffff00864704c: 00583a91  add	x0, x0, #0xe96
0xfffffff008647050: f60300f9  str	x22, [sp]
0xfffffff008647054: 1ce5ff97  bl	#0xfffffff0086404c4
0xfffffff008647058: e4ffff17  b	#0xfffffff008646fe8
0xfffffff00864705c: 5f2403d5  bti	c
0xfffffff008647060: a575f217  b	#0xfffffff0082e46f4
0xfffffff008647064: 5f2403d5  bti	c
0xfffffff008647068: 00008052  mov	w0, #0
0xfffffff00864706c: c0035fd6  ret	
0xfffffff008647070: 5f2403d5  bti	c
0xfffffff008647074: e0588052  mov	w0, #0x2c7
0xfffffff008647078: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff00864707c: c0035fd6  ret	
0xfffffff008647080: 5f2403d5  bti	c
0xfffffff008647084: e0588052  mov	w0, #0x2c7
0xfffffff008647088: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff00864708c: c0035fd6  ret	
0xfffffff008647090: 5f2403d5  bti	c
0xfffffff008647094: e0588052  mov	w0, #0x2c7
0xfffffff008647098: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff00864709c: c0035fd6  ret	
0xfffffff0086470a0: 5f2403d5  bti	c
0xfffffff0086470a4: e0588052  mov	w0, #0x2c7
0xfffffff0086470a8: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0086470ac: c0035fd6  ret	
0xfffffff0086470b0: 5f2403d5  bti	c
0xfffffff0086470b4: e0588052  mov	w0, #0x2c7
0xfffffff0086470b8: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0086470bc: c0035fd6  ret	
0xfffffff0086470c0: 5f2403d5  bti	c
0xfffffff0086470c4: e0588052  mov	w0, #0x2c7
