; Candidate 16728
; ADRP+ADD at VM 0xfffffff009f37a64 (fileoff 0x2f33a64): page=0x1fd928000 add_imm=0xdce

0xfffffff009f379e4: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009f379e8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f379ec: 28c9fef0  adrp	x8, #0xfffffff00785e000
0xfffffff009f379f0: 08e93c91  add	x8, x8, #0xf3a
0xfffffff009f379f4: 492a8352  mov	w9, #0x1952
0xfffffff009f379f8: 20c9fef0  adrp	x0, #0xfffffff00785e000
0xfffffff009f379fc: 00cc3a91  add	x0, x0, #0xeb3
0xfffffff009f37a00: e82700a9  stp	x8, x9, [sp]
0xfffffff009f37a04: b01ffd97  bl	#0xfffffff009e7f8c4
0xfffffff009f37a08: b4008052  mov	w20, #5
0xfffffff009f37a0c: ccffff17  b	#0xfffffff009f3793c
0xfffffff009f37a10: 683a40f9  ldr	x8, [x19, #0x70]
0xfffffff009f37a14: 690a40f9  ldr	x9, [x19, #0x10]
0xfffffff009f37a18: 6a4240f9  ldr	x10, [x19, #0x80]
0xfffffff009f37a1c: 6b4e40f9  ldr	x11, [x19, #0x98]
0xfffffff009f37a20: 6c2240b9  ldr	w12, [x19, #0x20]
0xfffffff009f37a24: 2dc9fed0  adrp	x13, #0xfffffff00785d000
0xfffffff009f37a28: ad3d3f91  add	x13, x13, #0xfcf
0xfffffff009f37a2c: ce278352  mov	w14, #0x193e
0xfffffff009f37a30: ed3b03a9  stp	x13, x14, [sp, #0x30]
0xfffffff009f37a34: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff009f37a38: e93301a9  stp	x9, x12, [sp, #0x10]
0xfffffff009f37a3c: 20c9fef0  adrp	x0, #0xfffffff00785e000
0xfffffff009f37a40: 006c3991  add	x0, x0, #0xe5b
0xfffffff009f37a44: f32300a9  stp	x19, x8, [sp]
0xfffffff009f37a48: b1729597  bl	#0xfffffff00849450c
0xfffffff009f37a4c: 483d0d53  ubfx	w8, w10, #0xd, #3
0xfffffff009f37a50: a9958052  mov	w9, #0x4ad
0xfffffff009f37a54: 4ac9fe90  adrp	x10, #0xfffffff00785f000
0xfffffff009f37a58: 4ac53791  add	x10, x10, #0xdf1
0xfffffff009f37a5c: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff009f37a60: e80300f9  str	x8, [sp]
0xfffffff009f37a64: 40c9fe90  adrp	x0, #0xfffffff00785f000
0xfffffff009f37a68: 00383791  add	x0, x0, #0xdce
0xfffffff009f37a6c: a8729597  bl	#0xfffffff00849450c
0xfffffff009f37a70: 48310a53  ubfx	w8, w10, #0xa, #3
0xfffffff009f37a74: 89928052  mov	w9, #0x494
0xfffffff009f37a78: 4ac9fe90  adrp	x10, #0xfffffff00785f000
0xfffffff009f37a7c: 4ac53791  add	x10, x10, #0xdf1
0xfffffff009f37a80: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff009f37a84: e80300f9  str	x8, [sp]
0xfffffff009f37a88: 40c9feb0  adrp	x0, #0xfffffff007860000
0xfffffff009f37a8c: 006c0591  add	x0, x0, #0x15b
0xfffffff009f37a90: 9f729597  bl	#0xfffffff00849450c
0xfffffff009f37a94: 7f2303d5  pacibsp	
0xfffffff009f37a98: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff009f37a9c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009f37aa0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009f37aa4: fd830091  add	x29, sp, #0x20
0xfffffff009f37aa8: f30300aa  mov	x19, x0
0xfffffff009f37aac: 140040f9  ldr	x20, [x0]
0xfffffff009f37ab0: e00314aa  mov	x0, x20
0xfffffff009f37ab4: bfd77997  bl	#0xfffffff007dad9b0
0xfffffff009f37ab8: 750a40f9  ldr	x21, [x19, #0x10]
0xfffffff009f37abc: a8027992  and	x8, x21, #0x80
0xfffffff009f37ac0: 08f956d2  eor	x8, x8, #0xfffffdffffffffff
0xfffffff009f37ac4: 0801158a  and	x8, x8, x21
0xfffffff009f37ac8: 680a00f9  str	x8, [x19, #0x10]
0xfffffff009f37acc: e00314aa  mov	x0, x20
0xfffffff009f37ad0: 53f2ff97  bl	#0xfffffff009f3441c
0xfffffff009f37ad4: b5003837  tbnz	w21, #7, #0xfffffff009f37ae8
0xfffffff009f37ad8: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009f37adc: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009f37ae0: f657c3a8  ldp	x22, x21, [sp], #0x30
