; Candidate 5314
; ADRP+ADD at VM 0xfffffff0087e66c0 (fileoff 0x17e26c0): page=0x1fea2d000 add_imm=0xea0

0xfffffff0087e6640: fdc30191  add	x29, sp, #0x70
0xfffffff0087e6644: f40301aa  mov	x20, x1
0xfffffff0087e6648: f30300aa  mov	x19, x0
0xfffffff0087e664c: 600e8052  mov	w0, #0x73
0xfffffff0087e6650: c1008052  mov	w1, #6
0xfffffff0087e6654: 5f540294  bl	#0xfffffff00887b7d0
0xfffffff0087e6658: 40020034  cbz	w0, #0xfffffff0087e66a0
0xfffffff0087e665c: 600e8052  mov	w0, #0x73
0xfffffff0087e6660: 6e540294  bl	#0xfffffff00887b818
0xfffffff0087e6664: f60300aa  mov	x22, x0
0xfffffff0087e6668: d1360394  bl	#0xfffffff0088b41ac
0xfffffff0087e666c: f50300aa  mov	x21, x0
0xfffffff0087e6670: c0008052  mov	w0, #6
0xfffffff0087e6674: 77540294  bl	#0xfffffff00887b850
0xfffffff0087e6678: 76060034  cbz	w22, #0xfffffff0087e6744
0xfffffff0087e667c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0087e6680: 6851ffb0  adrp	x8, #0xfffffff007213000
0xfffffff0087e6684: 08393591  add	x8, x8, #0xd4e
0xfffffff0087e6688: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e668c: 680e8052  mov	w8, #0x73
0xfffffff0087e6690: f52300a9  stp	x21, x8, [sp]
0xfffffff0087e6694: 6051ffb0  adrp	x0, #0xfffffff007213000
0xfffffff0087e6698: 00b83491  add	x0, x0, #0xd2e
0xfffffff0087e669c: 7143d797  bl	#0xfffffff007db7460
0xfffffff0087e66a0: 930700b4  cbz	x19, #0xfffffff0087e6790
0xfffffff0087e66a4: 740700b4  cbz	x20, #0xfffffff0087e6790
0xfffffff0087e66a8: 0891ffd0  adrp	x8, #0xfffffff007a08000
0xfffffff0087e66ac: 081d42f9  ldr	x8, [x8, #0x438]
0xfffffff0087e66b0: 010140f9  ldr	x1, [x8]
0xfffffff0087e66b4: e00314aa  mov	x0, x20
0xfffffff0087e66b8: 8ff5eb97  bl	#0xfffffff0082e3cf4
0xfffffff0087e66bc: 600200f9  str	x0, [x19]
0xfffffff0087e66c0: 6051ffb0  adrp	x0, #0xfffffff007213000
0xfffffff0087e66c4: 00803a91  add	x0, x0, #0xea0
0xfffffff0087e66c8: 010080d2  mov	x1, #0
0xfffffff0087e66cc: 718eee97  bl	#0xfffffff00838a090
0xfffffff0087e66d0: f50300aa  mov	x21, x0
0xfffffff0087e66d4: 0891ffd0  adrp	x8, #0xfffffff007a08000
0xfffffff0087e66d8: 083942f9  ldr	x8, [x8, #0x470]
0xfffffff0087e66dc: 000140f9  ldr	x0, [x8]
0xfffffff0087e66e0: 630240f9  ldr	x3, [x19]
0xfffffff0087e66e4: 70fffff0  adrp	x16, #0xfffffff0087d5000
0xfffffff0087e66e8: 10d20491  add	x16, x16, #0x134
0xfffffff0087e66ec: d13b8cd2  mov	x17, #0x61de
0xfffffff0087e66f0: 3002c1da  pacia	x16, x17
0xfffffff0087e66f4: e20310aa  mov	x2, x16
0xfffffff0087e66f8: e10315aa  mov	x1, x21
0xfffffff0087e66fc: 040080d2  mov	x4, #0
0xfffffff0087e6700: 05008052  mov	w5, #0
0xfffffff0087e6704: 148dee97  bl	#0xfffffff008389b54
0xfffffff0087e6708: 600600f9  str	x0, [x19, #8]
0xfffffff0087e670c: b00240f9  ldr	x16, [x21]
0xfffffff0087e6710: f10315aa  mov	x17, x21
0xfffffff0087e6714: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087e6718: 301ac1da  autda	x16, x17
0xfffffff0087e671c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0087e6720: e90310aa  mov	x9, x16
0xfffffff0087e6724: e00315aa  mov	x0, x21
0xfffffff0087e6728: f10309aa  mov	x17, x9
0xfffffff0087e672c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0087e6730: 11093fd7  blraa	x8, x17
0xfffffff0087e6734: 680640f9  ldr	x8, [x19, #8]
0xfffffff0087e6738: 080600b4  cbz	x8, #0xfffffff0087e67f8
0xfffffff0087e673c: 15008052  mov	w21, #0
