; Candidate 8047
; ADRP+ADD at VM 0xfffffff00888fd74 (fileoff 0x188bd74): page=0x1fe993000 add_imm=0xe9b

0xfffffff00888fcf4: 200a00b4  cbz	x0, #0xfffffff00888fe38
0xfffffff00888fcf8: 01efff97  bl	#0xfffffff00888b8fc
0xfffffff00888fcfc: 210340f9  ldr	x1, [x25]
0xfffffff00888fd00: 1f00156b  cmp	w0, w21
0xfffffff00888fd04: 8a090054  b.ge	#0xfffffff00888fe34
0xfffffff00888fd08: e00314aa  mov	x0, x20
0xfffffff00888fd0c: 00210094  bl	#0xfffffff00889810c
0xfffffff00888fd10: 3f0300f9  str	xzr, [x25]
0xfffffff00888fd14: 49000014  b	#0xfffffff00888fe38
0xfffffff00888fd18: 80098052  mov	w0, #0x4c
0xfffffff00888fd1c: 81008052  mov	w1, #4
0xfffffff00888fd20: acaeff97  bl	#0xfffffff00887b7d0
0xfffffff00888fd24: 20060034  cbz	w0, #0xfffffff00888fde8
0xfffffff00888fd28: 80098052  mov	w0, #0x4c
0xfffffff00888fd2c: bbaeff97  bl	#0xfffffff00887b818
0xfffffff00888fd30: f70300aa  mov	x23, x0
0xfffffff00888fd34: 1e910094  bl	#0xfffffff0088b41ac
0xfffffff00888fd38: f50300aa  mov	x21, x0
0xfffffff00888fd3c: 80008052  mov	w0, #4
0xfffffff00888fd40: c4aeff97  bl	#0xfffffff00887b850
0xfffffff00888fd44: 37020034  cbz	w23, #0xfffffff00888fd88
0xfffffff00888fd48: e8031aaa  mov	x8, x26
0xfffffff00888fd4c: e87304a9  stp	x8, x28, [sp, #0x40]
0xfffffff00888fd50: f46303a9  stp	x20, x24, [sp, #0x30]
0xfffffff00888fd54: 084dff90  adrp	x8, #0xfffffff00722f000
0xfffffff00888fd58: 08150f91  add	x8, x8, #0x3c5
0xfffffff00888fd5c: 89358052  mov	w9, #0x1ac
0xfffffff00888fd60: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00888fd64: 084dff90  adrp	x8, #0xfffffff00722f000
0xfffffff00888fd68: 089d0e91  add	x8, x8, #0x3a7
0xfffffff00888fd6c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00888fd70: 88098052  mov	w8, #0x4c
0xfffffff00888fd74: 804cfff0  adrp	x0, #0xfffffff007222000
0xfffffff00888fd78: 006c3a91  add	x0, x0, #0xe9b
0xfffffff00888fd7c: f52300a9  stp	x21, x8, [sp]
0xfffffff00888fd80: b89dd497  bl	#0xfffffff007db7460
0xfffffff00888fd84: 19000014  b	#0xfffffff00888fde8
0xfffffff00888fd88: 09910094  bl	#0xfffffff0088b41ac
0xfffffff00888fd8c: f50300aa  mov	x21, x0
0xfffffff00888fd90: 80008052  mov	w0, #4
0xfffffff00888fd94: afaeff97  bl	#0xfffffff00887b850
0xfffffff00888fd98: e8031aaa  mov	x8, x26
0xfffffff00888fd9c: e87304a9  stp	x8, x28, [sp, #0x40]
0xfffffff00888fda0: f46303a9  stp	x20, x24, [sp, #0x30]
0xfffffff00888fda4: 084dff90  adrp	x8, #0xfffffff00722f000
0xfffffff00888fda8: 08150f91  add	x8, x8, #0x3c5
0xfffffff00888fdac: 89358052  mov	w9, #0x1ac
0xfffffff00888fdb0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00888fdb4: 084dff90  adrp	x8, #0xfffffff00722f000
0xfffffff00888fdb8: 089d0e91  add	x8, x8, #0x3a7
0xfffffff00888fdbc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00888fdc0: 88098052  mov	w8, #0x4c
0xfffffff00888fdc4: f52300a9  stp	x21, x8, [sp]
0xfffffff00888fdc8: c04affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888fdcc: 00003a91  add	x0, x0, #0xe80
0xfffffff00888fdd0: c18bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00888fdd4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888fdd8: 634efff0  adrp	x3, #0xfffffff00725e000
0xfffffff00888fddc: 63b01991  add	x3, x3, #0x66c
0xfffffff00888fde0: 02008052  mov	w2, #0
0xfffffff00888fde4: d38cea97  bl	#0xfffffff008333130
0xfffffff00888fde8: 157d8012  mov	w21, #-0x3e9
0xfffffff00888fdec: e00314aa  mov	x0, x20
0xfffffff00888fdf0: e1031caa  mov	x1, x28
