; Candidate 14396
; ADRP+ADD at VM 0xfffffff009770390 (fileoff 0x276c390): page=0xc1b000 add_imm=0xea8

0xfffffff009770310: c00100b5  cbnz	x0, #0xfffffff009770348
0xfffffff009770314: 700240f9  ldr	x16, [x19]
0xfffffff009770318: f10313aa  mov	x17, x19
0xfffffff00977031c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009770320: 301ac1da  autda	x16, x17
0xfffffff009770324: 113d80d2  mov	x17, #0x1e8
0xfffffff009770328: 1002118b  add	x16, x16, x17
0xfffffff00977032c: 080240f9  ldr	x8, [x16]
0xfffffff009770330: e90310aa  mov	x9, x16
0xfffffff009770334: e00313aa  mov	x0, x19
0xfffffff009770338: 010080d2  mov	x1, #0
0xfffffff00977033c: f10309aa  mov	x17, x9
0xfffffff009770340: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009770344: 11093fd7  blraa	x8, x17
0xfffffff009770348: e00313aa  mov	x0, x19
0xfffffff00977034c: c4e1fc97  bl	#0xfffffff0096a8a5c
0xfffffff009770350: e00313aa  mov	x0, x19
0xfffffff009770354: c2e1fc97  bl	#0xfffffff0096a8a5c
0xfffffff009770358: c00100b5  cbnz	x0, #0xfffffff009770390
0xfffffff00977035c: 700240f9  ldr	x16, [x19]
0xfffffff009770360: f10313aa  mov	x17, x19
0xfffffff009770364: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009770368: 301ac1da  autda	x16, x17
0xfffffff00977036c: 114380d2  mov	x17, #0x218
0xfffffff009770370: 1002118b  add	x16, x16, x17
0xfffffff009770374: 080240f9  ldr	x8, [x16]
0xfffffff009770378: e90310aa  mov	x9, x16
0xfffffff00977037c: e00313aa  mov	x0, x19
0xfffffff009770380: 010080d2  mov	x1, #0
0xfffffff009770384: f10309aa  mov	x17, x9
0xfffffff009770388: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00977038c: 11093fd7  blraa	x8, x17
0xfffffff009770390: c06000f0  adrp	x0, #0xfffffff00a38b000
0xfffffff009770394: 00a03a91  add	x0, x0, #0xea8
0xfffffff009770398: 70d1ad97  bl	#0xfffffff0082e4958
0xfffffff00977039c: f40300aa  mov	x20, x0
0xfffffff0097703a0: e00313aa  mov	x0, x19
0xfffffff0097703a4: aee1fc97  bl	#0xfffffff0096a8a5c
0xfffffff0097703a8: f50300aa  mov	x21, x0
0xfffffff0097703ac: e00100b5  cbnz	x0, #0xfffffff0097703e8
0xfffffff0097703b0: 700240f9  ldr	x16, [x19]
0xfffffff0097703b4: f10313aa  mov	x17, x19
0xfffffff0097703b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097703bc: 301ac1da  autda	x16, x17
0xfffffff0097703c0: 113d80d2  mov	x17, #0x1e8
0xfffffff0097703c4: 1002118b  add	x16, x16, x17
0xfffffff0097703c8: 080240f9  ldr	x8, [x16]
0xfffffff0097703cc: e90310aa  mov	x9, x16
0xfffffff0097703d0: e00313aa  mov	x0, x19
0xfffffff0097703d4: 010080d2  mov	x1, #0
0xfffffff0097703d8: f10309aa  mov	x17, x9
0xfffffff0097703dc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0097703e0: 11093fd7  blraa	x8, x17
0xfffffff0097703e4: f50300aa  mov	x21, x0
0xfffffff0097703e8: e00313aa  mov	x0, x19
0xfffffff0097703ec: 9ce1fc97  bl	#0xfffffff0096a8a5c
0xfffffff0097703f0: f6f0feb0  adrp	x22, #0xfffffff00758d000
0xfffffff0097703f4: d6c63491  add	x22, x22, #0xd31
0xfffffff0097703f8: e8f0feb0  adrp	x8, #0xfffffff00758d000
0xfffffff0097703fc: 08c93491  add	x8, x8, #0xd32
0xfffffff009770400: 1f0000f1  cmp	x0, #0
0xfffffff009770404: 1701969a  csel	x23, x8, x22, eq
0xfffffff009770408: e00313aa  mov	x0, x19
0xfffffff00977040c: 94e1fc97  bl	#0xfffffff0096a8a5c
