; Candidate 4663
; ADRP+ADD at VM 0xfffffff0087bfc34 (fileoff 0x17bbc34): page=0x1fe972000 add_imm=0xd90

0xfffffff0087bfbb4: 69064039  ldrb	w9, [x19, #1]
0xfffffff0087bfbb8: 281d78b3  bfi	x8, x9, #8, #8
0xfffffff0087bfbbc: 69024039  ldrb	w9, [x19]
0xfffffff0087bfbc0: 000109aa  orr	x0, x8, x9
0xfffffff0087bfbc4: 03000014  b	#0xfffffff0087bfbd0
0xfffffff0087bfbc8: 9f2403d5  bti	j
0xfffffff0087bfbcc: 600240b9  ldr	w0, [x19]
0xfffffff0087bfbd0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0087bfbd4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0087bfbd8: ffc30091  add	sp, sp, #0x30
0xfffffff0087bfbdc: ff0f5fd6  retab	
0xfffffff0087bfbe0: 0c000000  udf	#0xc
0xfffffff0087bfbe4: 50000000  udf	#0x50
0xfffffff0087bfbe8: 5c000000  udf	#0x5c
0xfffffff0087bfbec: 7c000000  udf	#0x7c
0xfffffff0087bfbf0: 5f2403d5  bti	c
0xfffffff0087bfbf4: c10b0034  cbz	w1, #0xfffffff0087bfd6c
0xfffffff0087bfbf8: 7f2303d5  pacibsp	
0xfffffff0087bfbfc: ff0301d1  sub	sp, sp, #0x40
0xfffffff0087bfc00: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0087bfc04: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0087bfc08: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0087bfc0c: fdc30091  add	x29, sp, #0x30
0xfffffff0087bfc10: f40301aa  mov	x20, x1
0xfffffff0087bfc14: f30300aa  mov	x19, x0
0xfffffff0087bfc18: 082c40b9  ldr	w8, [x0, #0x2c]
0xfffffff0087bfc1c: 1f090072  tst	w8, #7
0xfffffff0087bfc20: c0010054  b.eq	#0xfffffff0087bfc58
0xfffffff0087bfc24: 68198052  mov	w8, #0xcb
0xfffffff0087bfc28: e94cfff0  adrp	x9, #0xfffffff00715e000
0xfffffff0087bfc2c: 29b53691  add	x9, x9, #0xdad
0xfffffff0087bfc30: e92300a9  stp	x9, x8, [sp]
0xfffffff0087bfc34: 804bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bfc38: 00403691  add	x0, x0, #0xd90
0xfffffff0087bfc3c: e191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bfc40: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bfc44: 634cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bfc48: 63c82591  add	x3, x3, #0x972
0xfffffff0087bfc4c: 02008052  mov	w2, #0
0xfffffff0087bfc50: 38cded97  bl	#0xfffffff008333130
0xfffffff0087bfc54: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0087bfc58: 89721d53  lsl	w9, w20, #3
0xfffffff0087bfc5c: 3501086b  subs	w21, w9, w8
0xfffffff0087bfc60: 29070054  b.ls	#0xfffffff0087bfd44
0xfffffff0087bfc64: 7f1600f9  str	xzr, [x19, #0x28]
0xfffffff0087bfc68: bf0a0072  tst	w21, #7
0xfffffff0087bfc6c: a0010054  b.eq	#0xfffffff0087bfca0
0xfffffff0087bfc70: 081b8052  mov	w8, #0xd8
0xfffffff0087bfc74: e94cfff0  adrp	x9, #0xfffffff00715e000
0xfffffff0087bfc78: 29b53691  add	x9, x9, #0xdad
0xfffffff0087bfc7c: e92300a9  stp	x9, x8, [sp]
0xfffffff0087bfc80: 804bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bfc84: 00403691  add	x0, x0, #0xd90
0xfffffff0087bfc88: e191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bfc8c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bfc90: 634cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bfc94: 63942691  add	x3, x3, #0x9a5
0xfffffff0087bfc98: 02008052  mov	w2, #0
0xfffffff0087bfc9c: 25cded97  bl	#0xfffffff008333130
0xfffffff0087bfca0: 08008052  mov	w8, #0
0xfffffff0087bfca4: 14008052  mov	w20, #0
0xfffffff0087bfca8: a97e0353  lsr	w9, w21, #3
0xfffffff0087bfcac: 2a691e12  and	w10, w9, #0x1ffffffc
0xfffffff0087bfcb0: 6b2641a9  ldp	x11, x9, [x19, #0x10]
