; Candidate 5624
; ADRP+ADD at VM 0xfffffff0087fd3b0 (fileoff 0x17f93b0): page=0x1fe9ec000 add_imm=0xe80

0xfffffff0087fd330: f30300aa  mov	x19, x0
0xfffffff0087fd334: 28b04091  add	x8, x1, #0x2c, lsl #12
0xfffffff0087fd338: 16211691  add	x22, x8, #0x588
0xfffffff0087fd33c: d90240b9  ldr	w25, [x22]
0xfffffff0087fd340: 000a8052  mov	w0, #0x50
0xfffffff0087fd344: 01008052  mov	w1, #0
0xfffffff0087fd348: 22f90194  bl	#0xfffffff00887b7d0
0xfffffff0087fd34c: 20040034  cbz	w0, #0xfffffff0087fd3d0
0xfffffff0087fd350: 000a8052  mov	w0, #0x50
0xfffffff0087fd354: 31f90194  bl	#0xfffffff00887b818
0xfffffff0087fd358: f50300aa  mov	x21, x0
0xfffffff0087fd35c: 94db0294  bl	#0xfffffff0088b41ac
0xfffffff0087fd360: f40300aa  mov	x20, x0
0xfffffff0087fd364: 00008052  mov	w0, #0
0xfffffff0087fd368: 3af90194  bl	#0xfffffff00887b850
0xfffffff0087fd36c: 35010034  cbz	w21, #0xfffffff0087fd390
0xfffffff0087fd370: f9cf01a9  stp	x25, x19, [sp, #0x18]
0xfffffff0087fd374: 080a8052  mov	w8, #0x50
0xfffffff0087fd378: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087fd37c: f40300f9  str	x20, [sp]
0xfffffff0087fd380: c050ffd0  adrp	x0, #0xfffffff007217000
0xfffffff0087fd384: 00a41d91  add	x0, x0, #0x769
0xfffffff0087fd388: 36e8d697  bl	#0xfffffff007db7460
0xfffffff0087fd38c: 11000014  b	#0xfffffff0087fd3d0
0xfffffff0087fd390: 87db0294  bl	#0xfffffff0088b41ac
0xfffffff0087fd394: f40300aa  mov	x20, x0
0xfffffff0087fd398: 00008052  mov	w0, #0
0xfffffff0087fd39c: 2df90194  bl	#0xfffffff00887b850
0xfffffff0087fd3a0: f9cf01a9  stp	x25, x19, [sp, #0x18]
0xfffffff0087fd3a4: 080a8052  mov	w8, #0x50
0xfffffff0087fd3a8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087fd3ac: f40300f9  str	x20, [sp]
0xfffffff0087fd3b0: 604fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fd3b4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fd3b8: 4190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087fd3bc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fd3c0: 2352ffb0  adrp	x3, #0xfffffff007242000
0xfffffff0087fd3c4: 63980091  add	x3, x3, #0x26
0xfffffff0087fd3c8: 02008052  mov	w2, #0
0xfffffff0087fd3cc: 59d7ec97  bl	#0xfffffff008333130
0xfffffff0087fd3d0: 3f0b0071  cmp	w25, #2
0xfffffff0087fd3d4: 0b070054  b.lt	#0xfffffff0087fd4b4
0xfffffff0087fd3d8: da5e0091  add	x26, x22, #0x17
0xfffffff0087fd3dc: 3b008052  mov	w27, #1
0xfffffff0087fd3e0: 1c0a8052  mov	w28, #0x50
0xfffffff0087fd3e4: d350ffd0  adrp	x19, #0xfffffff007217000
0xfffffff0087fd3e8: 737a1e91  add	x19, x19, #0x79e
0xfffffff0087fd3ec: 744fff90  adrp	x20, #0xfffffff0071e9000
0xfffffff0087fd3f0: 94023a91  add	x20, x20, #0xe80
0xfffffff0087fd3f4: 5590fff0  adrp	x21, #0xfffffff007a08000
0xfffffff0087fd3f8: b52e42f9  ldr	x21, [x21, #0x458]
0xfffffff0087fd3fc: 3652ffb0  adrp	x22, #0xfffffff007242000
0xfffffff0087fd400: d66a0191  add	x22, x22, #0x5a
0xfffffff0087fd404: 000a8052  mov	w0, #0x50
0xfffffff0087fd408: 01008052  mov	w1, #0
0xfffffff0087fd40c: f1f80194  bl	#0xfffffff00887b7d0
0xfffffff0087fd410: a0040034  cbz	w0, #0xfffffff0087fd4a4
0xfffffff0087fd414: 000a8052  mov	w0, #0x50
0xfffffff0087fd418: 00f90194  bl	#0xfffffff00887b818
0xfffffff0087fd41c: f80300aa  mov	x24, x0
0xfffffff0087fd420: 63db0294  bl	#0xfffffff0088b41ac
0xfffffff0087fd424: f70300aa  mov	x23, x0
0xfffffff0087fd428: 00008052  mov	w0, #0
0xfffffff0087fd42c: 09f90194  bl	#0xfffffff00887b850
