; Candidate 2618
; ADRP+ADD at VM 0xfffffff0086d56a4 (fileoff 0x16d16a4): page=0x1fea5c000 add_imm=0xd90

0xfffffff0086d5624: f40300aa  mov	x20, x0
0xfffffff0086d5628: c853ffb0  adrp	x8, #0xfffffff00714e000
0xfffffff0086d562c: 08fd3f91  add	x8, x8, #0xfff
0xfffffff0086d5630: e85300a9  stp	x8, x20, [sp]
0xfffffff0086d5634: e052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086d5638: 00403691  add	x0, x0, #0xd90
0xfffffff0086d563c: 4199ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086d5640: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086d5644: e352ffb0  adrp	x3, #0xfffffff007132000
0xfffffff0086d5648: 63b01791  add	x3, x3, #0x5ec
0xfffffff0086d564c: 02008052  mov	w2, #0
0xfffffff0086d5650: b876f197  bl	#0xfffffff008333130
0xfffffff0086d5654: 58000014  b	#0xfffffff0086d57b4
0xfffffff0086d5658: 545c8052  mov	w20, #0x2e2
0xfffffff0086d565c: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff0086d5660: c853ffb0  adrp	x8, #0xfffffff00714e000
0xfffffff0086d5664: 08fd3f91  add	x8, x8, #0xfff
0xfffffff0086d5668: e85700a9  stp	x8, x21, [sp]
0xfffffff0086d566c: e052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086d5670: 00403691  add	x0, x0, #0xd90
0xfffffff0086d5674: 4199ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086d5678: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086d567c: e352ffb0  adrp	x3, #0xfffffff007132000
0xfffffff0086d5680: 636c1491  add	x3, x3, #0x51b
0xfffffff0086d5684: 02008052  mov	w2, #0
0xfffffff0086d5688: aa76f197  bl	#0xfffffff008333130
0xfffffff0086d568c: 4a000014  b	#0xfffffff0086d57b4
0xfffffff0086d5690: 545c8052  mov	w20, #0x2e2
0xfffffff0086d5694: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff0086d5698: c853ffb0  adrp	x8, #0xfffffff00714e000
0xfffffff0086d569c: 08fd3f91  add	x8, x8, #0xfff
0xfffffff0086d56a0: e85f00a9  stp	x8, x23, [sp]
0xfffffff0086d56a4: e052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086d56a8: 00403691  add	x0, x0, #0xd90
0xfffffff0086d56ac: 4199ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086d56b0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086d56b4: e352ffb0  adrp	x3, #0xfffffff007132000
0xfffffff0086d56b8: 636c1591  add	x3, x3, #0x55b
0xfffffff0086d56bc: 02008052  mov	w2, #0
0xfffffff0086d56c0: 9c76f197  bl	#0xfffffff008333130
0xfffffff0086d56c4: 3c000014  b	#0xfffffff0086d57b4
0xfffffff0086d56c8: b40f40f9  ldr	x20, [x29, #0x18]
0xfffffff0086d56cc: 6099ffb0  adrp	x0, #0xfffffff007a02000
0xfffffff0086d56d0: 00a02a91  add	x0, x0, #0xaa8
0xfffffff0086d56d4: 8803f297  bl	#0xfffffff0083564f4
0xfffffff0086d56d8: f50300aa  mov	x21, x0
0xfffffff0086d56dc: e00bc03d  ldr	q0, [sp, #0x20]
0xfffffff0086d56e0: 0000803d  str	q0, [x0]
0xfffffff0086d56e4: e08742ad  ldp	q0, q1, [sp, #0x50]
0xfffffff0086d56e8: e38b41ad  ldp	q3, q2, [sp, #0x30]
0xfffffff0086d56ec: 008401ad  stp	q0, q1, [x0, #0x30]
0xfffffff0086d56f0: 038800ad  stp	q3, q2, [x0, #0x10]
0xfffffff0086d56f4: e10344ad  ldp	q1, q0, [sp, #0x80]
0xfffffff0086d56f8: e85340f9  ldr	x8, [sp, #0xa0]
0xfffffff0086d56fc: e21fc03d  ldr	q2, [sp, #0x70]
0xfffffff0086d5700: 084000f9  str	x8, [x0, #0x80]
0xfffffff0086d5704: 010003ad  stp	q1, q0, [x0, #0x60]
0xfffffff0086d5708: 0214803d  str	q2, [x0, #0x50]
0xfffffff0086d570c: 1f8800b9  str	wzr, [x0, #0x88]
0xfffffff0086d5710: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0086d5714: e083823c  stur	q0, [sp, #0x28]
0xfffffff0086d5718: e083833c  stur	q0, [sp, #0x38]
0xfffffff0086d571c: e00744ad  ldp	q0, q1, [sp, #0x80]
0xfffffff0086d5720: 800603ad  stp	q0, q1, [x20, #0x60]
