; Candidate 16627
; ADRP+ADD at VM 0xfffffff009f077f8 (fileoff 0x2f037f8): page=0x1fd94c000 add_imm=0xdc2

0xfffffff009f07778: e10317aa  mov	x1, x23
0xfffffff009f0777c: c2358c52  mov	w2, #0x61ae
0xfffffff009f07780: da3bfd97  bl	#0xfffffff009e566e8
0xfffffff009f07784: a86240f9  ldr	x8, [x21, #0xc0]
0xfffffff009f07788: 08e14039  ldrb	w8, [x8, #0x38]
0xfffffff009f0778c: 28052836  tbz	w8, #5, #0xfffffff009f07830
0xfffffff009f07790: 41000014  b	#0xfffffff009f07894
0xfffffff009f07794: a86240f9  ldr	x8, [x21, #0xc0]
0xfffffff009f07798: 08e14039  ldrb	w8, [x8, #0x38]
0xfffffff009f0779c: 08011b12  and	w8, w8, #0x20
0xfffffff009f077a0: e9a340b9  ldr	w9, [sp, #0xa0]
0xfffffff009f077a4: 29010052  eor	w9, w9, #1
0xfffffff009f077a8: 2815482a  orr	w8, w9, w8, lsr #5
0xfffffff009f077ac: 48070037  tbnz	w8, #0, #0xfffffff009f07894
0xfffffff009f077b0: 3f070071  cmp	w25, #1
0xfffffff009f077b4: 01070054  b.ne	#0xfffffff009f07894
0xfffffff009f077b8: e00315aa  mov	x0, x21
0xfffffff009f077bc: e10302aa  mov	x1, x2
0xfffffff009f077c0: cb97ff97  bl	#0xfffffff009eed6ec
0xfffffff009f077c4: f90300aa  mov	x25, x0
0xfffffff009f077c8: e00315aa  mov	x0, x21
0xfffffff009f077cc: e10319aa  mov	x1, x25
0xfffffff009f077d0: e24340f9  ldr	x2, [sp, #0x80]
0xfffffff009f077d4: 679dff97  bl	#0xfffffff009eeed70
0xfffffff009f077d8: e0050034  cbz	w0, #0xfffffff009f07894
0xfffffff009f077dc: f9eb01a9  stp	x25, x26, [sp, #0x18]
0xfffffff009f077e0: e95740f9  ldr	x9, [sp, #0xa8]
0xfffffff009f077e4: 28338c52  mov	w8, #0x6199
0xfffffff009f077e8: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009f077ec: 79cafe90  adrp	x25, #0xfffffff007853000
0xfffffff009f077f0: 39271991  add	x25, x25, #0x649
0xfffffff009f077f4: f90300f9  str	x25, [sp]
0xfffffff009f077f8: 60cafe90  adrp	x0, #0xfffffff007853000
0xfffffff009f077fc: 00083791  add	x0, x0, #0xdc2
0xfffffff009f07800: 31e0fd97  bl	#0xfffffff009e7f8c4
0xfffffff009f07804: 42338c52  mov	w2, #0x619a
0xfffffff009f07808: 20000014  b	#0xfffffff009f07888
0xfffffff009f0780c: a86240f9  ldr	x8, [x21, #0xc0]
0xfffffff009f07810: 08e14039  ldrb	w8, [x8, #0x38]
0xfffffff009f07814: 08011b12  and	w8, w8, #0x20
0xfffffff009f07818: e9a340b9  ldr	w9, [sp, #0xa0]
0xfffffff009f0781c: 29010052  eor	w9, w9, #1
0xfffffff009f07820: 2815482a  orr	w8, w9, w8, lsr #5
0xfffffff009f07824: 88030037  tbnz	w8, #0, #0xfffffff009f07894
0xfffffff009f07828: 3f070071  cmp	w25, #1
0xfffffff009f0782c: 41030054  b.ne	#0xfffffff009f07894
0xfffffff009f07830: a80359f8  ldur	x8, [x29, #-0x70]
0xfffffff009f07834: 017978f8  ldr	x1, [x8, x24, lsl #3]
0xfffffff009f07838: e00315aa  mov	x0, x21
0xfffffff009f0783c: ac97ff97  bl	#0xfffffff009eed6ec
0xfffffff009f07840: f90300aa  mov	x25, x0
0xfffffff009f07844: e00315aa  mov	x0, x21
0xfffffff009f07848: e10319aa  mov	x1, x25
0xfffffff009f0784c: e24340f9  ldr	x2, [sp, #0x80]
0xfffffff009f07850: 489dff97  bl	#0xfffffff009eeed70
0xfffffff009f07854: 00020034  cbz	w0, #0xfffffff009f07894
0xfffffff009f07858: e84f40f9  ldr	x8, [sp, #0x98]
0xfffffff009f0785c: f9a301a9  stp	x25, x8, [sp, #0x18]
0xfffffff009f07860: e95740f9  ldr	x9, [sp, #0xa8]
0xfffffff009f07864: 28378c52  mov	w8, #0x61b9
0xfffffff009f07868: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009f0786c: 79cafe90  adrp	x25, #0xfffffff007853000
0xfffffff009f07870: 39271991  add	x25, x25, #0x649
0xfffffff009f07874: f90300f9  str	x25, [sp]
