; Candidate 14380
; ADRP+ADD at VM 0xfffffff00976f48c (fileoff 0x276b48c): page=0xc1c000 add_imm=0xea8

0xfffffff00976f40c: 490faf97  bl	#0xfffffff008333130
0xfffffff00976f410: 88000014  b	#0xfffffff00976f630
0xfffffff00976f414: 08e20491  add	x8, x16, #0x138
0xfffffff00976f418: 099e40f9  ldr	x9, [x16, #0x138]
0xfffffff00976f41c: e1170191  add	x1, sp, #0x45
0xfffffff00976f420: e00316aa  mov	x0, x22
0xfffffff00976f424: f10308aa  mov	x17, x8
0xfffffff00976f428: 71c7e5f2  movk	x17, #0x2e3b, lsl #48
0xfffffff00976f42c: 31093fd7  blraa	x9, x17
0xfffffff00976f430: 6825ffd0  adrp	x8, #0xfffffff007c1d000
0xfffffff00976f434: 08a12691  add	x8, x8, #0x9a8
0xfffffff00976f438: 010140f9  ldr	x1, [x8]
0xfffffff00976f43c: 2ed2ad97  bl	#0xfffffff0082e3cf4
0xfffffff00976f440: f50300aa  mov	x21, x0
0xfffffff00976f444: 600100b4  cbz	x0, #0xfffffff00976f470
0xfffffff00976f448: b00240f9  ldr	x16, [x21]
0xfffffff00976f44c: f10315aa  mov	x17, x21
0xfffffff00976f450: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976f454: 301ac1da  autda	x16, x17
0xfffffff00976f458: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff00976f45c: e90310aa  mov	x9, x16
0xfffffff00976f460: e00315aa  mov	x0, x21
0xfffffff00976f464: f10309aa  mov	x17, x9
0xfffffff00976f468: 51c9e5f2  movk	x17, #0x2e4a, lsl #48
0xfffffff00976f46c: 11093fd7  blraa	x8, x17
0xfffffff00976f470: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff00976f474: 080540f9  ldr	x8, [x8, #8]
0xfffffff00976f478: 150d00f9  str	x21, [x8, #0x18]
0xfffffff00976f47c: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff00976f480: 080540f9  ldr	x8, [x8, #8]
0xfffffff00976f484: 080d40f9  ldr	x8, [x8, #0x18]
0xfffffff00976f488: 480d00b5  cbnz	x8, #0xfffffff00976f630
0xfffffff00976f48c: e0600090  adrp	x0, #0xfffffff00a38b000
0xfffffff00976f490: 00a03a91  add	x0, x0, #0xea8
0xfffffff00976f494: 31d5ad97  bl	#0xfffffff0082e4958
0xfffffff00976f498: e00314aa  mov	x0, x20
0xfffffff00976f49c: 70e5fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976f4a0: c00100b5  cbnz	x0, #0xfffffff00976f4d8
0xfffffff00976f4a4: 900240f9  ldr	x16, [x20]
0xfffffff00976f4a8: f10314aa  mov	x17, x20
0xfffffff00976f4ac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976f4b0: 301ac1da  autda	x16, x17
0xfffffff00976f4b4: 113d80d2  mov	x17, #0x1e8
0xfffffff00976f4b8: 1002118b  add	x16, x16, x17
0xfffffff00976f4bc: 080240f9  ldr	x8, [x16]
0xfffffff00976f4c0: e90310aa  mov	x9, x16
0xfffffff00976f4c4: e00314aa  mov	x0, x20
0xfffffff00976f4c8: 010080d2  mov	x1, #0
0xfffffff00976f4cc: f10309aa  mov	x17, x9
0xfffffff00976f4d0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976f4d4: 11093fd7  blraa	x8, x17
0xfffffff00976f4d8: e00314aa  mov	x0, x20
0xfffffff00976f4dc: 60e5fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976f4e0: e00314aa  mov	x0, x20
0xfffffff00976f4e4: 5ee5fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976f4e8: c00100b5  cbnz	x0, #0xfffffff00976f520
0xfffffff00976f4ec: 900240f9  ldr	x16, [x20]
0xfffffff00976f4f0: f10314aa  mov	x17, x20
0xfffffff00976f4f4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976f4f8: 301ac1da  autda	x16, x17
0xfffffff00976f4fc: 114380d2  mov	x17, #0x218
0xfffffff00976f500: 1002118b  add	x16, x16, x17
0xfffffff00976f504: 080240f9  ldr	x8, [x16]
0xfffffff00976f508: e90310aa  mov	x9, x16
