; Candidate 10730
; ADRP+ADD at VM 0xfffffff008de4814 (fileoff 0x1de0814): page=0x1fe5e0000 add_imm=0xe15

0xfffffff008de4794: fa674fa9  ldp	x26, x25, [sp, #0xf0]
0xfffffff008de4798: fc6f4ea9  ldp	x28, x27, [sp, #0xe0]
0xfffffff008de479c: ff030591  add	sp, sp, #0x140
0xfffffff008de47a0: ff0f5fd6  retab	
0xfffffff008de47a4: e8d48052  mov	w8, #0x6a7
0xfffffff008de47a8: e92effb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de47ac: 29490d91  add	x9, x9, #0x352
0xfffffff008de47b0: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008de47b4: 082fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de47b8: 08493991  add	x8, x8, #0xe52
0xfffffff008de47bc: ea2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de47c0: 4a1d1191  add	x10, x10, #0x447
0xfffffff008de47c4: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de47c8: ea0300f9  str	x10, [sp]
0xfffffff008de47cc: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de47d0: 00543891  add	x0, x0, #0xe15
0xfffffff008de47d4: 13cad597  bl	#0xfffffff008357020
0xfffffff008de47d8: c8088052  mov	w8, #0x46
0xfffffff008de47dc: 54008012  mov	w20, #-3
0xfffffff008de47e0: d8ffff17  b	#0xfffffff008de4740
0xfffffff008de47e4: f40300aa  mov	x20, x0
0xfffffff008de47e8: 887e4093  sxtw	x8, w20
0xfffffff008de47ec: 09d98052  mov	w9, #0x6c8
0xfffffff008de47f0: ea2effb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de47f4: 4a490d91  add	x10, x10, #0x352
0xfffffff008de47f8: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de47fc: 092fff90  adrp	x9, #0xfffffff0073c4000
0xfffffff008de4800: 29493991  add	x9, x9, #0xe52
0xfffffff008de4804: 0b2fff90  adrp	x11, #0xfffffff0073c4000
0xfffffff008de4808: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de480c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de4810: eb0300f9  str	x11, [sp]
0xfffffff008de4814: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de4818: 00543891  add	x0, x0, #0xe15
0xfffffff008de481c: 01cad597  bl	#0xfffffff008357020
0xfffffff008de4820: 1e000014  b	#0xfffffff008de4898
0xfffffff008de4824: 88d98052  mov	w8, #0x6cc
0xfffffff008de4828: e92effb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de482c: 29490d91  add	x9, x9, #0x352
0xfffffff008de4830: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008de4834: 082fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de4838: 08493991  add	x8, x8, #0xe52
0xfffffff008de483c: ea2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de4840: 4a3d0a91  add	x10, x10, #0x28f
0xfffffff008de4844: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de4848: ea0300f9  str	x10, [sp]
0xfffffff008de484c: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de4850: 00543891  add	x0, x0, #0xe15
0xfffffff008de4854: f3c9d597  bl	#0xfffffff008357020
0xfffffff008de4858: 94008012  mov	w20, #-5
0xfffffff008de485c: 0f000014  b	#0xfffffff008de4898
0xfffffff008de4860: a8d98052  mov	w8, #0x6cd
0xfffffff008de4864: e92effb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de4868: 29490d91  add	x9, x9, #0x352
0xfffffff008de486c: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008de4870: 082fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de4874: 08493991  add	x8, x8, #0xe52
0xfffffff008de4878: ea2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de487c: 4a951191  add	x10, x10, #0x465
0xfffffff008de4880: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de4884: ea0300f9  str	x10, [sp]
0xfffffff008de4888: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de488c: 00543891  add	x0, x0, #0xe15
0xfffffff008de4890: e4c9d597  bl	#0xfffffff008357020
