; Candidate 7059
; ADRP+ADD at VM 0xfffffff00885485c (fileoff 0x185085c): page=0x1fe995000 add_imm=0xe80

0xfffffff0088547dc: 18020034  cbz	w24, #0xfffffff00885481c
0xfffffff0088547e0: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff0088547e4: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff0088547e8: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0088547ec: 684efff0  adrp	x8, #0xfffffff007223000
0xfffffff0088547f0: 08112291  add	x8, x8, #0x884
0xfffffff0088547f4: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088547f8: 884efff0  adrp	x8, #0xfffffff007227000
0xfffffff0088547fc: 08811191  add	x8, x8, #0x460
0xfffffff008854800: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008854804: 880c8052  mov	w8, #0x64
0xfffffff008854808: e04dffd0  adrp	x0, #0xfffffff007212000
0xfffffff00885480c: 00c82691  add	x0, x0, #0x9b2
0xfffffff008854810: f72300a9  stp	x23, x8, [sp]
0xfffffff008854814: 138bd597  bl	#0xfffffff007db7460
0xfffffff008854818: 19000014  b	#0xfffffff00885487c
0xfffffff00885481c: 647e0194  bl	#0xfffffff0088b41ac
0xfffffff008854820: f70300aa  mov	x23, x0
0xfffffff008854824: 00018052  mov	w0, #8
0xfffffff008854828: 0a9c0094  bl	#0xfffffff00887b850
0xfffffff00885482c: e80316aa  mov	x8, x22
0xfffffff008854830: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008854834: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff008854838: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff00885483c: 684efff0  adrp	x8, #0xfffffff007223000
0xfffffff008854840: 08112291  add	x8, x8, #0x884
0xfffffff008854844: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008854848: 884efff0  adrp	x8, #0xfffffff007227000
0xfffffff00885484c: 08811191  add	x8, x8, #0x460
0xfffffff008854850: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008854854: 880c8052  mov	w8, #0x64
0xfffffff008854858: f72300a9  stp	x23, x8, [sp]
0xfffffff00885485c: a04cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008854860: 00003a91  add	x0, x0, #0xe80
0xfffffff008854864: a18dff90  adrp	x1, #0xfffffff007a08000
0xfffffff008854868: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885486c: e34ffff0  adrp	x3, #0xfffffff007253000
0xfffffff008854870: 63d41f91  add	x3, x3, #0x7f5
0xfffffff008854874: 02008052  mov	w2, #0
0xfffffff008854878: 2e7aeb97  bl	#0xfffffff008333130
0xfffffff00885487c: e00316aa  mov	x0, x22
0xfffffff008854880: fd7b54a9  ldp	x29, x30, [sp, #0x140]
0xfffffff008854884: f44f53a9  ldp	x20, x19, [sp, #0x130]
0xfffffff008854888: f65752a9  ldp	x22, x21, [sp, #0x120]
0xfffffff00885488c: f85f51a9  ldp	x24, x23, [sp, #0x110]
0xfffffff008854890: fa6750a9  ldp	x26, x25, [sp, #0x100]
0xfffffff008854894: fc6f4fa9  ldp	x28, x27, [sp, #0xf0]
0xfffffff008854898: ff430591  add	sp, sp, #0x150
0xfffffff00885489c: ff0f5fd6  retab	
0xfffffff0088548a0: 437e0194  bl	#0xfffffff0088b41ac
0xfffffff0088548a4: f80300aa  mov	x24, x0
0xfffffff0088548a8: e0008052  mov	w0, #7
0xfffffff0088548ac: e99b0094  bl	#0xfffffff00887b850
0xfffffff0088548b0: a80e40f9  ldr	x8, [x21, #0x18]
0xfffffff0088548b4: 891a40b9  ldr	w9, [x20, #0x18]
0xfffffff0088548b8: ea5a40b9  ldr	w10, [x23, #0x58]
0xfffffff0088548bc: ab1240b9  ldr	w11, [x21, #0x10]
0xfffffff0088548c0: ac5240b9  ldr	w12, [x21, #0x50]
0xfffffff0088548c4: cdc640b9  ldr	w13, [x22, #0xc4]
0xfffffff0088548c8: ecb706a9  stp	x12, x13, [sp, #0x68]
0xfffffff0088548cc: eba305a9  stp	x11, x8, [sp, #0x58]
0xfffffff0088548d0: ead704a9  stp	x10, x21, [sp, #0x48]
0xfffffff0088548d4: e9df03a9  stp	x9, x23, [sp, #0x38]
0xfffffff0088548d8: e8ba8052  mov	w8, #0x5d7
