; Candidate 9221
; ADRP+ADD at VM 0xfffffff008a0f22c (fileoff 0x1a0b22c): page=0x1ff049000 add_imm=0xe58

0xfffffff008a0f1ac: 65d3e517  b	#0xfffffff008383f40
0xfffffff008a0f1b0: 5f2403d5  bti	c
0xfffffff008a0f1b4: 200020d4  brk	#1
0xfffffff008a0f1b8: 5f2403d5  bti	c
0xfffffff008a0f1bc: 200020d4  brk	#1
0xfffffff008a0f1c0: 5f2403d5  bti	c
0xfffffff008a0f1c4: 60c600f0  adrp	x0, #0xfffffff00a2de000
0xfffffff008a0f1c8: 00602691  add	x0, x0, #0x998
0xfffffff008a0f1cc: c0035fd6  ret	
0xfffffff008a0f1d0: 7f2303d5  pacibsp	
0xfffffff008a0f1d4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008a0f1d8: fd030091  mov	x29, sp
0xfffffff008a0f1dc: 6144ff90  adrp	x1, #0xfffffff00729b000
0xfffffff008a0f1e0: 217c1e91  add	x1, x1, #0x79f
0xfffffff008a0f1e4: e281ff90  adrp	x2, #0xfffffff007a4b000
0xfffffff008a0f1e8: 423046f9  ldr	x2, [x2, #0xc60]
0xfffffff008a0f1ec: 03388052  mov	w3, #0x1c0
0xfffffff008a0f1f0: 5252e397  bl	#0xfffffff0082e3b38
0xfffffff008a0f1f4: 1082ffd0  adrp	x16, #0xfffffff007a51000
0xfffffff008a0f1f8: 10420f91  add	x16, x16, #0x3d0
0xfffffff008a0f1fc: 10420091  add	x16, x16, #0x10
0xfffffff008a0f200: f10300aa  mov	x17, x0
0xfffffff008a0f204: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a0f208: 300ac1da  pacda	x16, x17
0xfffffff008a0f20c: 100000f9  str	x16, [x0]
0xfffffff008a0f210: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008a0f214: ff0f5fd6  retab	
0xfffffff008a0f218: 5f2403d5  bti	c
0xfffffff008a0f21c: 000080d2  mov	x0, #0
0xfffffff008a0f220: c0035fd6  ret	
0xfffffff008a0f224: 5f2403d5  bti	c
0xfffffff008a0f228: e10300aa  mov	x1, x0
0xfffffff008a0f22c: 4082ffb0  adrp	x0, #0xfffffff007a58000
0xfffffff008a0f230: 00603991  add	x0, x0, #0xe58
0xfffffff008a0f234: 0161e317  b	#0xfffffff0082e7638
0xfffffff008a0f238: 5f2403d5  bti	c
0xfffffff008a0f23c: e20301aa  mov	x2, x1
0xfffffff008a0f240: e10300aa  mov	x1, x0
0xfffffff008a0f244: 4082ffb0  adrp	x0, #0xfffffff007a58000
0xfffffff008a0f248: 00603991  add	x0, x0, #0xe58
0xfffffff008a0f24c: 1461e317  b	#0xfffffff0082e769c
0xfffffff008a0f250: 7f2303d5  pacibsp	
0xfffffff008a0f254: ff4302d1  sub	sp, sp, #0x90
0xfffffff008a0f258: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff008a0f25c: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008a0f260: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008a0f264: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008a0f268: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008a0f26c: fd030291  add	x29, sp, #0x80
0xfffffff008a0f270: f50301aa  mov	x21, x1
0xfffffff008a0f274: f30300aa  mov	x19, x0
0xfffffff008a0f278: f4588052  mov	w20, #0x2c7
0xfffffff008a0f27c: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008a0f280: 420b0034  cbz	w2, #0xfffffff008a0f3e8
0xfffffff008a0f284: f53f00b9  str	w21, [sp, #0x3c]
0xfffffff008a0f288: 60ca40f9  ldr	x0, [x19, #0x190]
0xfffffff008a0f28c: c01a00b4  cbz	x0, #0xfffffff008a0f5e4
0xfffffff008a0f290: 100040f9  ldr	x16, [x0]
0xfffffff008a0f294: f10300aa  mov	x17, x0
0xfffffff008a0f298: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a0f29c: 301ac1da  autda	x16, x17
0xfffffff008a0f2a0: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff008a0f2a4: e90310aa  mov	x9, x16
0xfffffff008a0f2a8: e1f30091  add	x1, sp, #0x3c
