; Candidate 10464
; ADRP+ADD at VM 0xfffffff008d743d8 (fileoff 0x1d703d8): page=0x1589000 add_imm=0xce0

0xfffffff008d74358: 00e01e91  add	x0, x0, #0x7b8
0xfffffff008d7435c: 0dd4d697  bl	#0xfffffff008329390
0xfffffff008d74360: 48ac00f0  adrp	x8, #0xfffffff00a2ff000
0xfffffff008d74364: 001101f9  str	x0, [x8, #0x220]
0xfffffff008d74368: c031fff0  adrp	x0, #0xfffffff0073af000
0xfffffff008d7436c: 002c1f91  add	x0, x0, #0x7cb
0xfffffff008d74370: 08d4d697  bl	#0xfffffff008329390
0xfffffff008d74374: 48ac00f0  adrp	x8, #0xfffffff00a2ff000
0xfffffff008d74378: 001501f9  str	x0, [x8, #0x228]
0xfffffff008d7437c: c031fff0  adrp	x0, #0xfffffff0073af000
0xfffffff008d74380: 00841f91  add	x0, x0, #0x7e1
0xfffffff008d74384: 03d4d697  bl	#0xfffffff008329390
0xfffffff008d74388: 48ac00f0  adrp	x8, #0xfffffff00a2ff000
0xfffffff008d7438c: 001901f9  str	x0, [x8, #0x230]
0xfffffff008d74390: 40ac00b0  adrp	x0, #0xfffffff00a2fd000
0xfffffff008d74394: 00803391  add	x0, x0, #0xce0
0xfffffff008d74398: 0132ff90  adrp	x1, #0xfffffff0073b4000
0xfffffff008d7439c: 21741191  add	x1, x1, #0x45d
0xfffffff008d743a0: 42ac00b0  adrp	x2, #0xfffffff00a2fd000
0xfffffff008d743a4: 42602b91  add	x2, x2, #0xad8
0xfffffff008d743a8: 03328052  mov	w3, #0x190
0xfffffff008d743ac: e3bdd597  bl	#0xfffffff0082e3b38
0xfffffff008d743b0: 306bffb0  adrp	x16, #0xfffffff007ad9000
0xfffffff008d743b4: 10823c91  add	x16, x16, #0xf20
0xfffffff008d743b8: 10420091  add	x16, x16, #0x10
0xfffffff008d743bc: f10300aa  mov	x17, x0
0xfffffff008d743c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d743c4: 300ac1da  pacda	x16, x17
0xfffffff008d743c8: 100000f9  str	x16, [x0]
0xfffffff008d743cc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008d743d0: ff0f5fd6  retab	
0xfffffff008d743d4: 5f2403d5  bti	c
0xfffffff008d743d8: 40ac00b0  adrp	x0, #0xfffffff00a2fd000
0xfffffff008d743dc: 00803391  add	x0, x0, #0xce0
0xfffffff008d743e0: c5c0d517  b	#0xfffffff0082e46f4
0xfffffff008d743e4: 7f2303d5  pacibsp	
0xfffffff008d743e8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008d743ec: fd030091  mov	x29, sp
0xfffffff008d743f0: 0132ff90  adrp	x1, #0xfffffff0073b4000
0xfffffff008d743f4: 21382491  add	x1, x1, #0x90e
0xfffffff008d743f8: e26afff0  adrp	x2, #0xfffffff007ad3000
0xfffffff008d743fc: 42a842f9  ldr	x2, [x2, #0x550]
0xfffffff008d74400: 03288052  mov	w3, #0x140
0xfffffff008d74404: cdbdd597  bl	#0xfffffff0082e3b38
0xfffffff008d74408: 306bffd0  adrp	x16, #0xfffffff007ada000
0xfffffff008d7440c: 10821691  add	x16, x16, #0x5a0
0xfffffff008d74410: 10420091  add	x16, x16, #0x10
0xfffffff008d74414: f10300aa  mov	x17, x0
0xfffffff008d74418: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d7441c: 300ac1da  pacda	x16, x17
0xfffffff008d74420: 100000f9  str	x16, [x0]
0xfffffff008d74424: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008d74428: ff0f5fd6  retab	
0xfffffff008d7442c: 5f2403d5  bti	c
0xfffffff008d74430: b1c0d517  b	#0xfffffff0082e46f4
0xfffffff008d74434: 7f2303d5  pacibsp	
0xfffffff008d74438: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008d7443c: fd030091  mov	x29, sp
0xfffffff008d74440: b92fda97  bl	#0xfffffff008400324
0xfffffff008d74444: 306bffb0  adrp	x16, #0xfffffff007ad9000
0xfffffff008d74448: 10e23e91  add	x16, x16, #0xfb8
0xfffffff008d7444c: 10420091  add	x16, x16, #0x10
0xfffffff008d74450: f10300aa  mov	x17, x0
0xfffffff008d74454: 31b4f9f2  movk	x17, #0xcda1, lsl #48
