; Candidate 7236
; ADRP+ADD at VM 0xfffffff008861c38 (fileoff 0x185dc38): page=0x1fe988000 add_imm=0xe80

0xfffffff008861bb8: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008861bbc: 284effd0  adrp	x8, #0xfffffff007227000
0xfffffff008861bc0: 08811191  add	x8, x8, #0x460
0xfffffff008861bc4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008861bc8: 680c8052  mov	w8, #0x63
0xfffffff008861bcc: a34fffb0  adrp	x3, #0xfffffff007256000
0xfffffff008861bd0: 639c0391  add	x3, x3, #0xe7
0xfffffff008861bd4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008861bd8: f60300f9  str	x22, [sp]
0xfffffff008861bdc: 404cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008861be0: 00003a91  add	x0, x0, #0xe80
0xfffffff008861be4: 218dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008861be8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008861bec: 02008052  mov	w2, #0
0xfffffff008861bf0: 5045eb97  bl	#0xfffffff008333130
0xfffffff008861bf4: 85fdff17  b	#0xfffffff008861208
0xfffffff008861bf8: 6d490194  bl	#0xfffffff0088b41ac
0xfffffff008861bfc: f60300aa  mov	x22, x0
0xfffffff008861c00: 80008052  mov	w0, #4
0xfffffff008861c04: 13670094  bl	#0xfffffff00887b850
0xfffffff008861c08: e8031aaa  mov	x8, x26
0xfffffff008861c0c: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008861c10: 881a8052  mov	w8, #0xd4
0xfffffff008861c14: 894dff90  adrp	x9, #0xfffffff007211000
0xfffffff008861c18: 29892c91  add	x9, x9, #0xb22
0xfffffff008861c1c: e8d302a9  stp	x8, x20, [sp, #0x28]
0xfffffff008861c20: 284effd0  adrp	x8, #0xfffffff007227000
0xfffffff008861c24: 08811191  add	x8, x8, #0x460
0xfffffff008861c28: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008861c2c: 680c8052  mov	w8, #0x63
0xfffffff008861c30: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008861c34: f60300f9  str	x22, [sp]
0xfffffff008861c38: 404cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008861c3c: 00003a91  add	x0, x0, #0xe80
0xfffffff008861c40: 218dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008861c44: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008861c48: a34fffb0  adrp	x3, #0xfffffff007256000
0xfffffff008861c4c: 63b40291  add	x3, x3, #0xad
0xfffffff008861c50: 02008052  mov	w2, #0
0xfffffff008861c54: 3745eb97  bl	#0xfffffff008333130
0xfffffff008861c58: 6bfdff17  b	#0xfffffff008861204
0xfffffff008861c5c: 608dff90  adrp	x0, #0xfffffff007a0d000
0xfffffff008861c60: 00602391  add	x0, x0, #0x8d8
0xfffffff008861c64: 24d2eb97  bl	#0xfffffff0083564f4
0xfffffff008861c68: 226a0094  bl	#0xfffffff00887c4f0
0xfffffff008861c6c: 604600f9  str	x0, [x19, #0x88]
0xfffffff008861c70: 800800b4  cbz	x0, #0xfffffff008861d80
0xfffffff008861c74: a10b78a9  ldp	x1, x2, [x29, #-0x80]
0xfffffff008861c78: a30359f8  ldur	x3, [x29, #-0x70]
0xfffffff008861c7c: e4031aaa  mov	x4, x26
0xfffffff008861c80: bf6a0094  bl	#0xfffffff00887c77c
0xfffffff008861c84: 600b0034  cbz	w0, #0xfffffff008861df0
0xfffffff008861c88: fc0300aa  mov	x28, x0
0xfffffff008861c8c: 600c8052  mov	w0, #0x63
0xfffffff008861c90: 81008052  mov	w1, #4
0xfffffff008861c94: cf660094  bl	#0xfffffff00887b7d0
0xfffffff008861c98: 80abff34  cbz	w0, #0xfffffff008861208
0xfffffff008861c9c: 600c8052  mov	w0, #0x63
0xfffffff008861ca0: de660094  bl	#0xfffffff00887b818
0xfffffff008861ca4: f60300aa  mov	x22, x0
0xfffffff008861ca8: 41490194  bl	#0xfffffff0088b41ac
0xfffffff008861cac: f40300aa  mov	x20, x0
0xfffffff008861cb0: 80008052  mov	w0, #4
0xfffffff008861cb4: e7660094  bl	#0xfffffff00887b850
