; Candidate 8546
; ADRP+ADD at VM 0xfffffff0088b110c (fileoff 0x18ad10c): page=0x1fe938000 add_imm=0xe80

0xfffffff0088b108c: 63b81a91  add	x3, x3, #0x6ae
0xfffffff0088b1090: f42300a9  stp	x20, x8, [sp]
0xfffffff0088b1094: c049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b1098: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b109c: a18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b10a0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b10a4: 02008052  mov	w2, #0
0xfffffff0088b10a8: 2208ea97  bl	#0xfffffff008333130
0xfffffff0088b10ac: 82feff17  b	#0xfffffff0088b0ab4
0xfffffff0088b10b0: 3f0c0094  bl	#0xfffffff0088b41ac
0xfffffff0088b10b4: f40300aa  mov	x20, x0
0xfffffff0088b10b8: 80008052  mov	w0, #4
0xfffffff0088b10bc: e529ff97  bl	#0xfffffff00887b850
0xfffffff0088b10c0: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0088b10c4: e9031baa  mov	x9, x27
0xfffffff0088b10c8: e92305a9  stp	x9, x8, [sp, #0x50]
0xfffffff0088b10cc: e80317aa  mov	x8, x23
0xfffffff0088b10d0: e90319aa  mov	x9, x25
0xfffffff0088b10d4: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0088b10d8: 68008052  mov	w8, #3
0xfffffff0088b10dc: e85703a9  stp	x8, x21, [sp, #0x30]
0xfffffff0088b10e0: e84afff0  adrp	x8, #0xfffffff007210000
0xfffffff0088b10e4: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088b10e8: 09118152  mov	w9, #0x888
0xfffffff0088b10ec: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088b10f0: 084cfff0  adrp	x8, #0xfffffff007234000
0xfffffff0088b10f4: 086d1591  add	x8, x8, #0x55b
0xfffffff0088b10f8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b10fc: c80f8052  mov	w8, #0x7e
0xfffffff0088b1100: 834dfff0  adrp	x3, #0xfffffff007264000
0xfffffff0088b1104: 63ec1b91  add	x3, x3, #0x6fb
0xfffffff0088b1108: f42300a9  stp	x20, x8, [sp]
0xfffffff0088b110c: c049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b1110: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b1114: a18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b1118: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b111c: 02008052  mov	w2, #0
0xfffffff0088b1120: 0408ea97  bl	#0xfffffff008333130
0xfffffff0088b1124: 64feff17  b	#0xfffffff0088b0ab4
0xfffffff0088b1128: 210c0094  bl	#0xfffffff0088b41ac
0xfffffff0088b112c: f40300aa  mov	x20, x0
0xfffffff0088b1130: 80008052  mov	w0, #4
0xfffffff0088b1134: c729ff97  bl	#0xfffffff00887b850
0xfffffff0088b1138: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0088b113c: e9031baa  mov	x9, x27
0xfffffff0088b1140: e92305a9  stp	x9, x8, [sp, #0x50]
0xfffffff0088b1144: e80317aa  mov	x8, x23
0xfffffff0088b1148: e90319aa  mov	x9, x25
0xfffffff0088b114c: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0088b1150: e8008052  mov	w8, #7
0xfffffff0088b1154: e85703a9  stp	x8, x21, [sp, #0x30]
0xfffffff0088b1158: e84afff0  adrp	x8, #0xfffffff007210000
0xfffffff0088b115c: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088b1160: 49138152  mov	w9, #0x89a
0xfffffff0088b1164: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088b1168: 084cfff0  adrp	x8, #0xfffffff007234000
0xfffffff0088b116c: 086d1591  add	x8, x8, #0x55b
0xfffffff0088b1170: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b1174: c80f8052  mov	w8, #0x7e
0xfffffff0088b1178: 834dfff0  adrp	x3, #0xfffffff007264000
0xfffffff0088b117c: 63541e91  add	x3, x3, #0x795
0xfffffff0088b1180: f42300a9  stp	x20, x8, [sp]
0xfffffff0088b1184: c049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b1188: 00003a91  add	x0, x0, #0xe80
