; Candidate 16444
; ADRP+ADD at VM 0xfffffff009eab41c (fileoff 0x2ea741c): page=0x1fd98d000 add_imm=0xe60

0xfffffff009eab39c: 34000014  b	#0xfffffff009eab46c
0xfffffff009eab3a0: 680650f9  ldr	x8, [x19, #0x2008]
0xfffffff009eab3a4: 1f0114eb  cmp	x8, x20
0xfffffff009eab3a8: 80000054  b.eq	#0xfffffff009eab3b8
0xfffffff009eab3ac: 08ff8352  mov	w8, #0x1ff8
0xfffffff009eab3b0: 6002088b  add	x0, x19, x8
0xfffffff009eab3b4: fd0c7c97  bl	#0xfffffff007dae7a8
0xfffffff009eab3b8: e0e30091  add	x0, sp, #0x38
0xfffffff009eab3bc: 1efaff97  bl	#0xfffffff009ea9c34
0xfffffff009eab3c0: 60010034  cbz	w0, #0xfffffff009eab3ec
0xfffffff009eab3c4: f60300aa  mov	x22, x0
0xfffffff009eab3c8: 68ccfeb0  adrp	x8, #0xfffffff007838000
0xfffffff009eab3cc: 088d3791  add	x8, x8, #0xde3
0xfffffff009eab3d0: 293e8d52  mov	w9, #0x69f1
0xfffffff009eab3d4: e9db00a9  stp	x9, x22, [sp, #8]
0xfffffff009eab3d8: e80300f9  str	x8, [sp]
0xfffffff009eab3dc: 60ccfeb0  adrp	x0, #0xfffffff007838000
0xfffffff009eab3e0: 00f03891  add	x0, x0, #0xe3c
0xfffffff009eab3e4: 1f307c97  bl	#0xfffffff007db7460
0xfffffff009eab3e8: 13000014  b	#0xfffffff009eab434
0xfffffff009eab3ec: 689640f9  ldr	x8, [x19, #0x128]
0xfffffff009eab3f0: 61ba41f9  ldr	x1, [x19, #0x370]
0xfffffff009eab3f4: 001140f9  ldr	x0, [x8, #0x20]
0xfffffff009eab3f8: e2c30091  add	x2, sp, #0x30
0xfffffff009eab3fc: f0e8ff97  bl	#0xfffffff009ea57bc
0xfffffff009eab400: 20070034  cbz	w0, #0xfffffff009eab4e4
0xfffffff009eab404: f60300aa  mov	x22, x0
0xfffffff009eab408: 68ccfeb0  adrp	x8, #0xfffffff007838000
0xfffffff009eab40c: 088d3791  add	x8, x8, #0xde3
0xfffffff009eab410: e93e8d52  mov	w9, #0x69f7
0xfffffff009eab414: e9db00a9  stp	x9, x22, [sp, #8]
0xfffffff009eab418: e80300f9  str	x8, [sp]
0xfffffff009eab41c: 60ccfeb0  adrp	x0, #0xfffffff007838000
0xfffffff009eab420: 00803991  add	x0, x0, #0xe60
0xfffffff009eab424: 0f307c97  bl	#0xfffffff007db7460
0xfffffff009eab428: e01f40f9  ldr	x0, [sp, #0x38]
0xfffffff009eab42c: 402100b4  cbz	x0, #0xfffffff009eab854
0xfffffff009eab430: 1bdb0094  bl	#0xfffffff009ee209c
0xfffffff009eab434: e12340f9  ldr	x1, [sp, #0x40]
0xfffffff009eab438: 212000b4  cbz	x1, #0xfffffff009eab83c
0xfffffff009eab43c: e00313aa  mov	x0, x19
0xfffffff009eab440: 020080d2  mov	x2, #0
0xfffffff009eab444: c3310194  bl	#0xfffffff009ef7b50
0xfffffff009eab448: 615a4ff9  ldr	x1, [x19, #0x1eb0]
0xfffffff009eab44c: 010100b4  cbz	x1, #0xfffffff009eab46c
0xfffffff009eab450: e8128092  mov	x8, #-0x98
0xfffffff009eab454: 080328f8  ldadd	x8, x8, [x24]
0xfffffff009eab458: 7f5a0ff9  str	xzr, [x19, #0x1eb0]
0xfffffff009eab45c: 60f4fef0  adrp	x0, #0xfffffff007d3a000
0xfffffff009eab460: 00e00091  add	x0, x0, #0x38
0xfffffff009eab464: 02138052  mov	w2, #0x98
0xfffffff009eab468: 60ae9297  bl	#0xfffffff008356de8
0xfffffff009eab46c: 61564ff9  ldr	x1, [x19, #0x1ea8]
0xfffffff009eab470: e10000b4  cbz	x1, #0xfffffff009eab48c
0xfffffff009eab474: 7f560ff9  str	xzr, [x19, #0x1ea8]
0xfffffff009eab478: 40f4fef0  adrp	x0, #0xfffffff007d36000
0xfffffff009eab47c: 00603d91  add	x0, x0, #0xf58
0xfffffff009eab480: a3ac9297  bl	#0xfffffff00835670c
0xfffffff009eab484: e8038092  mov	x8, #-0x20
0xfffffff009eab488: 080328f8  ldadd	x8, x8, [x24]
0xfffffff009eab48c: 68ccfeb0  adrp	x8, #0xfffffff007838000
0xfffffff009eab490: 08f93491  add	x8, x8, #0xd3e
0xfffffff009eab494: e9c18b52  mov	w9, #0x5e0f
0xfffffff009eab498: e9db00a9  stp	x9, x22, [sp, #8]
