; Candidate 9301
; ADRP+ADD at VM 0xfffffff008a24380 (fileoff 0x1a20380): page=0x1fe875000 add_imm=0xe40

0xfffffff008a24300: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008a24304: 700240f9  ldr	x16, [x19]
0xfffffff008a24308: f10313aa  mov	x17, x19
0xfffffff008a2430c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a24310: 301ac1da  autda	x16, x17
0xfffffff008a24314: 113d80d2  mov	x17, #0x1e8
0xfffffff008a24318: 1002118b  add	x16, x16, x17
0xfffffff008a2431c: 080240f9  ldr	x8, [x16]
0xfffffff008a24320: e90310aa  mov	x9, x16
0xfffffff008a24324: e00313aa  mov	x0, x19
0xfffffff008a24328: 010080d2  mov	x1, #0
0xfffffff008a2432c: f10309aa  mov	x17, x9
0xfffffff008a24330: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a24334: 11093fd7  blraa	x8, x17
0xfffffff008a24338: 700240f9  ldr	x16, [x19]
0xfffffff008a2433c: f10313aa  mov	x17, x19
0xfffffff008a24340: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a24344: 301ac1da  autda	x16, x17
0xfffffff008a24348: 113d80d2  mov	x17, #0x1e8
0xfffffff008a2434c: 1002118b  add	x16, x16, x17
0xfffffff008a24350: 080240f9  ldr	x8, [x16]
0xfffffff008a24354: e90310aa  mov	x9, x16
0xfffffff008a24358: e00313aa  mov	x0, x19
0xfffffff008a2435c: 010080d2  mov	x1, #0
0xfffffff008a24360: f10309aa  mov	x17, x9
0xfffffff008a24364: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a24368: 11093fd7  blraa	x8, x17
0xfffffff008a2436c: b58f8052  mov	w21, #0x47d
0xfffffff008a24370: f55f01a9  stp	x21, x23, [sp, #0x10]
0xfffffff008a24374: d643ffb0  adrp	x22, #0xfffffff00729d000
0xfffffff008a24378: d6e20591  add	x22, x22, #0x178
0xfffffff008a2437c: e05b00a9  stp	x0, x22, [sp]
0xfffffff008a24380: a043ffb0  adrp	x0, #0xfffffff007299000
0xfffffff008a24384: 00003991  add	x0, x0, #0xe40
0xfffffff008a24388: 2181fff0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a2438c: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a24390: e343ff90  adrp	x3, #0xfffffff0072a0000
0xfffffff008a24394: 635c2b91  add	x3, x3, #0xad7
0xfffffff008a24398: 02028052  mov	w2, #0x10
0xfffffff008a2439c: 653be497  bl	#0xfffffff008333130
0xfffffff008a243a0: 700240f9  ldr	x16, [x19]
0xfffffff008a243a4: f10313aa  mov	x17, x19
0xfffffff008a243a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a243ac: 301ac1da  autda	x16, x17
0xfffffff008a243b0: f10310aa  mov	x17, x16
0xfffffff008a243b4: f147c1da  xpacd	x17
0xfffffff008a243b8: 1f0211eb  cmp	x16, x17
0xfffffff008a243bc: 40000054  b.eq	#0xfffffff008a243c4
0xfffffff008a243c0: 408e38d4  brk	#0xc472
0xfffffff008a243c4: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a243c8: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a243cc: e00313aa  mov	x0, x19
0xfffffff008a243d0: 010080d2  mov	x1, #0
0xfffffff008a243d4: f10308aa  mov	x17, x8
0xfffffff008a243d8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a243dc: 31093fd7  blraa	x9, x17
0xfffffff008a243e0: f55f01a9  stp	x21, x23, [sp, #0x10]
0xfffffff008a243e4: e05b00a9  stp	x0, x22, [sp]
0xfffffff008a243e8: c043ffb0  adrp	x0, #0xfffffff00729d000
0xfffffff008a243ec: 000c0a91  add	x0, x0, #0x283
0xfffffff008a243f0: 0ccbe497  bl	#0xfffffff008357020
0xfffffff008a243f4: 68024639  ldrb	w8, [x19, #0x180]
0xfffffff008a243f8: c8010036  tbz	w8, #0, #0xfffffff008a24430
0xfffffff008a243fc: 2881fff0  adrp	x8, #0xfffffff007a4b000
