; Candidate 878
; ADRP+ADD at VM 0xfffffff0080e6b7c (fileoff 0x10e2b7c): page=0x1fef91000 add_imm=0xdb3

0xfffffff0080e6afc: 080140b9  ldr	w8, [x8]
0xfffffff0080e6b00: 1f9d0071  cmp	w8, #0x27
0xfffffff0080e6b04: c1030054  b.ne	#0xfffffff0080e6b7c
0xfffffff0080e6b08: 080840f9  ldr	x8, [x0, #0x10]
0xfffffff0080e6b0c: 880000b4  cbz	x8, #0xfffffff0080e6b1c
0xfffffff0080e6b10: 093d40b9  ldr	w9, [x8, #0x3c]
0xfffffff0080e6b14: 3f090071  cmp	w9, #2
0xfffffff0080e6b18: 61000054  b.ne	#0xfffffff0080e6b24
0xfffffff0080e6b1c: c0028052  mov	w0, #0x16
0xfffffff0080e6b20: 14000014  b	#0xfffffff0080e6b70
0xfffffff0080e6b24: 131540f9  ldr	x19, [x8, #0x28]
0xfffffff0080e6b28: 730300b4  cbz	x19, #0xfffffff0080e6b94
0xfffffff0080e6b2c: 4f340594  bl	#0xfffffff008233c68
0xfffffff0080e6b30: 740640f9  ldr	x20, [x19, #8]
0xfffffff0080e6b34: e00314aa  mov	x0, x20
0xfffffff0080e6b38: 21008052  mov	w1, #1
0xfffffff0080e6b3c: fbc2ff97  bl	#0xfffffff0080d7728
0xfffffff0080e6b40: 880a40b9  ldr	w8, [x20, #8]
0xfffffff0080e6b44: 1f250071  cmp	w8, #9
0xfffffff0080e6b48: a0000054  b.eq	#0xfffffff0080e6b5c
0xfffffff0080e6b4c: 882646a9  ldp	x8, x9, [x20, #0x60]
0xfffffff0080e6b50: 08050091  add	x8, x8, #1
0xfffffff0080e6b54: 1f0109eb  cmp	x8, x9
0xfffffff0080e6b58: 61000054  b.ne	#0xfffffff0080e6b64
0xfffffff0080e6b5c: e00313aa  mov	x0, x19
0xfffffff0080e6b60: 13000094  bl	#0xfffffff0080e6bac
0xfffffff0080e6b64: e00313aa  mov	x0, x19
0xfffffff0080e6b68: 5bc3ff97  bl	#0xfffffff0080d78d4
0xfffffff0080e6b6c: 00008052  mov	w0, #0
0xfffffff0080e6b70: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0080e6b74: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0080e6b78: ff0f5fd6  retab	
0xfffffff0080e6b7c: 807cffb0  adrp	x0, #0xfffffff007077000
0xfffffff0080e6b80: 00cc3691  add	x0, x0, #0xdb3
0xfffffff0080e6b84: 817cffb0  adrp	x1, #0xfffffff007077000
0xfffffff0080e6b88: 214c3791  add	x1, x1, #0xdd3
0xfffffff0080e6b8c: e2088052  mov	w2, #0x47
0xfffffff0080e6b90: 21e30e94  bl	#0xfffffff00849f814
0xfffffff0080e6b94: 807cffb0  adrp	x0, #0xfffffff007077000
0xfffffff0080e6b98: 00fc3291  add	x0, x0, #0xcbf
0xfffffff0080e6b9c: 817cffb0  adrp	x1, #0xfffffff007077000
0xfffffff0080e6ba0: 21443091  add	x1, x1, #0xc11
0xfffffff0080e6ba4: 028d8052  mov	w2, #0x468
0xfffffff0080e6ba8: 1be30e94  bl	#0xfffffff00849f814
0xfffffff0080e6bac: 7f2303d5  pacibsp	
0xfffffff0080e6bb0: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0080e6bb4: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0080e6bb8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0080e6bbc: fd830091  add	x29, sp, #0x20
0xfffffff0080e6bc0: f30300aa  mov	x19, x0
0xfffffff0080e6bc4: 010440f9  ldr	x1, [x0, #8]
0xfffffff0080e6bc8: 280840b9  ldr	w8, [x1, #8]
0xfffffff0080e6bcc: 1f250071  cmp	w8, #9
0xfffffff0080e6bd0: 0419407a  ccmp	w8, #0, #4, ne
0xfffffff0080e6bd4: 41010054  b.ne	#0xfffffff0080e6bfc
0xfffffff0080e6bd8: e00313aa  mov	x0, x19
0xfffffff0080e6bdc: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0080e6be0: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0080e6be4: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0080e6be8: ff2303d5  autibsp	
0xfffffff0080e6bec: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0080e6bf0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0080e6bf8
0xfffffff0080e6bf4: 208e38d4  brk	#0xc471
0xfffffff0080e6bf8: 78eeff17  b	#0xfffffff0080e25d8
