; Candidate 605
; ADRP+ADD at VM 0xfffffff007fb9c4c (fileoff 0xfb5c4c): page=0x224a000 add_imm=0xd98

0xfffffff007fb9bcc: 6985ffb0  adrp	x9, #0xfffffff007066000
0xfffffff007fb9bd0: 29151391  add	x9, x9, #0x4c5
0xfffffff007fb9bd4: e92300a9  stp	x9, x8, [sp]
0xfffffff007fb9bd8: 8082fff0  adrp	x0, #0xfffffff00700c000
0xfffffff007fb9bdc: 00000091  add	x0, x0, #0
0xfffffff007fb9be0: 011301b0  adrp	x1, #0xfffffff00a21a000
0xfffffff007fb9be4: 21502f91  add	x1, x1, #0xbd4
0xfffffff007fb9be8: a387ffb0  adrp	x3, #0xfffffff0070ae000
0xfffffff007fb9bec: 63cc0591  add	x3, x3, #0x173
0xfffffff007fb9bf0: 22008052  mov	w2, #1
0xfffffff007fb9bf4: 4fe50d94  bl	#0xfffffff008333130
0xfffffff007fb9bf8: 481201d0  adrp	x8, #0xfffffff00a203000
0xfffffff007fb9bfc: 094d46f9  ldr	x9, [x8, #0xc98]
0xfffffff007fb9c00: 29050091  add	x9, x9, #1
0xfffffff007fb9c04: 094d06f9  str	x9, [x8, #0xc98]
0xfffffff007fb9c08: ff1b00f9  str	xzr, [sp, #0x30]
0xfffffff007fb9c0c: ff2f00b9  str	wzr, [sp, #0x2c]
0xfffffff007fb9c10: e0c30091  add	x0, sp, #0x30
0xfffffff007fb9c14: e1b30091  add	x1, sp, #0x2c
0xfffffff007fb9c18: 5c4cf797  bl	#0xfffffff007d8cd88
0xfffffff007fb9c1c: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff007fb9c20: 491201d0  adrp	x9, #0xfffffff00a203000
0xfffffff007fb9c24: 29213691  add	x9, x9, #0xd88
0xfffffff007fb9c28: 280100f9  str	x8, [x9]
0xfffffff007fb9c2c: e82f40b9  ldr	w8, [sp, #0x2c]
0xfffffff007fb9c30: 280900b9  str	w8, [x9, #8]
0xfffffff007fb9c34: 731240f9  ldr	x19, [x19, #0x20]
0xfffffff007fb9c38: e00313aa  mov	x0, x19
0xfffffff007fb9c3c: 718ef697  bl	#0xfffffff007d5d600
0xfffffff007fb9c40: 02040091  add	x2, x0, #1
0xfffffff007fb9c44: 5f5c00f1  cmp	x2, #0x17
0xfffffff007fb9c48: c8000054  b.hi	#0xfffffff007fb9c60
0xfffffff007fb9c4c: 401201d0  adrp	x0, #0xfffffff00a203000
0xfffffff007fb9c50: 00603691  add	x0, x0, #0xd98
0xfffffff007fb9c54: e10313aa  mov	x1, x19
0xfffffff007fb9c58: 4e4bf697  bl	#0xfffffff007d4c990
0xfffffff007fb9c5c: d2000014  b	#0xfffffff007fb9fa4
0xfffffff007fb9c60: 541201d0  adrp	x20, #0xfffffff00a203000
0xfffffff007fb9c64: 94623691  add	x20, x20, #0xd98
0xfffffff007fb9c68: e00314aa  mov	x0, x20
0xfffffff007fb9c6c: e10313aa  mov	x1, x19
0xfffffff007fb9c70: e2028052  mov	w2, #0x17
0xfffffff007fb9c74: 474bf697  bl	#0xfffffff007d4c990
0xfffffff007fb9c78: 9f5e0039  strb	wzr, [x20, #0x17]
0xfffffff007fb9c7c: ca000014  b	#0xfffffff007fb9fa4
0xfffffff007fb9c80: 080080d2  mov	x8, #0
0xfffffff007fb9c84: 93d038d5  mrs	x19, tpidr_el1
0xfffffff007fb9c88: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff007fb9c8c: 361401d0  adrp	x22, #0xfffffff00a23f000
0xfffffff007fb9c90: d6a20591  add	x22, x22, #0x168
0xfffffff007fb9c94: c97ee8c8  casa	x8, x9, [x22]
0xfffffff007fb9c98: 1f0100f1  cmp	x8, #0
0xfffffff007fb9c9c: 811c0054  b.ne	#0xfffffff007fba02c
0xfffffff007fb9ca0: 211401d0  adrp	x1, #0xfffffff00a23f000
0xfffffff007fb9ca4: 21200591  add	x1, x1, #0x148
0xfffffff007fb9ca8: a02301d1  sub	x0, x29, #0x48
0xfffffff007fb9cac: 02028052  mov	w2, #0x10
0xfffffff007fb9cb0: 7196fb97  bl	#0xfffffff007e9f674
0xfffffff007fb9cb4: f40300aa  mov	x20, x0
0xfffffff007fb9cb8: e0120034  cbz	w0, #0xfffffff007fb9f14
0xfffffff007fb9cbc: 371401d0  adrp	x23, #0xfffffff00a23f000
0xfffffff007fb9cc0: e1ce40f9  ldr	x1, [x23, #0x198]
0xfffffff007fb9cc4: 610400b4  cbz	x1, #0xfffffff007fb9d50
0xfffffff007fb9cc8: 381401d0  adrp	x24, #0xfffffff00a23f000
