; Candidate 2032
; ADRP+ADD at VM 0xfffffff00854e058 (fileoff 0x154a058): page=0x1feb93000 add_imm=0xdd8

0xfffffff00854dfd8: 0154803d  str	q1, [x0, #0x150]
0xfffffff00854dfdc: 218141ad  ldp	q1, q0, [x9, #0x30]
0xfffffff00854dfe0: 228d42ad  ldp	q2, q3, [x9, #0x50]
0xfffffff00854dfe4: 020c0dad  stp	q2, q3, [x0, #0x1a0]
0xfffffff00854dfe8: 01000cad  stp	q1, q0, [x0, #0x180]
0xfffffff00854dfec: 0af14639  ldrb	w10, [x8, #0x1bc]
0xfffffff00854dff0: 0a000739  strb	w10, [x0, #0x1c0]
0xfffffff00854dff4: 09d95239  ldrb	w9, [x8, #0x4b6]
0xfffffff00854dff8: 09040739  strb	w9, [x0, #0x1c1]
0xfffffff00854dffc: 0c214739  ldrb	w12, [x8, #0x1c8]
0xfffffff00854e000: 0c080739  strb	w12, [x0, #0x1c2]
0xfffffff00854e004: 0c015339  ldrb	w12, [x8, #0x4c0]
0xfffffff00854e008: 0c0c0739  strb	w12, [x0, #0x1c3]
0xfffffff00854e00c: 086d5739  ldrb	w8, [x8, #0x5db]
0xfffffff00854e010: 1f010b6b  cmp	w8, w11
0xfffffff00854e014: 81010054  b.ne	#0xfffffff00854e044
0xfffffff00854e018: 4a000034  cbz	w10, #0xfffffff00854e020
0xfffffff00854e01c: 49010034  cbz	w9, #0xfffffff00854e044
0xfffffff00854e020: 28008052  mov	w8, #1
0xfffffff00854e024: 08200039  strb	w8, [x0, #8]
0xfffffff00854e028: e00308aa  mov	x0, x8
0xfffffff00854e02c: c0035fd6  ret	
0xfffffff00854e030: 1f0c00f9  str	xzr, [x0, #0x18]
0xfffffff00854e034: 09208052  mov	w9, #0x100
0xfffffff00854e038: 090c00b9  str	w9, [x0, #0xc]
0xfffffff00854e03c: 00008052  mov	w0, #0
0xfffffff00854e040: c0035fd6  ret	
0xfffffff00854e044: 49018052  mov	w9, #0xa
0xfffffff00854e048: fcffff17  b	#0xfffffff00854e038
0xfffffff00854e04c: 7f2303d5  pacibsp	
0xfffffff00854e050: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00854e054: fd030091  mov	x29, sp
0xfffffff00854e058: 805cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00854e05c: 00603791  add	x0, x0, #0xdd8
0xfffffff00854e060: 766cf797  bl	#0xfffffff008329238
0xfffffff00854e064: 48ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff00854e068: 00a901f9  str	x0, [x8, #0x350]
0xfffffff00854e06c: 805cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00854e070: 00083891  add	x0, x0, #0xe02
0xfffffff00854e074: 716cf797  bl	#0xfffffff008329238
0xfffffff00854e078: 48ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff00854e07c: 00ad01f9  str	x0, [x8, #0x358]
0xfffffff00854e080: 805cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00854e084: 00883891  add	x0, x0, #0xe22
0xfffffff00854e088: 6c6cf797  bl	#0xfffffff008329238
0xfffffff00854e08c: 48ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff00854e090: 00b101f9  str	x0, [x8, #0x360]
0xfffffff00854e094: 805cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00854e098: 00e43891  add	x0, x0, #0xe39
0xfffffff00854e09c: 676cf797  bl	#0xfffffff008329238
0xfffffff00854e0a0: 48ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff00854e0a4: 00b501f9  str	x0, [x8, #0x368]
0xfffffff00854e0a8: 805cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00854e0ac: 004c3991  add	x0, x0, #0xe53
0xfffffff00854e0b0: 626cf797  bl	#0xfffffff008329238
0xfffffff00854e0b4: 48ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff00854e0b8: 00b901f9  str	x0, [x8, #0x370]
0xfffffff00854e0bc: 805cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00854e0c0: 00bc3991  add	x0, x0, #0xe6f
0xfffffff00854e0c4: 5d6cf797  bl	#0xfffffff008329238
0xfffffff00854e0c8: 48ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff00854e0cc: 00bd01f9  str	x0, [x8, #0x378]
0xfffffff00854e0d0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00854e0d4: ff0f5fd6  retab	
