; Candidate 7994
; ADRP+ADD at VM 0xfffffff00888d380 (fileoff 0x1889380): page=0x1fe95c000 add_imm=0xe80

0xfffffff00888d300: 70e84894  bl	#0xfffffff009ac74c0
0xfffffff00888d304: 087f001b  mul	w8, w24, w0
0xfffffff00888d308: e90640b9  ldr	w9, [x23, #4]
0xfffffff00888d30c: 2a1d0011  add	w10, w9, #7
0xfffffff00888d310: 29390011  add	w9, w9, #0xe
0xfffffff00888d314: 5f010071  cmp	w10, #0
0xfffffff00888d318: 29b18a1a  csel	w9, w9, w10, lt
0xfffffff00888d31c: 297d0313  asr	w9, w9, #3
0xfffffff00888d320: 087d091b  mul	w8, w8, w9
0xfffffff00888d324: 881600b9  str	w8, [x20, #0x14]
0xfffffff00888d328: 86000014  b	#0xfffffff00888d540
0xfffffff00888d32c: a09b0094  bl	#0xfffffff0088b41ac
0xfffffff00888d330: f90300aa  mov	x25, x0
0xfffffff00888d334: 80008052  mov	w0, #4
0xfffffff00888d338: 46b9ff97  bl	#0xfffffff00887b850
0xfffffff00888d33c: f55306a9  stp	x21, x20, [sp, #0x60]
0xfffffff00888d340: f85b05a9  stp	x24, x22, [sp, #0x50]
0xfffffff00888d344: fb5f04a9  stp	x27, x23, [sp, #0x40]
0xfffffff00888d348: 084dffd0  adrp	x8, #0xfffffff00722f000
0xfffffff00888d34c: 080d0291  add	x8, x8, #0x83
0xfffffff00888d350: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00888d354: c8d98052  mov	w8, #0x6ce
0xfffffff00888d358: 094dffd0  adrp	x9, #0xfffffff00722f000
0xfffffff00888d35c: 29d10191  add	x9, x9, #0x74
0xfffffff00888d360: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00888d364: 084dffd0  adrp	x8, #0xfffffff00722f000
0xfffffff00888d368: 087d0391  add	x8, x8, #0xdf
0xfffffff00888d36c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00888d370: 88098052  mov	w8, #0x4c
0xfffffff00888d374: 834effb0  adrp	x3, #0xfffffff00725e000
0xfffffff00888d378: 638c0391  add	x3, x3, #0xe3
0xfffffff00888d37c: f92300a9  stp	x25, x8, [sp]
0xfffffff00888d380: e04aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00888d384: 00003a91  add	x0, x0, #0xe80
0xfffffff00888d388: c18bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00888d38c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888d390: 02008052  mov	w2, #0
0xfffffff00888d394: 6797ea97  bl	#0xfffffff008333130
0xfffffff00888d398: 007d8012  mov	w0, #-0x3e9
0xfffffff00888d39c: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff00888d3a0: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff00888d3a4: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff00888d3a8: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff00888d3ac: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff00888d3b0: fc6f47a9  ldp	x28, x27, [sp, #0x70]
0xfffffff00888d3b4: ff430391  add	sp, sp, #0xd0
0xfffffff00888d3b8: ff0f5fd6  retab	
0xfffffff00888d3bc: 80098052  mov	w0, #0x4c
0xfffffff00888d3c0: 81008052  mov	w1, #4
0xfffffff00888d3c4: 03b9ff97  bl	#0xfffffff00887b7d0
0xfffffff00888d3c8: 200b0034  cbz	w0, #0xfffffff00888d52c
0xfffffff00888d3cc: 80098052  mov	w0, #0x4c
0xfffffff00888d3d0: 12b9ff97  bl	#0xfffffff00887b818
0xfffffff00888d3d4: f50300aa  mov	x21, x0
0xfffffff00888d3d8: 759b0094  bl	#0xfffffff0088b41ac
0xfffffff00888d3dc: f40300aa  mov	x20, x0
0xfffffff00888d3e0: 80008052  mov	w0, #4
0xfffffff00888d3e4: 1bb9ff97  bl	#0xfffffff00887b850
0xfffffff00888d3e8: 76620091  add	x22, x19, #0x18
0xfffffff00888d3ec: d5060034  cbz	w21, #0xfffffff00888d4c4
0xfffffff00888d3f0: 688e40f9  ldr	x8, [x19, #0x118]
0xfffffff00888d3f4: 094dffb0  adrp	x9, #0xfffffff00722e000
0xfffffff00888d3f8: 29f53a91  add	x9, x9, #0xebd
0xfffffff00888d3fc: f62304a9  stp	x22, x8, [sp, #0x40]
