; Candidate 14263
; ADRP+ADD at VM 0xfffffff00975b5d8 (fileoff 0x27575d8): page=0xc30000 add_imm=0xea8

0xfffffff00975b558: 73ca3491  add	x19, x19, #0xd32
0xfffffff00975b55c: 800100b5  cbnz	x0, #0xfffffff00975b58c
0xfffffff00975b560: 900240f9  ldr	x16, [x20]
0xfffffff00975b564: f01ac1da  autda	x16, x23
0xfffffff00975b568: 113d80d2  mov	x17, #0x1e8
0xfffffff00975b56c: 1002118b  add	x16, x16, x17
0xfffffff00975b570: 080240f9  ldr	x8, [x16]
0xfffffff00975b574: e90310aa  mov	x9, x16
0xfffffff00975b578: e00314aa  mov	x0, x20
0xfffffff00975b57c: 010080d2  mov	x1, #0
0xfffffff00975b580: f10309aa  mov	x17, x9
0xfffffff00975b584: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00975b588: 11093fd7  blraa	x8, x17
0xfffffff00975b58c: e00314aa  mov	x0, x20
0xfffffff00975b590: 3335fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975b594: e00314aa  mov	x0, x20
0xfffffff00975b598: 3135fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975b59c: 800100b5  cbnz	x0, #0xfffffff00975b5cc
0xfffffff00975b5a0: 900240f9  ldr	x16, [x20]
0xfffffff00975b5a4: f01ac1da  autda	x16, x23
0xfffffff00975b5a8: 114380d2  mov	x17, #0x218
0xfffffff00975b5ac: 1002118b  add	x16, x16, x17
0xfffffff00975b5b0: 080240f9  ldr	x8, [x16]
0xfffffff00975b5b4: e90310aa  mov	x9, x16
0xfffffff00975b5b8: e00314aa  mov	x0, x20
0xfffffff00975b5bc: 010080d2  mov	x1, #0
0xfffffff00975b5c0: f10309aa  mov	x17, x9
0xfffffff00975b5c4: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00975b5c8: 11093fd7  blraa	x8, x17
0xfffffff00975b5cc: e00314aa  mov	x0, x20
0xfffffff00975b5d0: 294ffd97  bl	#0xfffffff0096af274
0xfffffff00975b5d4: 2235fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975b5d8: 80610090  adrp	x0, #0xfffffff00a38b000
0xfffffff00975b5dc: 00a03a91  add	x0, x0, #0xea8
0xfffffff00975b5e0: de24ae97  bl	#0xfffffff0082e4958
0xfffffff00975b5e4: f80300aa  mov	x24, x0
0xfffffff00975b5e8: e00314aa  mov	x0, x20
0xfffffff00975b5ec: 1c35fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975b5f0: f90300aa  mov	x25, x0
0xfffffff00975b5f4: a00100b5  cbnz	x0, #0xfffffff00975b628
0xfffffff00975b5f8: 900240f9  ldr	x16, [x20]
0xfffffff00975b5fc: f01ac1da  autda	x16, x23
0xfffffff00975b600: 113d80d2  mov	x17, #0x1e8
0xfffffff00975b604: 1002118b  add	x16, x16, x17
0xfffffff00975b608: 080240f9  ldr	x8, [x16]
0xfffffff00975b60c: e90310aa  mov	x9, x16
0xfffffff00975b610: e00314aa  mov	x0, x20
0xfffffff00975b614: 010080d2  mov	x1, #0
0xfffffff00975b618: f10309aa  mov	x17, x9
0xfffffff00975b61c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00975b620: 11093fd7  blraa	x8, x17
0xfffffff00975b624: f90300aa  mov	x25, x0
0xfffffff00975b628: e00314aa  mov	x0, x20
0xfffffff00975b62c: 0c35fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975b630: 1f0000f1  cmp	x0, #0
0xfffffff00975b634: 9af1fed0  adrp	x26, #0xfffffff00758d000
0xfffffff00975b638: 5ac73491  add	x26, x26, #0xd31
0xfffffff00975b63c: 73029a9a  csel	x19, x19, x26, eq
0xfffffff00975b640: e00314aa  mov	x0, x20
0xfffffff00975b644: 0635fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975b648: a00100b5  cbnz	x0, #0xfffffff00975b67c
0xfffffff00975b64c: 900240f9  ldr	x16, [x20]
0xfffffff00975b650: f01ac1da  autda	x16, x23
0xfffffff00975b654: 114380d2  mov	x17, #0x218
