; Candidate 13190
; ADRP+ADD at VM 0xfffffff0092195c4 (fileoff 0x22155c4): page=0x1102000 add_imm=0xe08

0xfffffff009219544: 314698d2  mov	x17, #0xc231
0xfffffff009219548: 3002c1da  pacia	x16, x17
0xfffffff00921954c: e40310aa  mov	x4, x16
0xfffffff009219550: a2e300d1  sub	x2, x29, #0x38
0xfffffff009219554: 00008052  mov	w0, #0
0xfffffff009219558: 21008052  mov	w1, #1
0xfffffff00921955c: e60314aa  mov	x6, x20
0xfffffff009219560: 715cbf97  bl	#0xfffffff0081f0724
0xfffffff009219564: f30300aa  mov	x19, x0
0xfffffff009219568: 60000035  cbnz	w0, #0xfffffff009219574
0xfffffff00921956c: a0835cf8  ldur	x0, [x29, #-0x38]
0xfffffff009219570: 800900b5  cbnz	x0, #0xfffffff0092196a0
0xfffffff009219574: c8024039  ldrb	w8, [x22]
0xfffffff009219578: e8010034  cbz	w8, #0xfffffff0092195b4
0xfffffff00921957c: ff2300f9  str	xzr, [sp, #0x40]
0xfffffff009219580: 54ebb297  bl	#0xfffffff007ed42d0
0xfffffff009219584: e1030191  add	x1, sp, #0x40
0xfffffff009219588: aeecb297  bl	#0xfffffff007ed4840
0xfffffff00921958c: e82340f9  ldr	x8, [sp, #0x40]
0xfffffff009219590: c97c8052  mov	w9, #0x3e6
0xfffffff009219594: e94f01a9  stp	x9, x19, [sp, #0x10]
0xfffffff009219598: a914ff90  adrp	x9, #0xfffffff0074ad000
0xfffffff00921959c: 29393d91  add	x9, x9, #0xf4e
0xfffffff0092195a0: e82700a9  stp	x8, x9, [sp]
0xfffffff0092195a4: a114ff90  adrp	x1, #0xfffffff0074ad000
0xfffffff0092195a8: 21103f91  add	x1, x1, #0xfc4
0xfffffff0092195ac: 00008052  mov	w0, #0
0xfffffff0092195b0: 54230094  bl	#0xfffffff009222300
0xfffffff0092195b4: 088800d0  adrp	x8, #0xfffffff00a31b000
0xfffffff0092195b8: 08353891  add	x8, x8, #0xe0d
0xfffffff0092195bc: 08014039  ldrb	w8, [x8]
0xfffffff0092195c0: 68060035  cbnz	w8, #0xfffffff00921968c
0xfffffff0092195c4: 008800d0  adrp	x0, #0xfffffff00a31b000
0xfffffff0092195c8: 00203891  add	x0, x0, #0xe08
0xfffffff0092195cc: 4427c397  bl	#0xfffffff0082e32dc
0xfffffff0092195d0: 1f240071  cmp	w0, #9
0xfffffff0092195d4: cc050054  b.gt	#0xfffffff00921968c
0xfffffff0092195d8: a814ff90  adrp	x8, #0xfffffff0074ad000
0xfffffff0092195dc: 08393d91  add	x8, x8, #0xf4e
0xfffffff0092195e0: c97c8052  mov	w9, #0x3e6
0xfffffff0092195e4: e9cf00a9  stp	x9, x19, [sp, #8]
0xfffffff0092195e8: e80300f9  str	x8, [sp]
0xfffffff0092195ec: a014ff90  adrp	x0, #0xfffffff0074ad000
0xfffffff0092195f0: 00d83f91  add	x0, x0, #0xff6
0xfffffff0092195f4: 25000014  b	#0xfffffff009219688
0xfffffff0092195f8: 48020034  cbz	w8, #0xfffffff009219640
0xfffffff0092195fc: bf831cf8  stur	xzr, [x29, #-0x38]
0xfffffff009219600: 34ebb297  bl	#0xfffffff007ed42d0
0xfffffff009219604: a1e300d1  sub	x1, x29, #0x38
0xfffffff009219608: 8eecb297  bl	#0xfffffff007ed4840
0xfffffff00921960c: a8a77ca9  ldp	x8, x9, [x29, #-0x38]
0xfffffff009219610: aa835df8  ldur	x10, [x29, #-0x28]
0xfffffff009219614: e9ab02a9  stp	x9, x10, [sp, #0x28]
0xfffffff009219618: f3d701a9  stp	x19, x21, [sp, #0x18]
0xfffffff00921961c: 4b7b8052  mov	w11, #0x3da
0xfffffff009219620: a914ff90  adrp	x9, #0xfffffff0074ad000
0xfffffff009219624: 29393d91  add	x9, x9, #0xf4e
0xfffffff009219628: a114ff90  adrp	x1, #0xfffffff0074ad000
0xfffffff00921962c: 21d43b91  add	x1, x1, #0xef5
0xfffffff009219630: e9af00a9  stp	x9, x11, [sp, #8]
0xfffffff009219634: e80300f9  str	x8, [sp]
0xfffffff009219638: 00008052  mov	w0, #0
0xfffffff00921963c: 31230094  bl	#0xfffffff009222300
0xfffffff009219640: 088800d0  adrp	x8, #0xfffffff00a31b000
