; Candidate 16766
; ADRP+ADD at VM 0xfffffff009f5199c (fileoff 0x2f4d99c): page=0x1fddea000 add_imm=0xe88

0xfffffff009f5191c: 48794ab9  ldr	w8, [x10, #0xa78]
0xfffffff009f51920: 09050011  add	w9, w8, #1
0xfffffff009f51924: 49790ab9  str	w9, [x10, #0xa78]
0xfffffff009f51928: 1fc50071  cmp	w8, #0x31
0xfffffff009f5192c: 6c010054  b.gt	#0xfffffff009f51958
0xfffffff009f51930: a86640f9  ldr	x8, [x21, #0xc8]
0xfffffff009f51934: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f51938: e86b01a9  stp	x8, x26, [sp, #0x10]
0xfffffff009f5193c: 09cb8052  mov	w9, #0x658
0xfffffff009f51940: 88c8fef0  adrp	x8, #0xfffffff007864000
0xfffffff009f51944: 08090391  add	x8, x8, #0xc2
0xfffffff009f51948: e82700a9  stp	x8, x9, [sp]
0xfffffff009f5194c: 80c8fef0  adrp	x0, #0xfffffff007864000
0xfffffff009f51950: 00640391  add	x0, x0, #0xd9
0xfffffff009f51954: dcb7fc97  bl	#0xfffffff009e7f8c4
0xfffffff009f51958: e0031aaa  mov	x0, x26
0xfffffff009f5195c: 71df7e97  bl	#0xfffffff007f09720
0xfffffff009f51960: e0031aaa  mov	x0, x26
0xfffffff009f51964: 6cdf7e97  bl	#0xfffffff007f09714
0xfffffff009f51968: 1f0702f8  str	xzr, [x24], #0x20
0xfffffff009f5196c: 9c0700f1  subs	x28, x28, #1
0xfffffff009f51970: 41f9ff54  b.ne	#0xfffffff009f51898
0xfffffff009f51974: 02000014  b	#0xfffffff009f5197c
0xfffffff009f51978: b90100b4  cbz	x25, #0xfffffff009f519ac
0xfffffff009f5197c: 082400f0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009f51980: 08212a91  add	x8, x8, #0xa88
0xfffffff009f51984: e9171bcb  neg	x9, x27, lsl #5
0xfffffff009f51988: 080129f8  ldadd	x9, x8, [x8]
0xfffffff009f5198c: 68eb7bd3  lsl	x8, x27, #5
0xfffffff009f51990: 7f030071  cmp	w27, #0
0xfffffff009f51994: 0900f0d2  mov	x9, #-0x8000000000000000
0xfffffff009f51998: 02a1899a  csel	x2, x8, x9, ge
0xfffffff009f5199c: 40effed0  adrp	x0, #0xfffffff007d3b000
0xfffffff009f519a0: 00203a91  add	x0, x0, #0xe88
0xfffffff009f519a4: e10319aa  mov	x1, x25
0xfffffff009f519a8: 10159097  bl	#0xfffffff008356de8
0xfffffff009f519ac: e00314aa  mov	x0, x20
0xfffffff009f519b0: 47687997  bl	#0xfffffff007dabacc
0xfffffff009f519b4: 881a40b9  ldr	w8, [x20, #0x18]
0xfffffff009f519b8: 08791912  and	w8, w8, #0xffffffbf
0xfffffff009f519bc: 881a00b9  str	w8, [x20, #0x18]
0xfffffff009f519c0: e00314aa  mov	x0, x20
0xfffffff009f519c4: 5e6b7997  bl	#0xfffffff007dac73c
0xfffffff009f519c8: e00314aa  mov	x0, x20
0xfffffff009f519cc: 14148a97  bl	#0xfffffff0081d6a1c
0xfffffff009f519d0: fc3f40f9  ldr	x28, [sp, #0x78]
0xfffffff009f519d4: a8b64439  ldrb	w8, [x21, #0x12d]
0xfffffff009f519d8: c8010034  cbz	w8, #0xfffffff009f51a10
0xfffffff009f519dc: e00314aa  mov	x0, x20
0xfffffff009f519e0: 3b687997  bl	#0xfffffff007dabacc
0xfffffff009f519e4: e0031caa  mov	x0, x28
0xfffffff009f519e8: 2195ff97  bl	#0xfffffff009f36e6c
0xfffffff009f519ec: e00315aa  mov	x0, x21
0xfffffff009f519f0: 01008052  mov	w1, #0
0xfffffff009f519f4: 02008052  mov	w2, #0
0xfffffff009f519f8: 54fbff97  bl	#0xfffffff009f50748
0xfffffff009f519fc: e00314aa  mov	x0, x20
0xfffffff009f51a00: 07148a97  bl	#0xfffffff0081d6a1c
0xfffffff009f51a04: 17008052  mov	w23, #0
0xfffffff009f51a08: 7f3600b9  str	wzr, [x19, #0x34]
0xfffffff009f51a0c: 73010014  b	#0xfffffff009f51fd8
0xfffffff009f51a10: 97020034  cbz	w23, #0xfffffff009f51a60
0xfffffff009f51a14: e00314aa  mov	x0, x20
0xfffffff009f51a18: 2d687997  bl	#0xfffffff007dabacc
