; Candidate 12607
; ADRP+ADD at VM 0xfffffff0090c3d90 (fileoff 0x20bfd90): page=0x1fe396000 add_imm=0xe24

0xfffffff0090c3d10: f70302aa  mov	x23, x2
0xfffffff0090c3d14: f50301aa  mov	x21, x1
0xfffffff0090c3d18: f60300aa  mov	x22, x0
0xfffffff0090c3d1c: 7a9200d0  adrp	x26, #0xfffffff00a311000
0xfffffff0090c3d20: 48c34339  ldrb	w8, [x26, #0xf0]
0xfffffff0090c3d24: 381dffd0  adrp	x24, #0xfffffff007469000
0xfffffff0090c3d28: 180f2591  add	x24, x24, #0x943
0xfffffff0090c3d2c: 191dff90  adrp	x25, #0xfffffff007463000
0xfffffff0090c3d30: 39d32991  add	x25, x25, #0xa74
0xfffffff0090c3d34: 1f290071  cmp	w8, #0xa
0xfffffff0090c3d38: a8000054  b.hi	#0xfffffff0090c3d4c
0xfffffff0090c3d3c: f96300a9  stp	x25, x24, [sp]
0xfffffff0090c3d40: a01cffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090c3d44: 00583191  add	x0, x0, #0xc56
0xfffffff0090c3d48: b64cca97  bl	#0xfffffff008357020
0xfffffff0090c3d4c: f53e1033  bfi	w21, w23, #0x10, #0x10
0xfffffff0090c3d50: e00316aa  mov	x0, x22
0xfffffff0090c3d54: e10315aa  mov	x1, x21
0xfffffff0090c3d58: e20314aa  mov	x2, x20
0xfffffff0090c3d5c: e30313aa  mov	x3, x19
0xfffffff0090c3d60: 5bffff97  bl	#0xfffffff0090c3acc
0xfffffff0090c3d64: f30300aa  mov	x19, x0
0xfffffff0090c3d68: 1f000071  cmp	w0, #0
0xfffffff0090c3d6c: c8088052  mov	w8, #0x46
0xfffffff0090c3d70: 49018052  mov	w9, #0xa
0xfffffff0090c3d74: 2801881a  csel	w8, w9, w8, eq
0xfffffff0090c3d78: 49c34339  ldrb	w9, [x26, #0xf0]
0xfffffff0090c3d7c: 1f01096b  cmp	w8, w9
0xfffffff0090c3d80: e3000054  b.lo	#0xfffffff0090c3d9c
0xfffffff0090c3d84: 687e4093  sxtw	x8, w19
0xfffffff0090c3d88: f96300a9  stp	x25, x24, [sp]
0xfffffff0090c3d8c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090c3d90: a01cffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090c3d94: 00903891  add	x0, x0, #0xe24
0xfffffff0090c3d98: a24cca97  bl	#0xfffffff008357020
0xfffffff0090c3d9c: e00313aa  mov	x0, x19
0xfffffff0090c3da0: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0090c3da4: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0090c3da8: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0090c3dac: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0090c3db0: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff0090c3db4: ffc30191  add	sp, sp, #0x70
0xfffffff0090c3db8: ff0f5fd6  retab	
0xfffffff0090c3dbc: 5f2403d5  bti	c
0xfffffff0090c3dc0: 689200d0  adrp	x8, #0xfffffff00a311000
0xfffffff0090c3dc4: 08e10391  add	x8, x8, #0xf8
0xfffffff0090c3dc8: 100140f9  ldr	x16, [x8]
0xfffffff0090c3dcc: 700000b4  cbz	x16, #0xfffffff0090c3dd8
0xfffffff0090c3dd0: d19f9cd2  mov	x17, #0xe4fe
0xfffffff0090c3dd4: 110a1fd7  braa	x16, x17
0xfffffff0090c3dd8: 00008052  mov	w0, #0
0xfffffff0090c3ddc: c0035fd6  ret	
0xfffffff0090c3de0: 5f2403d5  bti	c
0xfffffff0090c3de4: 68920090  adrp	x8, #0xfffffff00a30f000
0xfffffff0090c3de8: 08010491  add	x8, x8, #0x100
0xfffffff0090c3dec: 00410091  add	x0, x8, #0x10
0xfffffff0090c3df0: c0035fd6  ret	
0xfffffff0090c3df4: 5f2403d5  bti	c
0xfffffff0090c3df8: 68920090  adrp	x8, #0xfffffff00a30f000
0xfffffff0090c3dfc: 08010491  add	x8, x8, #0x100
0xfffffff0090c3e00: 00410191  add	x0, x8, #0x50
0xfffffff0090c3e04: c0035fd6  ret	
0xfffffff0090c3e08: 5f2403d5  bti	c
0xfffffff0090c3e0c: 68920090  adrp	x8, #0xfffffff00a30f000
