; Candidate 1102
; ADRP+ADD at VM 0xfffffff0081f88bc (fileoff 0x11f48bc): page=0x1fd3000 add_imm=0xd24

0xfffffff0081f883c: 29f142b9  ldr	w9, [x9, #0x2f0]
0xfffffff0081f8840: 1f010071  cmp	w8, #0
0xfffffff0081f8844: 2009417a  ccmp	w9, #1, #0, eq
0xfffffff0081f8848: a1040054  b.ne	#0xfffffff0081f88dc
0xfffffff0081f884c: 82d038d5  mrs	x2, tpidr_el1
0xfffffff0081f8850: 484841b9  ldr	w8, [x2, #0x148]
0xfffffff0081f8854: 48040035  cbnz	w8, #0xfffffff0081f88dc
0xfffffff0081f8858: 28423bd5  mrs	x8, daif
0xfffffff0081f885c: 08043837  tbnz	w8, #7, #0xfffffff0081f88dc
0xfffffff0081f8860: 484841b9  ldr	w8, [x2, #0x148]
0xfffffff0081f8864: 08050011  add	w8, w8, #1
0xfffffff0081f8868: 484801b9  str	w8, [x2, #0x148]
0xfffffff0081f886c: 88fe00f0  adrp	x8, #0xfffffff00a1cb000
0xfffffff0081f8870: 08b13491  add	x8, x8, #0xd2c
0xfffffff0081f8874: 0920a052  mov	w9, #0x1000000
0xfffffff0081f8878: 0801a9b8  ldadda	w9, w8, [x8]
0xfffffff0081f887c: 095d1053  ubfx	w9, w8, #0x10, #8
0xfffffff0081f8880: 3f61486b  cmp	w9, w8, lsr #24
0xfffffff0081f8884: 01030054  b.ne	#0xfffffff0081f88e4
0xfffffff0081f8888: 481844b9  ldr	w8, [x2, #0x418]
0xfffffff0081f888c: 89fe00f0  adrp	x9, #0xfffffff00a1cb000
0xfffffff0081f8890: 28310db9  str	w8, [x9, #0xd30]
0xfffffff0081f8894: 680201b0  adrp	x8, #0xfffffff00a245000
0xfffffff0081f8898: 08495b39  ldrb	w8, [x8, #0x6d2]
0xfffffff0081f889c: 1f050071  cmp	w8, #1
0xfffffff0081f88a0: e1000054  b.ne	#0xfffffff0081f88bc
0xfffffff0081f88a4: e00001d0  adrp	x0, #0xfffffff00a216000
0xfffffff0081f88a8: 00602b91  add	x0, x0, #0xad8
0xfffffff0081f88ac: 331b0094  bl	#0xfffffff0081ff578
0xfffffff0081f88b0: 680201b0  adrp	x8, #0xfffffff00a245000
0xfffffff0081f88b4: 29008052  mov	w9, #1
0xfffffff0081f88b8: 094d1b39  strb	w9, [x8, #0x6d3]
0xfffffff0081f88bc: 80fe00f0  adrp	x0, #0xfffffff00a1cb000
0xfffffff0081f88c0: 00903491  add	x0, x0, #0xd24
0xfffffff0081f88c4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0081f88c8: ff2303d5  autibsp	
0xfffffff0081f88cc: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0081f88d0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0081f88d8
0xfffffff0081f88d4: 208e38d4  brk	#0xc471
0xfffffff0081f88d8: 07dbee17  b	#0xfffffff007daf4f4
0xfffffff0081f88dc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0081f88e0: ff0f5fd6  retab	
0xfffffff0081f88e4: 017d1853  lsr	w1, w8, #0x18
0xfffffff0081f88e8: 80fe00f0  adrp	x0, #0xfffffff00a1cb000
0xfffffff0081f88ec: 00903491  add	x0, x0, #0xd24
0xfffffff0081f88f0: 4edaee97  bl	#0xfffffff007daf228
0xfffffff0081f88f4: e8ffff17  b	#0xfffffff0081f8894
0xfffffff0081f88f8: 7f2303d5  pacibsp	
0xfffffff0081f88fc: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0081f8900: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0081f8904: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0081f8908: fd830091  add	x29, sp, #0x20
0xfffffff0081f890c: f30302aa  mov	x19, x2
0xfffffff0081f8910: f50301aa  mov	x21, x1
0xfffffff0081f8914: 82d038d5  mrs	x2, tpidr_el1
0xfffffff0081f8918: 484841b9  ldr	w8, [x2, #0x148]
0xfffffff0081f891c: 08050011  add	w8, w8, #1
0xfffffff0081f8920: 484801b9  str	w8, [x2, #0x148]
0xfffffff0081f8924: 88fe00f0  adrp	x8, #0xfffffff00a1cb000
0xfffffff0081f8928: 08b13491  add	x8, x8, #0xd2c
0xfffffff0081f892c: 0920a052  mov	w9, #0x1000000
0xfffffff0081f8930: 0801a9b8  ldadda	w9, w8, [x8]
0xfffffff0081f8934: 095d1053  ubfx	w9, w8, #0x10, #8
0xfffffff0081f8938: 3f61486b  cmp	w9, w8, lsr #24
