; Candidate 3236
; ADRP+ADD at VM 0xfffffff008721da4 (fileoff 0x171dda4): page=0x1fea10000 add_imm=0xd90

0xfffffff008721d24: 0d298b52  mov	w13, #0x5948
0xfffffff008721d28: 0d010d8b  add	x13, x8, x13
0xfffffff008721d2c: 3f110071  cmp	w9, #4
0xfffffff008721d30: 82100054  b.hs	#0xfffffff008721f40
0xfffffff008721d34: 4852ffd0  adrp	x8, #0xfffffff00716b000
0xfffffff008721d38: 08012791  add	x8, x8, #0x9c0
0xfffffff008721d3c: 087969b8  ldr	w8, [x8, x9, lsl #2]
0xfffffff008721d40: 4e52ffd0  adrp	x14, #0xfffffff00716b000
0xfffffff008721d44: ce412791  add	x14, x14, #0x9d0
0xfffffff008721d48: c97969b8  ldr	w9, [x14, x9, lsl #2]
0xfffffff008721d4c: 880100b9  str	w8, [x12]
0xfffffff008721d50: a90100b9  str	w9, [x13]
0xfffffff008721d54: 7d000014  b	#0xfffffff008721f48
0xfffffff008721d58: e00316aa  mov	x0, x22
0xfffffff008721d5c: a7edff97  bl	#0xfffffff00871d3f8
0xfffffff008721d60: 08518b52  mov	w8, #0x5a88
0xfffffff008721d64: f83b40f9  ldr	x24, [sp, #0x70]
0xfffffff008721d68: 084f089b  madd	x8, x24, x8, x19
0xfffffff008721d6c: 09cd8a52  mov	w9, #0x5668
0xfffffff008721d70: 1401098b  add	x20, x8, x9
0xfffffff008721d74: 800200b9  str	w0, [x20]
0xfffffff008721d78: 1f840071  cmp	w0, #0x21
0xfffffff008721d7c: 63150054  b.lo	#0xfffffff008722028
0xfffffff008721d80: 08048052  mov	w8, #0x20
0xfffffff008721d84: a951ffb0  adrp	x9, #0xfffffff007156000
0xfffffff008721d88: 29ad0491  add	x9, x9, #0x12b
0xfffffff008721d8c: ff2302a9  stp	xzr, x8, [sp, #0x20]
0xfffffff008721d90: e90301a9  stp	x9, x0, [sp, #0x10]
0xfffffff008721d94: 88428152  mov	w8, #0xa14
0xfffffff008721d98: a951ffb0  adrp	x9, #0xfffffff007156000
0xfffffff008721d9c: 29890391  add	x9, x9, #0xe2
0xfffffff008721da0: e92300a9  stp	x9, x8, [sp]
0xfffffff008721da4: 8050ff90  adrp	x0, #0xfffffff007131000
0xfffffff008721da8: 00403691  add	x0, x0, #0xd90
0xfffffff008721dac: e196ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008721db0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008721db4: c350ff90  adrp	x3, #0xfffffff007139000
0xfffffff008721db8: 63302091  add	x3, x3, #0x80c
0xfffffff008721dbc: 02008052  mov	w2, #0
0xfffffff008721dc0: dc44f097  bl	#0xfffffff008333130
0xfffffff008721dc4: f6faff17  b	#0xfffffff00872099c
0xfffffff008721dc8: c83640f9  ldr	x8, [x22, #0x68]
0xfffffff008721dcc: c9a640b9  ldr	w9, [x22, #0xa4]
0xfffffff008721dd0: 29050011  add	w9, w9, #1
0xfffffff008721dd4: c9a600b9  str	w9, [x22, #0xa4]
0xfffffff008721dd8: 14fd7fd3  lsr	x20, x8, #0x3f
0xfffffff008721ddc: e00316aa  mov	x0, x22
0xfffffff008721de0: 21008052  mov	w1, #1
0xfffffff008721de4: 02008052  mov	w2, #0
0xfffffff008721de8: 26e5ff97  bl	#0xfffffff00871b280
0xfffffff008721dec: 08518b52  mov	w8, #0x5a88
0xfffffff008721df0: 174f089b  madd	x23, x24, x8, x19
0xfffffff008721df4: 38268b52  mov	w24, #0x5931
0xfffffff008721df8: f46a3838  strb	w20, [x23, x24]
0xfffffff008721dfc: c83640f9  ldr	x8, [x22, #0x68]
0xfffffff008721e00: c9a640b9  ldr	w9, [x22, #0xa4]
0xfffffff008721e04: 29050011  add	w9, w9, #1
0xfffffff008721e08: c9a600b9  str	w9, [x22, #0xa4]
0xfffffff008721e0c: 14fd7fd3  lsr	x20, x8, #0x3f
0xfffffff008721e10: e00316aa  mov	x0, x22
0xfffffff008721e14: 21008052  mov	w1, #1
0xfffffff008721e18: 02008052  mov	w2, #0
0xfffffff008721e1c: 19e5ff97  bl	#0xfffffff00871b280
0xfffffff008721e20: 48268b52  mov	w8, #0x5932
